temp_min,temp_max,hum_min,hum_max,prec_tot,prec_nat,vent_min,vent_max,pres_min,pres_max,date_eco,note,zone
-33,39,7,73,214,G,81,169,912,957,2025-12-08,Observation automatique,VS
-36,33,7,99,477,N,85,230,1064,924,2025-12-16,Observation automatique,VS
-47,3,15,91,326,G,58,252,1095,1066,2025-07-13,Observation automatique,VN
-19,16,24,80,138,P,20,211,903,1053,2025-09-24,Observation automatique,VN
-8,48,0,61,157,N,83,252,1025,942,2025-10-07,Observation automatique,VN
-7,44,41,67,167,G,100,285,918,963,2025-10-08,Observation automatique,VN
-49,13,28,63,459,P,40,179,957,942,2025-09-20,Observation automatique,VS
-9,37,2,59,370,N,112,299,1034,1001,2025-07-27,Observation automatique,VS
-20,5,24,52,263,N,49,232,1002,946,2025-11-04,Observation automatique,VS
-19,14,41,65,55,N,59,190,937,1100,2025-11-17,Observation automatique,VS
-16,28,30,52,391,G,112,289,920,903,2025-06-23,Observation automatique,VS
-1,1,38,59,51,P,102,275,916,984,2025-06-13,Observation automatique,VN
-42,49,32,96,15,N,30,295,1051,1054,2025-12-12,Observation automatique,VS
-9,45,24,91,158,N,109,222,979,1045,2025-12-27,Observation automatique,VN
-19,48,17,79,297,N,22,245,943,965,2025-07-08,Observation automatique,VN
-29,31,15,76,395,N,59,234,1076,932,2025-08-13,Observation automatique,VS
-39,42,44,73,198,N,6,233,1008,937,2025-06-12,Observation automatique,VN
-49,26,35,66,199,G,22,232,1081,928,2025-08-31,Observation automatique,VN
-38,9,6,57,269,N,19,252,1080,992,2025-08-02,Observation automatique,VN
-38,36,38,79,126,N,62,206,942,1077,2025-10-19,Observation automatique,VN
-35,23,37,90,145,N,115,286,989,965,2025-09-08,Observation automatique,VN
-27,45,8,65,88,P,106,295,998,986,2025-11-20,Observation automatique,VS
-2,39,16,59,128,P,129,237,1071,1071,2025-10-12,Observation automatique,VS
-10,29,29,72,402,P,94,218,967,968,2025-09-22,Observation automatique,VS
-31,18,4,63,64,P,13,278,980,910,2025-09-28,Observation automatique,VN
-32,34,2,64,392,P,22,282,1091,1017,2025-08-13,Observation automatique,VN
-13,33,46,73,312,N,33,266,1035,923,2025-10-24,Observation automatique,VN
-26,40,1,77,176,N,134,198,948,928,2025-09-30,Observation automatique,VN
-8,17,25,69,50,G,38,263,978,1038,2025-08-03,Observation automatique,VN
-9,27,30,87,322,G,95,271,905,1067,2025-09-21,Observation automatique,VS
-19,31,19,56,267,N,132,193,1069,930,2025-06-06,Observation automatique,VN
-47,34,17,58,232,G,144,294,1068,1014,2025-07-23,Observation automatique,VN
-50,4,20,86,324,P,74,217,1035,941,2025-07-15,Observation automatique,VN
-4,34,13,77,121,P,47,167,971,948,2025-08-30,Observation automatique,VN
-7,11,46,76,355,N,5,222,1072,1055,2025-10-09,Observation automatique,VN
-29,39,32,60,435,G,67,192,1019,964,2025-10-15,Observation automatique,VN
-41,23,32,73,189,G,130,282,932,1065,2025-10-21,Observation automatique,VS
-20,24,28,75,263,N,142,259,1036,1089,2025-10-11,Observation automatique,VN
-19,22,33,96,314,P,18,281,944,1021,2025-06-04,Observation automatique,VS
-1,46,37,62,39,G,90,150,986,908,2025-08-07,Observation automatique,VN
-12,14,39,72,457,P,108,234,914,1025,2025-10-23,Observation automatique,VN
-46,29,18,83,248,P,45,207,910,1011,2025-07-27,Observation automatique,VN
-14,33,38,84,156,P,19,254,1064,976,2025-12-10,Observation automatique,VS
-15,6,32,64,118,P,63,159,986,920,2025-11-25,Observation automatique,VN
-6,4,42,96,308,N,6,224,1004,1030,2025-09-30,Observation automatique,VS
-42,10,19,73,260,G,84,247,1054,942,2025-07-11,Observation automatique,VS
-3,25,32,98,258,G,117,244,1016,922,2025-07-19,Observation automatique,VS
-19,22,37,97,173,N,139,216,910,1085,2025-06-19,Observation automatique,VN
-22,31,49,99,197,P,107,175,1097,910,2025-12-20,Observation automatique,VN
-37,27,22,98,237,N,135,243,1030,1085,2025-09-10,Observation automatique,VN
-22,50,9,60,438,P,39,232,953,976,2025-08-18,Observation automatique,VS
-29,47,7,78,98,P,114,199,1056,968,2025-11-30,Observation automatique,VN
-15,18,38,96,384,G,58,231,999,992,2025-09-14,Observation automatique,VN
-35,32,9,87,401,G,13,219,956,996,2025-08-29,Observation automatique,VN
-44,19,17,64,471,N,122,230,948,916,2025-06-21,Observation automatique,VS
-13,34,7,96,327,P,94,212,925,1017,2025-06-03,Observation automatique,VN
-42,18,41,83,254,G,18,161,1081,943,2025-07-04,Observation automatique,VS
-34,41,16,51,158,N,47,199,974,1022,2025-11-25,Observation automatique,VS
-26,11,9,94,5,G,41,156,1042,1079,2025-09-20,Observation automatique,VN
-30,38,36,65,479,G,107,186,989,965,2025-12-21,Observation automatique,VN
-1,50,44,94,12,P,92,224,916,1004,2025-12-22,Observation automatique,VS
-34,39,30,89,34,P,34,292,1029,1033,2025-12-06,Observation automatique,VS
-49,10,44,71,412,N,59,241,1078,1076,2025-09-23,Observation automatique,VS
-20,17,21,71,291,P,112,274,1097,944,2025-06-19,Observation automatique,VS
-4,43,34,78,409,P,53,174,995,1045,2025-06-25,Observation automatique,VN
-23,5,26,74,409,N,87,224,973,942,2025-08-09,Observation automatique,VN
-20,16,30,82,265,P,82,157,930,916,2025-08-25,Observation automatique,VN
-50,32,37,98,13,G,87,228,1040,1086,2025-11-19,Observation automatique,VN
-35,18,40,62,5,G,115,250,978,922,2025-06-25,Observation automatique,VS
-28,17,7,87,339,G,102,156,1073,993,2025-11-11,Observation automatique,VN
