id,date_eco,note
MCC4129,2025-12-21,Observation floraison automatique
MCC4841,2025-11-01,Observation floraison automatique
MCA0268,2025-09-08,Observation floraison automatique
MCC9519,2025-07-07,Observation floraison automatique
MCA6765,2025-11-06,Observation floraison automatique
MCC3441,2025-08-04,Observation floraison automatique
MCC5331,2025-08-27,Observation floraison automatique
MCB0835,2025-09-15,Observation floraison automatique
MCA1247,2025-12-08,Observation floraison automatique
MCC0459,2025-07-11,Observation floraison automatique
MCC0510,2025-10-01,Observation floraison automatique
MCA2087,2025-09-24,Observation floraison automatique
MCB6653,2025-09-12,Observation floraison automatique
MCB8266,2025-06-11,Observation floraison automatique
MCA5646,2025-08-21,Observation floraison automatique
MCB7929,2025-09-30,Observation floraison automatique
MCB9275,2025-06-04,Observation floraison automatique
MCB7404,2025-12-17,Observation floraison automatique
MCC3893,2025-06-30,Observation floraison automatique
MCA0458,2025-07-08,Observation floraison automatique
MCB5117,2025-09-16,Observation floraison automatique
MCA5557,2025-08-16,Observation floraison automatique
MCC8382,2025-08-23,Observation floraison automatique
MCC6193,2025-12-23,Observation floraison automatique
MCA2405,2025-12-11,Observation floraison automatique
MCA7331,2025-12-17,Observation floraison automatique
MCA7946,2025-11-29,Observation floraison automatique
MCB8927,2025-09-13,Observation floraison automatique
MCA7966,2025-09-06,Observation floraison automatique
MCC5388,2025-09-27,Observation floraison automatique
MCB5497,2025-11-19,Observation floraison automatique
MCC0436,2025-09-18,Observation floraison automatique
MCA6109,2025-10-10,Observation floraison automatique
MCB6839,2025-08-17,Observation floraison automatique
MCB0635,2025-10-10,Observation floraison automatique
MCB0869,2025-11-15,Observation floraison automatique
MCB9941,2025-10-03,Observation floraison automatique
MCA0380,2025-08-11,Observation floraison automatique
MCB0263,2025-06-04,Observation floraison automatique
MCA8688,2025-10-22,Observation floraison automatique
MCC4049,2025-07-15,Observation floraison automatique
MCB9637,2025-11-26,Observation floraison automatique
MCC4048,2025-10-13,Observation floraison automatique
MCA2429,2025-09-11,Observation floraison automatique
MCC3469,2025-12-08,Observation floraison automatique
MCA0271,2025-07-11,Observation floraison automatique
MCC3107,2025-09-14,Observation floraison automatique
MCC6240,2025-09-07,Observation floraison automatique
MCC2114,2025-07-21,Observation floraison automatique
MCB1587,2025-06-09,Observation floraison automatique
MCC4834,2025-12-28,Observation floraison automatique
MCC0546,2025-11-16,Observation floraison automatique
MCA5744,2025-07-23,Observation floraison automatique
MCA7285,2025-06-29,Observation floraison automatique
MCC8602,2025-12-22,Observation floraison automatique
MCB2789,2025-08-31,Observation floraison automatique
MCC0896,2025-06-06,Observation floraison automatique
MCC2291,2025-12-27,Observation floraison automatique
MCB0025,2025-06-17,Observation floraison automatique
MCA9919,2025-12-30,Observation floraison automatique
MCC4038,2025-08-06,Observation floraison automatique
MCC2544,2025-10-17,Observation floraison automatique
MCA1298,2025-10-06,Observation floraison automatique
MCC4194,2025-12-26,Observation floraison automatique
MCA1429,2025-10-01,Observation floraison automatique
MCB8222,2025-08-16,Observation floraison automatique
MCC7650,2025-06-25,Observation floraison automatique
MCC3680,2025-09-20,Observation floraison automatique
MCA6840,2025-07-30,Observation floraison automatique
MCB0521,2025-07-09,Observation floraison automatique
MCB3999,2025-06-20,Observation floraison automatique
MCA9565,2025-07-12,Observation floraison automatique
MCC7514,2025-09-09,Observation floraison automatique
MCA0314,2025-10-12,Observation floraison automatique
MCB4583,2025-07-06,Observation floraison automatique
MCC7303,2025-12-07,Observation floraison automatique
MCC0276,2025-11-22,Observation floraison automatique
MCA4213,2025-11-11,Observation floraison automatique
MCC6764,2025-06-25,Observation floraison automatique
MCB0595,2025-12-05,Observation floraison automatique
MCB7997,2025-08-08,Observation floraison automatique
MCA2167,2025-12-17,Observation floraison automatique
MCB1790,2025-10-25,Observation floraison automatique
MCA5183,2025-06-16,Observation floraison automatique
MCA1797,2025-07-30,Observation floraison automatique
MCC6697,2025-09-27,Observation floraison automatique
MCC3634,2025-10-24,Observation floraison automatique
MCA7266,2025-11-27,Observation floraison automatique
MCC9868,2025-10-08,Observation floraison automatique
MCA5829,2025-12-11,Observation floraison automatique
MCB4768,2025-08-01,Observation floraison automatique
MCA0055,2025-10-29,Observation floraison automatique
MCB4364,2025-10-14,Observation floraison automatique
MCB7508,2025-09-04,Observation floraison automatique
MCC9340,2025-06-03,Observation floraison automatique
MCB3504,2025-10-20,Observation floraison automatique
MCC4251,2025-07-01,Observation floraison automatique
MCC5519,2025-06-13,Observation floraison automatique
MCA1538,2025-09-20,Observation floraison automatique
MCA9259,2025-12-29,Observation floraison automatique
MCC0153,2025-10-12,Observation floraison automatique
MCB5159,2025-12-16,Observation floraison automatique
MCB6952,2025-10-11,Observation floraison automatique
MCA6922,2025-10-03,Observation floraison automatique
MCB7618,2025-10-18,Observation floraison automatique
MCA6040,2025-12-02,Observation floraison automatique
MCC9511,2025-12-23,Observation floraison automatique
MCB9977,2025-12-06,Observation floraison automatique
MCC0605,2025-10-13,Observation floraison automatique
MCC3094,2025-06-30,Observation floraison automatique
MCA8196,2025-10-11,Observation floraison automatique
MCC8486,2025-10-01,Observation floraison automatique
MCA2551,2025-11-02,Observation floraison automatique
MCC3356,2025-10-08,Observation floraison automatique
MCA6232,2025-06-18,Observation floraison automatique
MCB8021,2025-08-30,Observation floraison automatique
MCB5781,2025-11-04,Observation floraison automatique
MCB4841,2025-08-23,Observation floraison automatique
MCB6464,2025-09-17,Observation floraison automatique
MCB9072,2025-06-18,Observation floraison automatique
MCC4810,2025-09-29,Observation floraison automatique
MCC8915,2025-11-16,Observation floraison automatique
MCA9756,2025-11-28,Observation floraison automatique
MCB1219,2025-07-25,Observation floraison automatique
MCA9307,2025-09-21,Observation floraison automatique
MCA7287,2025-09-29,Observation floraison automatique
MCC9739,2025-10-16,Observation floraison automatique
MCA0707,2025-07-19,Observation floraison automatique
MCB0662,2025-09-11,Observation floraison automatique
MCB6171,2025-08-10,Observation floraison automatique
MCB6346,2025-09-17,Observation floraison automatique
MCA8353,2025-10-17,Observation floraison automatique
MCA6516,2025-08-12,Observation floraison automatique
MCA7526,2025-10-31,Observation floraison automatique
MCC9450,2025-10-25,Observation floraison automatique
MCC4116,2025-10-21,Observation floraison automatique
MCA2856,2025-06-10,Observation floraison automatique
MCB2907,2025-12-11,Observation floraison automatique
MCC6986,2025-09-12,Observation floraison automatique
MCC8808,2025-09-18,Observation floraison automatique
MCC4869,2025-10-10,Observation floraison automatique
MCC1340,2025-08-04,Observation floraison automatique
MCA6914,2025-07-02,Observation floraison automatique
MCC1714,2025-10-14,Observation floraison automatique
MCC0749,2025-08-08,Observation floraison automatique
MCC5385,2025-11-12,Observation floraison automatique
MCC3283,2025-07-18,Observation floraison automatique
MCB4095,2025-12-04,Observation floraison automatique
MCC0105,2025-06-21,Observation floraison automatique
MCB0300,2025-09-15,Observation floraison automatique
MCA5092,2025-09-28,Observation floraison automatique
MCA6753,2025-08-25,Observation floraison automatique
MCA8740,2025-08-14,Observation floraison automatique
MCB7333,2025-07-18,Observation floraison automatique
MCA5299,2025-07-08,Observation floraison automatique
MCC3251,2025-07-27,Observation floraison automatique
MCA2486,2025-11-18,Observation floraison automatique
MCB5439,2025-08-18,Observation floraison automatique
MCB9178,2025-11-24,Observation floraison automatique
MCC9485,2025-11-16,Observation floraison automatique
MCB9471,2025-10-25,Observation floraison automatique
