parcelle_id,placette_id,peuplement,position
1,S1,PNOI,0
2,S1,BBOR,1
3,S1,TARB,2
4,S1,MMIX,3
5,S1,PGRI,4
6,S1,FACL,5
7,S1,TARB,6
8,S1,TARB,7
9,S1,FACL,8
10,S1,SABB,9
11,S1,FACL,10
12,S1,EABJ,11
13,S1,PGRI,12
14,S1,PNOI,13
15,S1,BBOR,14
16,S1,BBOR,15
17,S1,PNOI,16
18,S1,MMIX,17
19,S1,SABB,18
20,S1,PGRI,19
21,S1,FACL,20
22,S1,EABJ,21
23,S1,PNOI,22
24,S1,EABJ,23
25,S1,PNOI,24
26,S1,PGRI,25
27,S1,PNOI,26
28,S1,MMIX,27
29,S1,PNOI,28
30,S1,SABB,29
31,S1,MMIX,30
32,S1,FACL,31
33,S1,EABJ,32
34,S1,PGRI,33
35,S1,PNOI,34
36,S1,FACL,35
37,S1,SABB,36
38,S1,TARB,37
39,S1,BBOR,38
40,S1,BBOR,39
41,S1,PGRI,40
42,S1,FACL,41
43,S1,MMIX,42
44,S1,BBOR,43
45,S1,FACL,44
46,S1,PNOI,45
47,S1,TARB,46
48,S1,SABB,47
49,S1,PGRI,48
50,S1,PNOI,49
51,S1,MMIX,50
52,S1,SABB,51
53,S1,BBOR,52
54,S1,SABB,53
55,S1,MMIX,54
56,S1,BBOR,55
57,S1,PNOI,56
58,S1,EABJ,57
59,S1,PGRI,58
60,S1,PGRI,59
61,S1,TARB,60
62,S1,SABB,61
63,S1,TARB,62
64,S1,PNOI,63
65,S1,BBOR,64
66,S1,PGRI,65
67,S1,EABJ,66
68,S1,EABJ,67
69,S1,PNOI,68
70,S1,PGRI,69
71,S1,MMIX,70
72,S1,EABJ,71
73,S1,SABB,72
74,S1,TARB,73
75,S1,FACL,74
76,S1,SABB,75
77,S1,EABJ,76
78,S1,BBOR,77
79,S1,EABJ,78
80,S1,PGRI,79
81,S1,FACL,80
82,S1,BBOR,81
83,S1,FACL,82
84,S1,PNOI,83
85,S1,SABB,84
86,S1,FACL,85
87,S1,EABJ,86
88,S1,TARB,87
89,S1,MMIX,88
90,S1,BBOR,89
91,S1,MMIX,90
92,S1,FACL,91
93,S1,PGRI,92
94,S1,PNOI,93
95,S1,SABB,94
96,S1,PNOI,95
97,S1,EABJ,96
98,S1,BBOR,97
99,S1,EABJ,98
100,S1,EABJ,99
101,S2,PGRI,0
102,S2,FACL,1
103,S2,FACL,2
104,S2,SABB,3
105,S2,MMIX,4
106,S2,SABB,5
107,S2,PNOI,6
108,S2,BBOR,7
109,S2,FACL,8
110,S2,MMIX,9
111,S2,FACL,10
112,S2,PNOI,11
113,S2,PGRI,12
114,S2,PGRI,13
115,S2,PNOI,14
116,S2,FACL,15
117,S2,TARB,16
118,S2,TARB,17
119,S2,SABB,18
120,S2,PGRI,19
121,S2,EABJ,20
122,S2,BBOR,21
123,S2,BBOR,22
124,S2,SABB,23
125,S2,PGRI,24
126,S2,TARB,25
127,S2,PNOI,26
128,S2,PNOI,27
129,S2,BBOR,28
130,S2,FACL,29
131,S2,PNOI,30
132,S2,FACL,31
133,S2,BBOR,32
134,S2,PGRI,33
135,S2,SABB,34
136,S2,BBOR,35
137,S2,PNOI,36
138,S2,PGRI,37
139,S2,PGRI,38
140,S2,TARB,39
141,S2,BBOR,40
142,S2,FACL,41
143,S2,BBOR,42
144,S2,BBOR,43
145,S2,PNOI,44
146,S2,PGRI,45
147,S2,MMIX,46
148,S2,BBOR,47
149,S2,MMIX,48
150,S2,PGRI,49
151,S2,EABJ,50
152,S2,PGRI,51
153,S2,FACL,52
154,S2,PNOI,53
155,S2,FACL,54
156,S2,MMIX,55
157,S2,FACL,56
158,S2,BBOR,57
159,S2,MMIX,58
160,S2,PGRI,59
161,S2,SABB,60
162,S2,EABJ,61
163,S2,TARB,62
164,S2,SABB,63
165,S2,PNOI,64
166,S2,PNOI,65
167,S2,PGRI,66
168,S2,BBOR,67
169,S2,EABJ,68
170,S2,EABJ,69
171,S2,MMIX,70
172,S2,EABJ,71
173,S2,MMIX,72
174,S2,PNOI,73
175,S2,PGRI,74
176,S2,BBOR,75
177,S2,MMIX,76
178,S2,PGRI,77
179,S2,PNOI,78
180,S2,MMIX,79
181,S2,FACL,80
182,S2,FACL,81
183,S2,EABJ,82
184,S2,TARB,83
185,S2,PGRI,84
186,S2,BBOR,85
187,S2,PGRI,86
188,S2,PNOI,87
189,S2,SABB,88
190,S2,BBOR,89
191,S2,PNOI,90
192,S2,EABJ,91
193,S2,MMIX,92
194,S2,EABJ,93
195,S2,PNOI,94
196,S2,MMIX,95
197,S2,MMIX,96
198,S2,FACL,97
199,S2,MMIX,98
200,S2,MMIX,99
201,S3,BBOR,0
202,S3,TARB,1
203,S3,FACL,2
204,S3,PNOI,3
205,S3,EABJ,4
206,S3,EABJ,5
207,S3,TARB,6
208,S3,MMIX,7
209,S3,EABJ,8
210,S3,PGRI,9
211,S3,BBOR,10
212,S3,SABB,11
213,S3,EABJ,12
214,S3,SABB,13
215,S3,BBOR,14
216,S3,EABJ,15
217,S3,EABJ,16
218,S3,BBOR,17
219,S3,PNOI,18
220,S3,PGRI,19
221,S3,TARB,20
222,S3,BBOR,21
223,S3,SABB,22
224,S3,EABJ,23
225,S3,PGRI,24
226,S3,PGRI,25
227,S3,PGRI,26
228,S3,SABB,27
229,S3,SABB,28
230,S3,TARB,29
231,S3,SABB,30
232,S3,BBOR,31
233,S3,MMIX,32
234,S3,BBOR,33
235,S3,TARB,34
236,S3,PNOI,35
237,S3,PGRI,36
238,S3,EABJ,37
239,S3,SABB,38
240,S3,BBOR,39
241,S3,PNOI,40
242,S3,FACL,41
243,S3,SABB,42
244,S3,EABJ,43
245,S3,SABB,44
246,S3,SABB,45
247,S3,TARB,46
248,S3,PGRI,47
249,S3,TARB,48
250,S3,EABJ,49
251,S3,TARB,50
252,S3,BBOR,51
253,S3,TARB,52
254,S3,SABB,53
255,S3,PGRI,54
256,S3,TARB,55
257,S3,SABB,56
258,S3,MMIX,57
259,S3,FACL,58
260,S3,EABJ,59
261,S3,BBOR,60
262,S3,EABJ,61
263,S3,BBOR,62
264,S3,SABB,63
265,S3,TARB,64
266,S3,EABJ,65
267,S3,MMIX,66
268,S3,SABB,67
269,S3,TARB,68
270,S3,BBOR,69
271,S3,PGRI,70
272,S3,PGRI,71
273,S3,EABJ,72
274,S3,EABJ,73
275,S3,PGRI,74
276,S3,SABB,75
277,S3,EABJ,76
278,S3,BBOR,77
279,S3,BBOR,78
280,S3,MMIX,79
281,S3,EABJ,80
282,S3,SABB,81
283,S3,PNOI,82
284,S3,MMIX,83
285,S3,FACL,84
286,S3,TARB,85
287,S3,PNOI,86
288,S3,EABJ,87
289,S3,PGRI,88
290,S3,PGRI,89
291,S3,PNOI,90
292,S3,SABB,91
293,S3,EABJ,92
294,S3,EABJ,93
295,S3,PNOI,94
296,S3,EABJ,95
297,S3,FACL,96
298,S3,PGRI,97
299,S3,BBOR,98
300,S3,BBOR,99
301,S4,EABJ,0
302,S4,TARB,1
303,S4,PNOI,2
304,S4,PNOI,3
305,S4,BBOR,4
306,S4,TARB,5
307,S4,PNOI,6
308,S4,EABJ,7
309,S4,SABB,8
310,S4,PGRI,9
311,S4,SABB,10
312,S4,BBOR,11
313,S4,PNOI,12
314,S4,BBOR,13
315,S4,PGRI,14
316,S4,SABB,15
317,S4,TARB,16
318,S4,PGRI,17
319,S4,MMIX,18
320,S4,MMIX,19
321,S4,PGRI,20
322,S4,PGRI,21
323,S4,PGRI,22
324,S4,BBOR,23
325,S4,PGRI,24
326,S4,PGRI,25
327,S4,SABB,26
328,S4,TARB,27
329,S4,EABJ,28
330,S4,SABB,29
331,S4,PNOI,30
332,S4,PGRI,31
333,S4,PNOI,32
334,S4,FACL,33
335,S4,MMIX,34
336,S4,PGRI,35
337,S4,BBOR,36
338,S4,EABJ,37
339,S4,BBOR,38
340,S4,PNOI,39
341,S4,TARB,40
342,S4,BBOR,41
343,S4,MMIX,42
344,S4,MMIX,43
345,S4,TARB,44
346,S4,EABJ,45
347,S4,FACL,46
348,S4,PGRI,47
349,S4,TARB,48
350,S4,MMIX,49
351,S4,TARB,50
352,S4,SABB,51
353,S4,FACL,52
354,S4,BBOR,53
355,S4,SABB,54
356,S4,PNOI,55
357,S4,EABJ,56
358,S4,EABJ,57
359,S4,PGRI,58
360,S4,PGRI,59
361,S4,BBOR,60
362,S4,MMIX,61
363,S4,SABB,62
364,S4,TARB,63
365,S4,PGRI,64
366,S4,TARB,65
367,S4,EABJ,66
368,S4,EABJ,67
369,S4,BBOR,68
370,S4,TARB,69
371,S4,BBOR,70
372,S4,MMIX,71
373,S4,PNOI,72
374,S4,FACL,73
375,S4,SABB,74
376,S4,BBOR,75
377,S4,TARB,76
378,S4,TARB,77
379,S4,SABB,78
380,S4,PNOI,79
