id,id_plant,date_eco,note
1,MCC4129,2025-06-05,Plante en bonne santé
2,MCC4129,2025-12-10,Plante en bonne santé
3,MCC4129,2025-10-03,Signes de stress hydrique
4,MCC4129,2025-11-20,Plante en bonne santé
5,MCC4129,2025-12-05,Feuilles abîmées
6,MCC4841,2025-08-25,Insectes observés
7,MCC4841,2025-08-28,Insectes observés
8,MCC4841,2025-07-21,Croissance rapide
9,MCC4841,2025-12-23,Feuilles abîmées
10,MCA0268,2025-06-12,Feuilles abîmées
11,MCA0268,2025-11-04,Feuilles abîmées
12,MCC9519,2025-08-02,Signes de stress hydrique
13,MCC9519,2025-09-10,Feuilles abîmées
14,MCC9519,2025-07-16,Insectes observés
15,MCC9519,2025-12-15,Plante en bonne santé
16,MCA6765,2025-08-13,Insectes observés
17,MCA6765,2025-12-23,Signes de stress hydrique
18,MCA6765,2025-06-07,Feuilles abîmées
19,MCA6765,2025-06-27,Plante en bonne santé
20,MCC3441,2025-09-11,Plante en bonne santé
21,MCC3441,2025-09-05,Feuilles abîmées
22,MCC3441,2025-11-08,Feuilles abîmées
23,MCC5331,2025-09-29,Insectes observés
24,MCC5331,2025-08-20,Feuilles abîmées
25,MCC5331,2025-11-14,Plante en bonne santé
26,MCB0835,2025-07-03,Insectes observés
27,MCB0835,2025-07-19,Feuilles abîmées
28,MCA1247,2025-10-29,Insectes observés
29,MCA1247,2025-09-17,Feuilles abîmées
30,MCA1247,2025-07-18,Insectes observés
31,MCA1247,2025-11-07,Plante en bonne santé
32,MCA1247,2025-06-18,Plante en bonne santé
33,MCC0459,2025-11-14,Plante en bonne santé
34,MCC0459,2025-12-02,Insectes observés
35,MCC0510,2025-11-01,Croissance rapide
36,MCA2087,2025-06-29,Insectes observés
37,MCA2087,2025-11-02,Insectes observés
38,MCA2087,2025-12-13,Signes de stress hydrique
39,MCA2087,2025-06-27,Feuilles abîmées
40,MCA2087,2025-06-10,Croissance rapide
41,MCB6653,2025-12-24,Plante en bonne santé
42,MCB6653,2025-09-08,Insectes observés
43,MCB6653,2025-12-25,Croissance rapide
44,MCB8266,2025-06-02,Plante en bonne santé
45,MCB8266,2025-12-30,Croissance rapide
46,MCB8266,2025-09-10,Feuilles abîmées
47,MCB8266,2025-06-14,Croissance rapide
48,MCA5646,2025-11-18,Croissance rapide
49,MCA5646,2025-10-27,Croissance rapide
50,MCB7929,2025-11-01,Croissance rapide
51,MCB9275,2025-06-29,Insectes observés
52,MCB9275,2025-11-29,Croissance rapide
53,MCB9275,2025-09-11,Feuilles abîmées
54,MCB9275,2025-09-03,Plante en bonne santé
55,MCB7404,2025-09-08,Signes de stress hydrique
56,MCC3893,2025-11-02,Insectes observés
57,MCC3893,2025-11-19,Plante en bonne santé
58,MCA0458,2025-11-03,Feuilles abîmées
59,MCA0458,2025-12-18,Insectes observés
60,MCA0458,2025-12-24,Insectes observés
61,MCB5117,2025-09-19,Plante en bonne santé
62,MCA5557,2025-11-14,Plante en bonne santé
63,MCA5557,2025-07-30,Insectes observés
64,MCA5557,2025-09-05,Feuilles abîmées
65,MCC8382,2025-06-03,Croissance rapide
66,MCC8382,2025-08-26,Signes de stress hydrique
67,MCC8382,2025-11-01,Plante en bonne santé
68,MCC8382,2025-12-15,Feuilles abîmées
69,MCC6193,2025-08-08,Feuilles abîmées
70,MCC6193,2025-12-24,Signes de stress hydrique
71,MCC6193,2025-11-21,Plante en bonne santé
72,MCC6193,2025-08-25,Signes de stress hydrique
73,MCA2405,2025-07-06,Insectes observés
74,MCA2405,2025-08-20,Plante en bonne santé
75,MCA2405,2025-09-12,Feuilles abîmées
76,MCA7331,2025-08-12,Plante en bonne santé
77,MCA7331,2025-09-11,Croissance rapide
78,MCA7946,2025-06-14,Plante en bonne santé
79,MCA7946,2025-07-21,Insectes observés
80,MCA7946,2025-11-03,Feuilles abîmées
81,MCA7946,2025-09-22,Insectes observés
82,MCA7946,2025-08-07,Plante en bonne santé
83,MCB8927,2025-09-12,Feuilles abîmées
84,MCA7966,2025-10-23,Signes de stress hydrique
85,MCA7966,2025-12-14,Feuilles abîmées
86,MCA7966,2025-07-27,Feuilles abîmées
87,MCA7966,2025-10-04,Insectes observés
88,MCC5388,2025-09-05,Plante en bonne santé
89,MCC5388,2025-06-16,Croissance rapide
90,MCC5388,2025-07-10,Feuilles abîmées
91,MCC5388,2025-08-30,Croissance rapide
92,MCC5388,2025-12-19,Feuilles abîmées
93,MCB5497,2025-11-10,Croissance rapide
94,MCC0436,2025-07-04,Insectes observés
95,MCC0436,2025-10-28,Croissance rapide
96,MCC0436,2025-07-20,Insectes observés
97,MCA6109,2025-08-28,Feuilles abîmées
98,MCA6109,2025-06-06,Insectes observés
99,MCA6109,2025-07-02,Signes de stress hydrique
100,MCB6839,2025-06-30,Feuilles abîmées
101,MCB6839,2025-12-12,Insectes observés
102,MCB6839,2025-10-21,Insectes observés
103,MCB6839,2025-06-18,Croissance rapide
104,MCB6839,2025-06-28,Insectes observés
105,MCB0635,2025-06-05,Feuilles abîmées
106,MCB0635,2025-09-30,Signes de stress hydrique
107,MCB0635,2025-06-02,Insectes observés
108,MCB0869,2025-07-31,Signes de stress hydrique
109,MCB0869,2025-09-02,Signes de stress hydrique
110,MCB0869,2025-08-01,Insectes observés
111,MCB9941,2025-06-23,Croissance rapide
112,MCB9941,2025-10-23,Plante en bonne santé
113,MCB9941,2025-12-19,Signes de stress hydrique
114,MCA0380,2025-07-13,Feuilles abîmées
115,MCA0380,2025-06-08,Signes de stress hydrique
116,MCA0380,2025-07-29,Insectes observés
117,MCA0380,2025-07-28,Croissance rapide
118,MCA0380,2025-06-07,Plante en bonne santé
119,MCB0263,2025-12-23,Feuilles abîmées
120,MCB0263,2025-07-09,Insectes observés
121,MCB0263,2025-08-29,Croissance rapide
122,MCB0263,2025-07-11,Croissance rapide
123,MCA8688,2025-09-18,Croissance rapide
124,MCA8688,2025-06-17,Insectes observés
125,MCA8688,2025-09-02,Croissance rapide
126,MCA8688,2025-06-05,Croissance rapide
127,MCC4049,2025-08-15,Plante en bonne santé
128,MCC4049,2025-10-12,Plante en bonne santé
129,MCC4049,2025-11-22,Croissance rapide
130,MCC4049,2025-12-23,Plante en bonne santé
131,MCC4049,2025-11-27,Plante en bonne santé
