parcelle_id,placette_id,peuplement,position
569,N2,Érablière à bouleau jaune,68
464,N1,Toundra arbustive,63
600,N2,Sapinière à bouleau blanc,99
155,S2,Forêt alpine clairsemée,54
725,N4,Toundra arbustive,24
519,N2,Toundra arbustive,18
204,S3,Pessière noire,3
249,S3,Toundra arbustive,48
235,S3,Toundra arbustive,34
237,S3,Pinède grise,36
352,S4,Sapinière à bouleau blanc,51
560,N2,Pinède grise,59
284,S3,Mélèzin mixte,83
544,N2,Bétulaie boréale,43
258,S3,Mélèzin mixte,57
99,S1,Érablière à bouleau jaune,98
572,N2,Pessière noire,71
750,N4,Toundra arbustive,49
418,N1,Érablière à bouleau jaune,17
484,N1,Forêt alpine clairsemée,83
701,N4,Pessière noire,0
33,S1,Érablière à bouleau jaune,32
164,S2,Sapinière à bouleau blanc,63
196,S2,Mélèzin mixte,95
423,N1,Sapinière à bouleau blanc,22
647,N3,Pessière noire,46
303,S4,Pessière noire,2
453,N1,Bétulaie boréale,52
392,S4,Sapinière à bouleau blanc,91
289,S3,Pinède grise,88
597,N2,Bétulaie boréale,96
458,N1,Pessière noire,57
87,S1,Érablière à bouleau jaune,86
590,N2,Pinède grise,89
722,N4,Sapinière à bouleau blanc,21
74,S1,Toundra arbustive,73
374,S4,Forêt alpine clairsemée,73
617,N3,Sapinière à bouleau blanc,16
333,S4,Pessière noire,32
313,S4,Pessière noire,12
540,N2,Pessière noire,39
305,S4,Bétulaie boréale,4
293,S3,Érablière à bouleau jaune,92
37,S1,Sapinière à bouleau blanc,36
601,N3,Mélèzin mixte,0
174,S2,Pessière noire,73
166,S2,Pessière noire,65
191,S2,Pessière noire,90
755,N4,Pinède grise,54
730,N4,Pinède grise,29
688,N3,Érablière à bouleau jaune,87
227,S3,Pinède grise,26
791,N4,Érablière à bouleau jaune,90
501,N2,Toundra arbustive,0
263,S3,Bétulaie boréale,62
716,N4,Pessière noire,15
653,N3,Forêt alpine clairsemée,52
142,S2,Forêt alpine clairsemée,41
734,N4,Forêt alpine clairsemée,33
411,N1,Forêt alpine clairsemée,10
71,S1,Mélèzin mixte,70
743,N4,Pessière noire,42
340,S4,Pessière noire,39
613,N3,Pessière noire,12
65,S1,Bétulaie boréale,64
61,S1,Toundra arbustive,60
230,S3,Toundra arbustive,29
741,N4,Sapinière à bouleau blanc,40
189,S2,Sapinière à bouleau blanc,88
338,S4,Érablière à bouleau jaune,37
376,S4,Bétulaie boréale,75
360,S4,Pinède grise,59
199,S2,Mélèzin mixte,98
628,N3,Pessière noire,27
568,N2,Pessière noire,67
643,N3,Pinède grise,42
350,S4,Mélèzin mixte,49
575,N2,Sapinière à bouleau blanc,74
446,N1,Pinède grise,45
721,N4,Pessière noire,20
285,S3,Forêt alpine clairsemée,84
542,N2,Bétulaie boréale,41
377,S4,Toundra arbustive,76
274,S3,Érablière à bouleau jaune,73
165,S2,Pessière noire,64
631,N3,Pinède grise,30
705,N4,Toundra arbustive,4
745,N4,Toundra arbustive,44
406,N1,Sapinière à bouleau blanc,5
728,N4,Toundra arbustive,27
397,S4,Pessière noire,96
267,S3,Mélèzin mixte,66
2,S1,Bétulaie boréale,1
729,N4,Forêt alpine clairsemée,28
787,N4,Toundra arbustive,86
504,N2,Pessière noire,3
431,N1,Pessière noire,30
311,S4,Sapinière à bouleau blanc,10
246,S3,Sapinière à bouleau blanc,45
587,N2,Forêt alpine clairsemée,86
104,S2,Sapinière à bouleau blanc,3
434,N1,Pessière noire,33
295,S3,Pessière noire,94
181,S2,Forêt alpine clairsemée,80
715,N4,Forêt alpine clairsemée,14
201,S3,Bétulaie boréale,0
720,N4,Toundra arbustive,19
798,N4,Bétulaie boréale,97
336,S4,Pinède grise,35
170,S2,Érablière à bouleau jaune,69
358,S4,Érablière à bouleau jaune,57
83,S1,Forêt alpine clairsemée,82
76,S1,Sapinière à bouleau blanc,75
272,S3,Pinède grise,71
740,N4,Sapinière à bouleau blanc,39
549,N2,Pinède grise,48
127,S2,Pessière noire,26
580,N2,Mélèzin mixte,79
34,S1,Pinède grise,33
487,N1,Forêt alpine clairsemée,86
481,N1,Forêt alpine clairsemée,80
269,S3,Toundra arbustive,68
510,N2,Bétulaie boréale,9
473,N1,Bétulaie boréale,72
179,S2,Pessière noire,78
581,N2,Toundra arbustive,80
604,N3,Pinède grise,3
528,N2,Forêt alpine clairsemée,27
443,N1,Forêt alpine clairsemée,42
241,S3,Pessière noire,40
641,N3,Sapinière à bouleau blanc,40
383,S4,Toundra arbustive,82
503,N2,Forêt alpine clairsemée,2
771,N4,Toundra arbustive,70
467,N1,Toundra arbustive,66
102,S2,Forêt alpine clairsemée,1
60,S1,Pinède grise,59
595,N2,Forêt alpine clairsemée,94
548,N2,Mélèzin mixte,47
325,S4,Pinède grise,24
44,S1,Bétulaie boréale,43
239,S3,Sapinière à bouleau blanc,38
451,N1,Pinède grise,50
724,N4,Bétulaie boréale,23
637,N3,Érablière à bouleau jaune,36
537,N2,Érablière à bouleau jaune,36
744,N4,Mélèzin mixte,43
243,S3,Sapinière à bouleau blanc,42
162,S2,Érablière à bouleau jaune,61
468,N1,Érablière à bouleau jaune,67
764,N4,Bétulaie boréale,63
769,N4,Pinède grise,68
299,S3,Bétulaie boréale,98
178,S2,Pinède grise,77
733,N4,Érablière à bouleau jaune,32
393,S4,Bétulaie boréale,92
98,S1,Bétulaie boréale,97
693,N3,Pessière noire,92
759,N4,Toundra arbustive,58
459,N1,Sapinière à bouleau blanc,58
222,S3,Bétulaie boréale,21
109,S2,Forêt alpine clairsemée,8
100,S1,Érablière à bouleau jaune,99
692,N3,Toundra arbustive,91
63,S1,Toundra arbustive,62
307,S4,Pessière noire,6
375,S4,Sapinière à bouleau blanc,74
465,N1,Forêt alpine clairsemée,64
709,N4,Toundra arbustive,8
190,S2,Bétulaie boréale,89
622,N3,Bétulaie boréale,21
710,N4,Bétulaie boréale,9
747,N4,Mélèzin mixte,46
182,S2,Forêt alpine clairsemée,81
523,N2,Toundra arbustive,22
702,N4,Pessière noire,1
353,S4,Forêt alpine clairsemée,52
508,N2,Pessière noire,7
371,S4,Bétulaie boréale,70
220,S3,Pinède grise,19
493,N1,Pessière noire,92
516,N2,Érablière à bouleau jaune,15
367,S4,Érablière à bouleau jaune,66
757,N4,Pinède grise,56
233,S3,Mélèzin mixte,32
197,S2,Mélèzin mixte,96
105,S2,Mélèzin mixte,4
645,N3,Pessière noire,44
150,S2,Pinède grise,49
618,N3,Mélèzin mixte,17
533,N2,Bétulaie boréale,32
48,S1,Sapinière à bouleau blanc,47
317,S4,Toundra arbustive,16
682,N3,Sapinière à bouleau blanc,81
517,N2,Mélèzin mixte,16
598,N2,Pessière noire,97
129,S2,Bétulaie boréale,28
419,N1,Érablière à bouleau jaune,18
25,S1,Pessière noire,24
345,S4,Toundra arbustive,44
123,S2,Bétulaie boréale,22
422,N1,Mélèzin mixte,21
591,N2,Forêt alpine clairsemée,90
638,N3,Mélèzin mixte,37
72,S1,Érablière à bouleau jaune,71
562,N2,Pinède grise,61
784,N4,Pinède grise,83
407,N1,Forêt alpine clairsemée,6
19,S1,Sapinière à bouleau blanc,18
229,S3,Sapinière à bouleau blanc,28
640,N3,Bétulaie boréale,39
369,S4,Bétulaie boréale,68
107,S2,Pessière noire,6
175,S2,Pinède grise,74
297,S3,Forêt alpine clairsemée,96
66,S1,Pinède grise,65
442,N1,Bétulaie boréale,41
717,N4,Mélèzin mixte,16
264,S3,Sapinière à bouleau blanc,63
298,S3,Pinède grise,97
561,N2,Sapinière à bouleau blanc,60
396,S4,Érablière à bouleau jaune,95
75,S1,Forêt alpine clairsemée,74
555,N2,Pinède grise,54
691,N3,Pinède grise,90
331,S4,Pessière noire,30
151,S2,Érablière à bouleau jaune,50
421,N1,Sapinière à bouleau blanc,20
30,S1,Sapinière à bouleau blanc,29
254,S3,Sapinière à bouleau blanc,53
382,S4,Pessière noire,81
563,N2,Mélèzin mixte,62
184,S2,Toundra arbustive,83
168,S2,Bétulaie boréale,67
781,N4,Pessière noire,80
527,N2,Bétulaie boréale,26
120,S2,Pinède grise,19
157,S2,Forêt alpine clairsemée,56
302,S4,Toundra arbustive,1
466,N1,Érablière à bouleau jaune,65
399,S4,Pessière noire,98
242,S3,Forêt alpine clairsemée,41
567,N2,Érablière à bouleau jaune,66
440,N1,Sapinière à bouleau blanc,39
416,N1,Pessière noire,15
92,S1,Forêt alpine clairsemée,91
488,N1,Bétulaie boréale,87
133,S2,Bétulaie boréale,32
205,S3,Érablière à bouleau jaune,4
247,S3,Toundra arbustive,46
570,N2,Pessière noire,69
786,N4,Mélèzin mixte,85
94,S1,Pessière noire,93
795,N4,Mélèzin mixte,94
206,S3,Érablière à bouleau jaune,5
646,N3,Érablière à bouleau jaune,45
130,S2,Forêt alpine clairsemée,29
578,N2,Pinède grise,77
683,N3,Forêt alpine clairsemée,82
238,S3,Érablière à bouleau jaune,37
348,S4,Pinède grise,47
11,S1,Forêt alpine clairsemée,10
457,N1,Forêt alpine clairsemée,56
794,N4,Pessière noire,93
13,S1,Pinède grise,12
282,S3,Sapinière à bouleau blanc,81
12,S1,Érablière à bouleau jaune,11
708,N4,Sapinière à bouleau blanc,7
627,N3,Pinède grise,26
