plant_id,date_decouverte
MCA8526,2025-08-06
MCA1931,2025-06-29
MCC2291,2025-10-17
MCC8521,2025-07-25
MCB6600,2025-09-15
MCC1714,2025-10-23
MCC4049,2025-06-28
MCB3369,2025-07-12
MCA0380,2025-10-08
MCC5056,2025-09-25
MCC2288,2025-08-09
MCA5286,2025-08-31
MCB9941,2025-10-14
MCC2174,2025-06-19
MCC0477,2025-09-16
MCC2805,2025-09-18
MCC5736,2025-09-16
MCA4592,2025-09-05
MCC3670,2025-09-07
MCC5958,2025-10-09
MCB5248,2025-10-06
MCC6378,2025-09-10
MCC4335,2025-09-02
MCA9859,2025-07-27
MCB7370,2025-10-20
MCA4263,2025-07-06
MCB3713,2025-06-04
MCC3680,2025-09-14
MCA7866,2025-09-23
MCC6235,2025-10-08
MCA2809,2025-09-13
MCA5362,2025-08-25
MCB9977,2025-07-20
MCC0153,2025-08-22
MCC2018,2025-06-12
MCC4168,2025-09-11
MCC8551,2025-08-28
MCB3351,2025-08-25
MCA4932,2025-08-11
MCB3779,2025-08-27
MCB0276,2025-10-11
MCC0389,2025-09-12
MCB2626,2025-07-28
MCA8772,2025-06-26
MCA7422,2025-08-09
MCA6272,2025-09-01
MCB7404,2025-10-02
MCB1565,2025-09-20
MCB0943,2025-08-15
MCC5939,2025-10-12
MCA7292,2025-07-11
MCC8311,2025-09-05
MCB6884,2025-09-03
MCB7806,2025-09-22
MCA0078,2025-10-15
MCA6146,2025-07-04
MCA7714,2025-06-22
MCB1851,2025-06-10
MCB2410,2025-10-05
MCB0622,2025-08-17
MCA1375,2025-06-28
MCB1198,2025-09-09
MCB1102,2025-07-08
MCA4360,2025-07-23
MCC4130,2025-08-24
MCA8305,2025-06-24
MCA2146,2025-10-10
MCC6444,2025-08-06
MCA4046,2025-08-12
MCB3252,2025-07-21
MCC2964,2025-08-31
MCC7411,2025-10-18
MCB6039,2025-08-10
MCC3415,2025-06-10
MCA0332,2025-07-07
MCC1411,2025-07-01
MCB0662,2025-06-13
MCC3057,2025-07-19
MCB5240,2025-06-07
MCC5564,2025-09-09
MCA8951,2025-09-03
MCC4898,2025-06-24
MCC6169,2025-08-04
MCC3585,2025-10-12
MCA0077,2025-06-16
MCC9739,2025-09-23
MCA4152,2025-07-13
MCA8625,2025-06-30
MCB2274,2025-07-07
MCA8196,2025-08-14
MCB3534,2025-10-28
MCA2588,2025-08-26
MCA7121,2025-10-23
MCA2202,2025-08-13
MCB3899,2025-10-28
MCC9826,2025-09-17
MCC9221,2025-09-04
MCB7660,2025-06-22
MCB1932,2025-07-29
MCC4881,2025-10-22
MCC6279,2025-06-07
MCA7782,2025-09-01
MCB7003,2025-07-19
MCC2786,2025-06-29
MCC9070,2025-06-01
MCB0300,2025-06-04
MCC9013,2025-10-15
MCA9510,2025-09-08
MCB9192,2025-09-17
MCC7513,2025-10-10
MCA9689,2025-09-10
MCB9552,2025-09-29
MCA8740,2025-08-26
MCC8467,2025-10-19
MCC7659,2025-07-14
MCA1538,2025-09-30
MCB7523,2025-09-22
MCA7833,2025-09-30
MCB1062,2025-07-28
MCB1222,2025-06-28
MCB2194,2025-06-12
MCB1789,2025-08-13
MCB9342,2025-08-08
MCA2324,2025-08-17
MCA4695,2025-09-14
MCC9549,2025-10-16
MCC2101,2025-06-08
MCC0878,2025-08-12
MCA6109,2025-07-16
MCA7046,2025-09-27
MCC3951,2025-06-21
MCA9406,2025-08-19
MCB4670,2025-07-14
MCB0056,2025-10-24
MCA3189,2025-07-30
MCB5215,2025-07-08
MCA9815,2025-07-30
MCC4229,2025-08-19
MCB4847,2025-08-27
MCC1954,2025-08-21
MCB6448,2025-07-01
MCB2310,2025-08-18
MCB2619,2025-08-21
MCB4841,2025-07-30
MCC2694,2025-07-11
MCB2789,2025-09-11
MCA7331,2025-06-19
MCC0836,2025-07-04
MCA9239,2025-06-11
MCA1570,2025-09-01
MCB1033,2025-10-22
MCA0362,2025-10-12
MCC9066,2025-08-10
MCB9660,2025-08-28
MCC4521,2025-07-04
MCB0689,2025-08-06
MCC9245,2025-07-17
MCB3174,2025-07-14
MCB7645,2025-07-31
MCC0749,2025-09-29
MCC0154,2025-08-20
MCB9620,2025-08-23
MCC1035,2025-08-31
MCA7575,2025-10-24
MCC7574,2025-08-20
MCB0545,2025-07-15
MCA7685,2025-06-07
MCA1431,2025-10-18
MCA3086,2025-06-09
MCB3483,2025-07-06
MCB3937,2025-10-07
MCC4510,2025-10-18
MCB7154,2025-08-19
MCA0271,2025-09-13
MCB5264,2025-09-18
MCA1346,2025-07-28
MCA8853,2025-09-04
MCC2638,2025-09-20
MCC8461,2025-09-10
MCA5835,2025-06-12
MCC1310,2025-08-22
MCC8921,2025-07-16
MCA9620,2025-08-03
MCA6740,2025-08-29
MCB0494,2025-06-01
MCB3214,2025-06-04
MCB9637,2025-06-08
MCC4194,2025-08-14
MCB6653,2025-10-08
MCC3911,2025-07-28
MCA7520,2025-08-16
MCA1861,2025-06-24
MCC4138,2025-10-18
MCC0146,2025-09-10
MCA6232,2025-07-20
MCB5497,2025-10-16
MCB5854,2025-10-07
MCC2842,2025-10-26
MCC6544,2025-06-07
MCB7997,2025-07-11
MCB1814,2025-07-28
MCC8719,2025-09-03
MCB5604,2025-08-04
MCC9174,2025-08-27
MCC4109,2025-06-19
MCA6054,2025-10-21
MCC5186,2025-07-26
MCB0623,2025-07-30
MCA4590,2025-07-22
MCB3799,2025-06-21
MCB1900,2025-10-18
MCA7457,2025-06-24
MCA8528,2025-10-08
MCC8382,2025-06-23
MCB0803,2025-10-03
MCA6892,2025-08-27
MCB4956,2025-06-27
MCA0245,2025-06-20
MCC4937,2025-09-12
MCB1809,2025-09-18
MCC5035,2025-07-23
MCA6922,2025-10-28
MCA9395,2025-08-24
MCB0926,2025-09-25
MCA9799,2025-06-16
MCC3441,2025-06-23
MCC6648,2025-10-06
MCC6060,2025-09-08
MCA2915,2025-10-22
MCA3509,2025-10-14
MCB4519,2025-08-11
MCB5547,2025-09-12
MCA6040,2025-10-20
MCA6375,2025-08-05
MCA9602,2025-06-10
MCB0595,2025-09-17
MCA1011,2025-10-13
MCA1247,2025-09-30
MCC2544,2025-07-23
MCC1649,2025-08-10
MCC7696,2025-06-04
MCB6966,2025-07-27
MCC4246,2025-07-28
MCB8718,2025-07-25
MCA5354,2025-09-19
MCC9443,2025-07-03
MCB8222,2025-07-19
MCB9501,2025-06-21
MCC4841,2025-10-22
MCA2685,2025-10-23
MCA0743,2025-06-25
MCA0676,2025-10-21
MCC3099,2025-07-07
MCA8635,2025-08-05
MCB2854,2025-10-25
MCB8897,2025-08-15
MCA7421,2025-08-05
MCB2868,2025-08-04
MCB0331,2025-08-09
MCB8927,2025-06-22
MCC8181,2025-07-14
MCA8561,2025-07-22
MCB1689,2025-09-26
MCC1796,2025-07-15
MCC7915,2025-09-28
MCA8088,2025-07-19
MCB8575,2025-10-07
MCA5646,2025-07-22
MCC3885,2025-07-13
MCC2653,2025-08-18
MCA9388,2025-10-19
MCA2430,2025-08-04
MCA6362,2025-07-02
MCA0476,2025-07-22
MCB6507,2025-10-26
MCC6509,2025-08-06
MCA8272,2025-08-24
MCB4212,2025-10-26
MCC8557,2025-06-19
MCA8744,2025-10-26
MCC9485,2025-06-26
MCC4869,2025-07-19
MCA2496,2025-10-02
MCA3006,2025-07-18
MCA1696,2025-10-26
MCB3112,2025-10-06
MCB8003,2025-07-15
MCB2326,2025-09-21
MCB5117,2025-06-28
MCA8978,2025-09-12
MCA7266,2025-08-07
MCC9698,2025-10-22
MCB5121,2025-09-02
MCC3998,2025-07-17
MCB9758,2025-06-15
MCC0436,2025-08-12
MCB5818,2025-08-08
MCA7946,2025-07-10
MCA5196,2025-09-21
MCA9200,2025-06-08
MCA9248,2025-08-09
MCC6523,2025-10-19
MCC7952,2025-10-24
MCA7869,2025-06-13
MCC3283,2025-06-26
MCC0728,2025-07-10
MCC0144,2025-06-26
MCA5426,2025-06-07
MCB8437,2025-06-24
MCA5102,2025-06-02
MCB2427,2025-07-20
MCB0869,2025-07-14
MCC0896,2025-10-04
