id_interne_plant,date,longueur,largeur,superficie,note
92,2025-08-19,176.00,440.00,77440.0000,Plante un peu croche
92,2025-10-04,658.00,614.00,404012.0000,Un chevreuil est passé par là
92,2025-10-31,632.00,34.00,21488.0000,Goute très bon
92,2025-10-18,290.00,284.00,82360.0000,Plante un peu croche
92,2025-10-07,283.00,562.00,159046.0000,Belle forme pour celle-ci!
92,2025-07-21,921.00,187.00,172227.0000,Super belle plante
92,2025-09-07,493.00,587.00,289391.0000,Un chevreuil est passé par là
478,2025-08-29,216.00,261.00,56376.0000,Un chevreuil est passé par là
478,2025-06-12,254.00,408.00,103632.0000,Belle forme pour celle-ci!
478,2025-09-17,383.00,413.00,158179.0000,Un chevreuil est passé par là
478,2025-12-23,765.00,747.00,571455.0000,Belle forme pour celle-ci!
478,2025-09-10,209.00,810.00,169290.0000,Un chevreuil est passé par là
478,2025-10-14,329.00,526.00,173054.0000,Super belle plante
478,2025-12-01,441.00,620.00,273420.0000,Super belle plante
306,2025-08-25,45.00,474.00,21330.0000,Plante un peu croche
306,2025-07-02,424.00,304.00,128896.0000,Goute très bon
1055,2025-10-03,624.00,317.00,197808.0000,Goute très bon
1055,2025-12-24,396.00,35.00,13860.0000,Plante un peu croche
960,2025-07-23,835.00,75.00,62625.0000,Plante un peu croche
960,2025-10-31,337.00,824.00,277688.0000,Plante un peu croche
960,2025-10-18,109.00,314.00,34226.0000,Super belle plante
960,2025-06-24,424.00,606.00,256944.0000,Plante un peu croche
960,2025-09-16,911.00,66.00,60126.0000,Plante un peu croche
114,2025-08-15,407.00,564.00,229548.0000,Super belle plante
114,2025-07-26,468.00,776.00,363168.0000,Super belle plante
637,2025-12-09,223.00,48.00,10704.0000,Plante un peu croche
637,2025-11-23,634.00,511.00,323974.0000,Un chevreuil est passé par là
637,2025-08-18,223.00,700.00,156100.0000,Super belle plante
637,2025-10-21,618.00,543.00,335574.0000,Goute très bon
637,2025-11-11,846.00,204.00,172584.0000,Belle forme pour celle-ci!
191,2025-12-21,72.00,666.00,47952.0000,Plante un peu croche
191,2025-11-05,832.00,672.00,559104.0000,Plante un peu croche
191,2025-06-24,766.00,686.00,525476.0000,Super belle plante
191,2025-10-11,172.00,712.00,122464.0000,Belle forme pour celle-ci!
191,2025-07-14,714.00,822.00,586908.0000,Plante un peu croche
191,2025-10-09,496.00,429.00,212784.0000,Un chevreuil est passé par là
191,2025-09-05,922.00,113.00,104186.0000,Belle forme pour celle-ci!
9,2025-06-03,885.00,203.00,179655.0000,Un chevreuil est passé par là
9,2025-12-03,741.00,111.00,82251.0000,Super belle plante
9,2025-12-15,234.00,245.00,57330.0000,Goute très bon
9,2025-07-09,123.00,578.00,71094.0000,Un chevreuil est passé par là
9,2025-10-06,677.00,958.00,648566.0000,Un chevreuil est passé par là
22,2025-09-24,142.00,308.00,43736.0000,Goute très bon
22,2025-06-14,497.00,650.00,323050.0000,Super belle plante
22,2025-10-25,744.00,934.00,694896.0000,Plante un peu croche
22,2025-10-11,101.00,472.00,47672.0000,Belle forme pour celle-ci!
22,2025-08-23,508.00,242.00,122936.0000,Goute très bon
22,2025-10-27,564.00,817.00,460788.0000,Goute très bon
22,2025-10-10,788.00,778.00,613064.0000,Un chevreuil est passé par là
111,2025-10-12,481.00,353.00,169793.0000,Belle forme pour celle-ci!
111,2025-06-10,945.00,623.00,588735.0000,Belle forme pour celle-ci!
111,2025-10-06,354.00,292.00,103368.0000,Un chevreuil est passé par là
111,2025-09-18,900.00,998.00,898200.0000,Belle forme pour celle-ci!
111,2025-11-08,880.00,626.00,550880.0000,Plante un peu croche
111,2025-06-29,656.00,157.00,102992.0000,Belle forme pour celle-ci!
111,2025-12-24,393.00,954.00,374922.0000,Goute très bon
722,2025-08-12,713.00,565.00,402845.0000,Goute très bon
722,2025-10-24,850.00,781.00,663850.0000,Plante un peu croche
722,2025-07-29,304.00,552.00,167808.0000,Super belle plante
722,2025-10-03,263.00,355.00,93365.0000,Super belle plante
722,2025-06-11,821.00,477.00,391617.0000,Plante un peu croche
722,2025-06-18,382.00,386.00,147452.0000,Goute très bon
127,2025-09-14,315.00,30.00,9450.0000,Super belle plante
973,2025-09-30,797.00,641.00,510877.0000,Un chevreuil est passé par là
973,2025-08-05,743.00,198.00,147114.0000,Un chevreuil est passé par là
819,2025-12-14,531.00,393.00,208683.0000,Super belle plante
819,2025-06-26,110.00,592.00,65120.0000,Un chevreuil est passé par là
819,2025-11-28,978.00,108.00,105624.0000,Plante un peu croche
556,2025-09-04,381.00,165.00,62865.0000,Plante un peu croche
556,2025-06-07,209.00,137.00,28633.0000,Goute très bon
556,2025-10-03,129.00,253.00,32637.0000,Belle forme pour celle-ci!
701,2025-06-11,615.00,599.00,368385.0000,Belle forme pour celle-ci!
701,2025-10-01,31.00,506.00,15686.0000,Goute très bon
701,2025-08-26,584.00,310.00,181040.0000,Goute très bon
701,2025-10-14,713.00,835.00,595355.0000,Belle forme pour celle-ci!
701,2025-09-19,60.00,785.00,47100.0000,Goute très bon
701,2025-07-24,968.00,226.00,218768.0000,Super belle plante
701,2025-10-10,462.00,419.00,193578.0000,Plante un peu croche
347,2025-09-19,100.00,47.00,4700.0000,Super belle plante
347,2025-09-02,897.00,734.00,658398.0000,Super belle plante
347,2025-11-23,738.00,4.00,2952.0000,Super belle plante
258,2025-11-26,892.00,297.00,264924.0000,Super belle plante
258,2025-11-06,613.00,887.00,543731.0000,Goute très bon
258,2025-06-09,297.00,383.00,113751.0000,Plante un peu croche
258,2025-10-13,760.00,591.00,449160.0000,Super belle plante
258,2025-07-07,742.00,378.00,280476.0000,Goute très bon
78,2025-09-04,298.00,960.00,286080.0000,Plante un peu croche
968,2025-07-21,515.00,63.00,32445.0000,Un chevreuil est passé par là
968,2025-08-06,910.00,617.00,561470.0000,Un chevreuil est passé par là
994,2025-12-12,124.00,510.00,63240.0000,Un chevreuil est passé par là
994,2025-12-15,829.00,548.00,454292.0000,Goute très bon
994,2025-11-21,332.00,794.00,263608.0000,Goute très bon
994,2025-08-23,296.00,15.00,4440.0000,Plante un peu croche
994,2025-10-09,631.00,465.00,293415.0000,Belle forme pour celle-ci!
91,2025-12-13,326.00,981.00,319806.0000,Belle forme pour celle-ci!
91,2025-08-12,152.00,545.00,82840.0000,Un chevreuil est passé par là
91,2025-08-11,388.00,476.00,184688.0000,Plante un peu croche
91,2025-12-28,614.00,910.00,558740.0000,Goute très bon
91,2025-11-05,202.00,13.00,2626.0000,Super belle plante
91,2025-07-31,268.00,892.00,239056.0000,Goute très bon
91,2025-09-28,196.00,521.00,102116.0000,Plante un peu croche
454,2025-12-08,353.00,246.00,86838.0000,Plante un peu croche
693,2025-08-01,530.00,910.00,482300.0000,Goute très bon
693,2025-09-08,943.00,543.00,512049.0000,Super belle plante
693,2025-07-24,852.00,345.00,293940.0000,Un chevreuil est passé par là
693,2025-11-15,765.00,927.00,709155.0000,Un chevreuil est passé par là
693,2025-12-03,745.00,444.00,330780.0000,Goute très bon
693,2025-07-18,455.00,265.00,120575.0000,Super belle plante
693,2025-08-17,300.00,92.00,27600.0000,Super belle plante
554,2025-06-19,289.00,781.00,225709.0000,Goute très bon
554,2025-06-05,911.00,910.00,829010.0000,Super belle plante
554,2025-06-30,140.00,322.00,45080.0000,Belle forme pour celle-ci!
554,2025-09-14,444.00,36.00,15984.0000,Belle forme pour celle-ci!
554,2025-11-19,80.00,127.00,10160.0000,Belle forme pour celle-ci!
554,2025-10-02,611.00,366.00,223626.0000,Plante un peu croche
554,2025-12-02,792.00,518.00,410256.0000,Belle forme pour celle-ci!
799,2025-10-17,100.00,601.00,60100.0000,Un chevreuil est passé par là
799,2025-06-26,998.00,848.00,846304.0000,Un chevreuil est passé par là
799,2025-09-10,513.00,992.00,508896.0000,Plante un peu croche
799,2025-07-06,477.00,504.00,240408.0000,Super belle plante
799,2025-12-12,567.00,629.00,356643.0000,Un chevreuil est passé par là
799,2025-11-20,960.00,808.00,775680.0000,Goute très bon
799,2025-09-15,81.00,383.00,31023.0000,Super belle plante
931,2025-12-23,22.00,738.00,16236.0000,Goute très bon
931,2025-08-14,117.00,114.00,13338.0000,Un chevreuil est passé par là
931,2025-09-09,947.00,967.00,915749.0000,Plante un peu croche
303,2025-07-27,832.00,65.00,54080.0000,Un chevreuil est passé par là
303,2025-11-08,664.00,306.00,203184.0000,Belle forme pour celle-ci!
303,2025-07-08,321.00,36.00,11556.0000,Un chevreuil est passé par là
303,2025-12-17,413.00,816.00,337008.0000,Un chevreuil est passé par là
303,2025-12-02,302.00,59.00,17818.0000,Plante un peu croche
303,2025-10-19,219.00,200.00,43800.0000,Super belle plante
303,2025-11-17,140.00,274.00,38360.0000,Super belle plante
713,2025-07-14,21.00,795.00,16695.0000,Plante un peu croche
713,2025-12-29,297.00,308.00,91476.0000,Goute très bon
505,2025-09-06,366.00,265.00,96990.0000,Super belle plante
505,2025-09-08,759.00,155.00,117645.0000,Plante un peu croche
505,2025-06-30,857.00,312.00,267384.0000,Goute très bon
505,2025-09-05,1.00,969.00,969.0000,Belle forme pour celle-ci!
936,2025-09-26,882.00,115.00,101430.0000,Plante un peu croche
936,2025-07-31,728.00,954.00,694512.0000,Super belle plante
936,2025-09-11,437.00,743.00,324691.0000,Goute très bon
936,2025-11-22,116.00,786.00,91176.0000,Super belle plante
936,2025-10-16,800.00,803.00,642400.0000,Goute très bon
936,2025-07-18,108.00,554.00,59832.0000,Belle forme pour celle-ci!
936,2025-07-06,895.00,234.00,209430.0000,Goute très bon
563,2025-12-29,119.00,792.00,94248.0000,Super belle plante
313,2025-07-30,529.00,857.00,453353.0000,Goute très bon
313,2025-09-14,507.00,650.00,329550.0000,Goute très bon
313,2025-10-09,378.00,558.00,210924.0000,Belle forme pour celle-ci!
313,2025-12-11,171.00,587.00,100377.0000,Belle forme pour celle-ci!
313,2025-08-11,525.00,952.00,499800.0000,Goute très bon
976,2025-10-26,266.00,579.00,154014.0000,Un chevreuil est passé par là
715,2025-06-26,13.00,347.00,4511.0000,Plante un peu croche
715,2025-06-20,72.00,384.00,27648.0000,Belle forme pour celle-ci!
715,2025-07-17,641.00,926.00,593566.0000,Un chevreuil est passé par là
715,2025-09-05,320.00,323.00,103360.0000,Goute très bon
715,2025-11-09,223.00,428.00,95444.0000,Super belle plante
715,2025-07-31,134.00,685.00,91790.0000,Super belle plante
827,2025-06-03,491.00,531.00,260721.0000,Belle forme pour celle-ci!
1,2025-10-21,704.00,451.00,317504.0000,Un chevreuil est passé par là
257,2025-07-29,29.00,72.00,2088.0000,Super belle plante
257,2025-10-19,822.00,516.00,424152.0000,Un chevreuil est passé par là
257,2025-09-30,788.00,255.00,200940.0000,Un chevreuil est passé par là
257,2025-06-26,784.00,827.00,648368.0000,Plante un peu croche
257,2025-06-01,900.00,252.00,226800.0000,Un chevreuil est passé par là
64,2025-10-24,971.00,54.00,52434.0000,Plante un peu croche
64,2025-10-27,972.00,432.00,419904.0000,Super belle plante
64,2025-12-03,447.00,624.00,278928.0000,Super belle plante
64,2025-06-23,650.00,618.00,401700.0000,Goute très bon
64,2025-08-24,312.00,778.00,242736.0000,Goute très bon
64,2025-12-26,150.00,946.00,141900.0000,Goute très bon
165,2025-08-01,110.00,241.00,26510.0000,Un chevreuil est passé par là
165,2025-07-21,312.00,345.00,107640.0000,Un chevreuil est passé par là
165,2025-08-13,616.00,271.00,166936.0000,Belle forme pour celle-ci!
165,2025-09-25,404.00,615.00,248460.0000,Super belle plante
165,2025-11-05,558.00,428.00,238824.0000,Goute très bon
165,2025-11-03,398.00,594.00,236412.0000,Un chevreuil est passé par là
935,2025-10-27,766.00,913.00,699358.0000,Goute très bon
935,2025-11-04,633.00,175.00,110775.0000,Un chevreuil est passé par là
935,2025-12-17,533.00,266.00,141778.0000,Super belle plante
935,2025-06-25,925.00,626.00,579050.0000,Goute très bon
1017,2025-07-13,63.00,6.00,378.0000,Goute très bon
1017,2025-12-07,669.00,370.00,247530.0000,Un chevreuil est passé par là
1017,2025-08-27,671.00,948.00,636108.0000,Un chevreuil est passé par là
1017,2025-08-07,491.00,248.00,121768.0000,Plante un peu croche
39,2025-11-16,551.00,173.00,95323.0000,Super belle plante
39,2025-06-13,442.00,305.00,134810.0000,Plante un peu croche
39,2025-10-12,699.00,133.00,92967.0000,Super belle plante
39,2025-10-29,851.00,703.00,598253.0000,Un chevreuil est passé par là
39,2025-10-06,862.00,851.00,733562.0000,Super belle plante
39,2025-12-27,225.00,529.00,119025.0000,Plante un peu croche
39,2025-11-17,16.00,698.00,11168.0000,Un chevreuil est passé par là
651,2025-11-19,594.00,628.00,373032.0000,Plante un peu croche
651,2025-07-29,652.00,866.00,564632.0000,Plante un peu croche
651,2025-06-10,156.00,667.00,104052.0000,Un chevreuil est passé par là
651,2025-06-13,174.00,504.00,87696.0000,Super belle plante
338,2025-06-13,205.00,466.00,95530.0000,Goute très bon
338,2025-07-23,79.00,174.00,13746.0000,Belle forme pour celle-ci!
338,2025-11-13,449.00,329.00,147721.0000,Goute très bon
967,2025-07-12,572.00,681.00,389532.0000,Un chevreuil est passé par là
967,2025-08-20,465.00,842.00,391530.0000,Goute très bon
967,2025-09-05,677.00,201.00,136077.0000,Goute très bon
967,2025-10-14,33.00,871.00,28743.0000,Belle forme pour celle-ci!
967,2025-12-30,704.00,464.00,326656.0000,Un chevreuil est passé par là
967,2025-10-06,348.00,314.00,109272.0000,Plante un peu croche
793,2025-09-10,847.00,726.00,614922.0000,Plante un peu croche
793,2025-06-22,654.00,518.00,338772.0000,Super belle plante
793,2025-07-23,654.00,175.00,114450.0000,Super belle plante
793,2025-06-08,370.00,563.00,208310.0000,Belle forme pour celle-ci!
793,2025-11-19,526.00,667.00,350842.0000,Goute très bon
771,2025-07-25,790.00,809.00,639110.0000,Goute très bon
771,2025-10-26,319.00,711.00,226809.0000,Goute très bon
771,2025-11-25,365.00,592.00,216080.0000,Un chevreuil est passé par là
771,2025-08-16,444.00,718.00,318792.0000,Belle forme pour celle-ci!
771,2025-11-18,228.00,266.00,60648.0000,Un chevreuil est passé par là
771,2025-12-05,704.00,277.00,195008.0000,Super belle plante
771,2025-12-26,97.00,39.00,3783.0000,Goute très bon
939,2025-12-29,653.00,427.00,278831.0000,Belle forme pour celle-ci!
341,2025-08-15,26.00,703.00,18278.0000,Super belle plante
939,2025-07-09,936.00,374.00,350064.0000,Belle forme pour celle-ci!
939,2025-12-26,109.00,988.00,107692.0000,Un chevreuil est passé par là
939,2025-10-14,365.00,584.00,213160.0000,Un chevreuil est passé par là
939,2025-11-26,348.00,880.00,306240.0000,Goute très bon
939,2025-08-29,363.00,664.00,241032.0000,Un chevreuil est passé par là
805,2025-10-15,876.00,582.00,509832.0000,Goute très bon
805,2025-12-14,48.00,75.00,3600.0000,Belle forme pour celle-ci!
805,2025-08-19,515.00,36.00,18540.0000,Goute très bon
805,2025-08-15,590.00,752.00,443680.0000,Super belle plante
805,2025-08-03,468.00,531.00,248508.0000,Belle forme pour celle-ci!
599,2025-09-05,512.00,137.00,70144.0000,Goute très bon
861,2025-08-02,565.00,264.00,149160.0000,Un chevreuil est passé par là
861,2025-09-06,545.00,496.00,270320.0000,Plante un peu croche
861,2025-11-23,866.00,931.00,806246.0000,Goute très bon
861,2025-11-21,94.00,443.00,41642.0000,Belle forme pour celle-ci!
861,2025-10-15,556.00,644.00,358064.0000,Un chevreuil est passé par là
