id_interne_plant,date,etat,note
92,2025-08-12,Excellent,Observation automatique
92,2025-08-29,Excellent,Observation automatique
92,2025-09-05,Mauvais,Observation automatique
478,2025-11-14,Bon,Observation automatique
478,2025-12-09,Très mauvais,Observation automatique
478,2025-09-04,Bon,Observation automatique
478,2025-09-08,Très mauvais,Observation automatique
478,2025-10-28,Très mauvais,Observation automatique
478,2025-11-28,Excellent,Observation automatique
478,2025-08-16,Très mauvais,Observation automatique
306,2025-12-02,Excellent,Observation automatique
306,2025-10-25,Très mauvais,Observation automatique
306,2025-10-19,Très mauvais,Observation automatique
306,2025-10-01,Bon,Observation automatique
306,2025-12-07,Bon,Observation automatique
1055,2025-10-25,Excellent,Observation automatique
1055,2025-10-27,Correct,Observation automatique
1055,2025-09-06,Mauvais,Observation automatique
1055,2025-09-29,Mauvais,Observation automatique
1055,2025-12-05,Bon,Observation automatique
960,2025-07-24,Très mauvais,Observation automatique
960,2025-12-09,Mauvais,Observation automatique
114,2025-09-27,Excellent,Observation automatique
114,2025-06-09,Bon,Observation automatique
637,2025-08-18,Excellent,Observation automatique
637,2025-10-26,Correct,Observation automatique
637,2025-09-28,Excellent,Observation automatique
637,2025-07-26,Correct,Observation automatique
191,2025-10-15,Excellent,Observation automatique
191,2025-12-17,Excellent,Observation automatique
191,2025-08-05,Bon,Observation automatique
191,2025-06-21,Mauvais,Observation automatique
191,2025-07-14,Mauvais,Observation automatique
191,2025-12-04,Mauvais,Observation automatique
9,2025-08-08,Bon,Observation automatique
9,2025-06-25,Excellent,Observation automatique
9,2025-09-16,Très mauvais,Observation automatique
9,2025-09-17,Bon,Observation automatique
9,2025-10-02,Très mauvais,Observation automatique
22,2025-06-06,Excellent,Observation automatique
22,2025-10-03,Excellent,Observation automatique
111,2025-09-05,Bon,Observation automatique
111,2025-09-06,Très mauvais,Observation automatique
111,2025-08-03,Correct,Observation automatique
111,2025-06-05,Correct,Observation automatique
111,2025-11-26,Excellent,Observation automatique
111,2025-06-10,Bon,Observation automatique
111,2025-07-25,Correct,Observation automatique
722,2025-10-09,Bon,Observation automatique
722,2025-11-05,Très mauvais,Observation automatique
722,2025-06-11,Correct,Observation automatique
127,2025-11-06,Très mauvais,Observation automatique
127,2025-06-24,Mauvais,Observation automatique
127,2025-06-11,Correct,Observation automatique
127,2025-09-12,Bon,Observation automatique
127,2025-08-09,Très mauvais,Observation automatique
127,2025-09-30,Correct,Observation automatique
973,2025-08-23,Bon,Observation automatique
973,2025-10-01,Mauvais,Observation automatique
973,2025-08-20,Correct,Observation automatique
973,2025-07-11,Bon,Observation automatique
973,2025-10-25,Excellent,Observation automatique
