id_interne_plant,date,note
92,2025-12-21,Observation floraison automatique
478,2025-11-01,Observation floraison automatique
306,2025-09-08,Observation floraison automatique
1055,2025-07-07,Observation floraison automatique
960,2025-11-06,Observation floraison automatique
114,2025-08-04,Observation floraison automatique
637,2025-08-27,Observation floraison automatique
191,2025-09-15,Observation floraison automatique
9,2025-12-08,Observation floraison automatique
22,2025-07-11,Observation floraison automatique
111,2025-10-01,Observation floraison automatique
722,2025-09-24,Observation floraison automatique
127,2025-09-12,Observation floraison automatique
973,2025-06-11,Observation floraison automatique
819,2025-08-21,Observation floraison automatique
556,2025-09-30,Observation floraison automatique
701,2025-06-04,Observation floraison automatique
347,2025-12-17,Observation floraison automatique
258,2025-06-30,Observation floraison automatique
78,2025-07-08,Observation floraison automatique
968,2025-09-16,Observation floraison automatique
994,2025-08-16,Observation floraison automatique
91,2025-08-23,Observation floraison automatique
454,2025-12-23,Observation floraison automatique
693,2025-12-11,Observation floraison automatique
554,2025-12-17,Observation floraison automatique
799,2025-11-29,Observation floraison automatique
931,2025-09-13,Observation floraison automatique
303,2025-09-06,Observation floraison automatique
713,2025-09-27,Observation floraison automatique
505,2025-11-19,Observation floraison automatique
936,2025-09-18,Observation floraison automatique
563,2025-10-10,Observation floraison automatique
313,2025-08-17,Observation floraison automatique
976,2025-10-10,Observation floraison automatique
715,2025-11-15,Observation floraison automatique
827,2025-10-03,Observation floraison automatique
1,2025-08-11,Observation floraison automatique
257,2025-06-04,Observation floraison automatique
64,2025-10-22,Observation floraison automatique
165,2025-07-15,Observation floraison automatique
935,2025-11-26,Observation floraison automatique
1017,2025-10-13,Observation floraison automatique
39,2025-09-11,Observation floraison automatique
651,2025-12-08,Observation floraison automatique
338,2025-07-11,Observation floraison automatique
967,2025-09-14,Observation floraison automatique
793,2025-09-07,Observation floraison automatique
771,2025-07-21,Observation floraison automatique
939,2025-06-09,Observation floraison automatique
805,2025-12-28,Observation floraison automatique
599,2025-11-16,Observation floraison automatique
861,2025-07-23,Observation floraison automatique
1184,2025-06-29,Observation floraison automatique
949,2025-12-22,Observation floraison automatique
798,2025-08-31,Observation floraison automatique
1187,2025-06-06,Observation floraison automatique
565,2025-12-27,Observation floraison automatique
595,2025-06-17,Observation floraison automatique
205,2025-12-30,Observation floraison automatique
391,2025-08-06,Observation floraison automatique
216,2025-10-17,Observation floraison automatique
954,2025-10-06,Observation floraison automatique
909,2025-12-26,Observation floraison automatique
350,2025-10-01,Observation floraison automatique
47,2025-08-16,Observation floraison automatique
1105,2025-06-25,Observation floraison automatique
388,2025-09-20,Observation floraison automatique
1062,2025-07-30,Observation floraison automatique
1181,2025-07-09,Observation floraison automatique
1096,2025-06-20,Observation floraison automatique
235,2025-07-12,Observation floraison automatique
1183,2025-09-09,Observation floraison automatique
34,2025-10-12,Observation floraison automatique
719,2025-07-06,Observation floraison automatique
822,2025-12-07,Observation floraison automatique
831,2025-11-22,Observation floraison automatique
354,2025-11-11,Observation floraison automatique
132,2025-06-25,Observation floraison automatique
657,2025-12-05,Observation floraison automatique
1175,2025-08-08,Observation floraison automatique
670,2025-12-17,Observation floraison automatique
1041,2025-10-25,Observation floraison automatique
889,2025-06-16,Observation floraison automatique
146,2025-07-30,Observation floraison automatique
172,2025-09-27,Observation floraison automatique
125,2025-10-24,Observation floraison automatique
884,2025-11-27,Observation floraison automatique
567,2025-10-08,Observation floraison automatique
790,2025-12-11,Observation floraison automatique
946,2025-08-01,Observation floraison automatique
547,2025-10-29,Observation floraison automatique
645,2025-10-14,Observation floraison automatique
357,2025-09-04,Observation floraison automatique
896,2025-06-03,Observation floraison automatique
663,2025-10-20,Observation floraison automatique
130,2025-07-01,Observation floraison automatique
402,2025-06-13,Observation floraison automatique
541,2025-09-20,Observation floraison automatique
638,2025-12-29,Observation floraison automatique
429,2025-10-12,Observation floraison automatique
773,2025-12-16,Observation floraison automatique
403,2025-10-11,Observation floraison automatique
305,2025-10-03,Observation floraison automatique
571,2025-10-18,Observation floraison automatique
550,2025-12-02,Observation floraison automatique
245,2025-12-23,Observation floraison automatique
1073,2025-12-06,Observation floraison automatique
290,2025-10-13,Observation floraison automatique
811,2025-06-30,Observation floraison automatique
458,2025-10-11,Observation floraison automatique
860,2025-10-01,Observation floraison automatique
676,2025-11-02,Observation floraison automatique
918,2025-10-08,Observation floraison automatique
1095,2025-06-18,Observation floraison automatique
85,2025-08-30,Observation floraison automatique
102,2025-11-04,Observation floraison automatique
1169,2025-08-23,Observation floraison automatique
568,2025-09-17,Observation floraison automatique
352,2025-06-18,Observation floraison automatique
883,2025-09-29,Observation floraison automatique
455,2025-11-16,Observation floraison automatique
14,2025-11-28,Observation floraison automatique
1159,2025-07-25,Observation floraison automatique
275,2025-09-21,Observation floraison automatique
169,2025-09-29,Observation floraison automatique
570,2025-10-16,Observation floraison automatique
769,2025-07-19,Observation floraison automatique
289,2025-09-11,Observation floraison automatique
766,2025-08-10,Observation floraison automatique
911,2025-09-17,Observation floraison automatique
1142,2025-10-17,Observation floraison automatique
1038,2025-08-12,Observation floraison automatique
264,2025-10-31,Observation floraison automatique
271,2025-10-25,Observation floraison automatique
665,2025-10-21,Observation floraison automatique
477,2025-06-10,Observation floraison automatique
621,2025-12-11,Observation floraison automatique
890,2025-09-12,Observation floraison automatique
774,2025-09-18,Observation floraison automatique
755,2025-10-10,Observation floraison automatique
760,2025-08-04,Observation floraison automatique
88,2025-07-02,Observation floraison automatique
450,2025-10-14,Observation floraison automatique
1063,2025-08-08,Observation floraison automatique
449,2025-11-12,Observation floraison automatique
220,2025-07-18,Observation floraison automatique
835,2025-12-04,Observation floraison automatique
307,2025-06-21,Observation floraison automatique
843,2025-09-15,Observation floraison automatique
1120,2025-09-28,Observation floraison automatique
179,2025-08-25,Observation floraison automatique
171,2025-08-14,Observation floraison automatique
959,2025-07-18,Observation floraison automatique
878,2025-07-08,Observation floraison automatique
797,2025-07-27,Observation floraison automatique
549,2025-11-18,Observation floraison automatique
380,2025-08-18,Observation floraison automatique
1151,2025-11-24,Observation floraison automatique
302,2025-11-16,Observation floraison automatique
223,2025-10-25,Observation floraison automatique
414,2025-07-02,Observation floraison automatique
866,2025-06-30,Observation floraison automatique
875,2025-08-28,Observation floraison automatique
266,2025-12-28,Observation floraison automatique
892,2025-08-12,Observation floraison automatique
104,2025-10-18,Observation floraison automatique
872,2025-12-25,Observation floraison automatique
234,2025-10-17,Observation floraison automatique
82,2025-10-09,Observation floraison automatique
420,2025-06-05,Observation floraison automatique
1029,2025-10-04,Observation floraison automatique
