id_interne_zone,date,hum_min,hum_max,hum_moyenne,variation,note
1,2025-12-08,7,73,40.00,66.00,Observation automatique
1,2025-12-16,7,99,53.00,92.00,Observation automatique
2,2025-07-13,15,91,53.00,76.00,Observation automatique
2,2025-09-24,24,80,52.00,56.00,Observation automatique
2,2025-10-07,0,61,30.50,61.00,Observation automatique
2,2025-10-08,41,67,54.00,26.00,Observation automatique
1,2025-09-20,28,63,45.50,35.00,Observation automatique
1,2025-07-27,2,59,30.50,57.00,Observation automatique
1,2025-11-04,24,52,38.00,28.00,Observation automatique
1,2025-11-17,41,65,53.00,24.00,Observation automatique
1,2025-06-23,30,52,41.00,22.00,Observation automatique
2,2025-06-13,38,59,48.50,21.00,Observation automatique
1,2025-12-12,32,96,64.00,64.00,Observation automatique
2,2025-12-27,24,91,57.50,67.00,Observation automatique
2,2025-07-08,17,79,48.00,62.00,Observation automatique
1,2025-08-13,15,76,45.50,61.00,Observation automatique
2,2025-06-12,44,73,58.50,29.00,Observation automatique
2,2025-08-31,35,66,50.50,31.00,Observation automatique
2,2025-08-02,6,57,31.50,51.00,Observation automatique
2,2025-10-19,38,79,58.50,41.00,Observation automatique
2,2025-09-08,37,90,63.50,53.00,Observation automatique
1,2025-11-20,8,65,36.50,57.00,Observation automatique
1,2025-10-12,16,59,37.50,43.00,Observation automatique
1,2025-09-22,29,72,50.50,43.00,Observation automatique
2,2025-09-28,4,63,33.50,59.00,Observation automatique
2,2025-08-13,2,64,33.00,62.00,Observation automatique
2,2025-10-24,46,73,59.50,27.00,Observation automatique
2,2025-09-30,1,77,39.00,76.00,Observation automatique
2,2025-08-03,25,69,47.00,44.00,Observation automatique
1,2025-09-21,30,87,58.50,57.00,Observation automatique
2,2025-06-06,19,56,37.50,37.00,Observation automatique
2,2025-07-23,17,58,37.50,41.00,Observation automatique
2,2025-07-15,20,86,53.00,66.00,Observation automatique
2,2025-08-30,13,77,45.00,64.00,Observation automatique
2,2025-10-09,46,76,61.00,30.00,Observation automatique
2,2025-10-15,32,60,46.00,28.00,Observation automatique
1,2025-10-21,32,73,52.50,41.00,Observation automatique
2,2025-10-11,28,75,51.50,47.00,Observation automatique
1,2025-06-04,33,96,64.50,63.00,Observation automatique
2,2025-08-07,37,62,49.50,25.00,Observation automatique
2,2025-10-23,39,72,55.50,33.00,Observation automatique
2,2025-07-27,18,83,50.50,65.00,Observation automatique
1,2025-12-10,38,84,61.00,46.00,Observation automatique
2,2025-11-25,32,64,48.00,32.00,Observation automatique
1,2025-09-30,42,96,69.00,54.00,Observation automatique
1,2025-07-11,19,73,46.00,54.00,Observation automatique
1,2025-07-19,32,98,65.00,66.00,Observation automatique
2,2025-06-19,37,97,67.00,60.00,Observation automatique
2,2025-12-20,49,99,74.00,50.00,Observation automatique
2,2025-09-10,22,98,60.00,76.00,Observation automatique
1,2025-08-18,9,60,34.50,51.00,Observation automatique
2,2025-11-30,7,78,42.50,71.00,Observation automatique
2,2025-09-14,38,96,67.00,58.00,Observation automatique
2,2025-08-29,9,87,48.00,78.00,Observation automatique
1,2025-06-21,17,64,40.50,47.00,Observation automatique
2,2025-06-03,7,96,51.50,89.00,Observation automatique
1,2025-07-04,41,83,62.00,42.00,Observation automatique
1,2025-11-25,16,51,33.50,35.00,Observation automatique
2,2025-09-20,9,94,51.50,85.00,Observation automatique
2,2025-12-21,36,65,50.50,29.00,Observation automatique
1,2025-12-22,44,94,69.00,50.00,Observation automatique
1,2025-12-06,30,89,59.50,59.00,Observation automatique
1,2025-09-23,44,71,57.50,27.00,Observation automatique
1,2025-06-19,21,71,46.00,50.00,Observation automatique
2,2025-06-25,34,78,56.00,44.00,Observation automatique
2,2025-08-09,26,74,50.00,48.00,Observation automatique
2,2025-08-25,30,82,56.00,52.00,Observation automatique
2,2025-11-19,37,98,67.50,61.00,Observation automatique
1,2025-06-25,40,62,51.00,22.00,Observation automatique
2,2025-11-11,7,87,47.00,80.00,Observation automatique
1,2025-07-29,9,63,36.00,54.00,Observation automatique
2,2025-10-13,28,70,49.00,42.00,Observation automatique
1,2025-10-31,41,51,46.00,10.00,Observation automatique
1,2025-11-06,7,89,48.00,82.00,Observation automatique
1,2025-07-17,2,79,40.50,77.00,Observation automatique
1,2025-08-21,38,68,53.00,30.00,Observation automatique
2,2025-07-02,12,54,33.00,42.00,Observation automatique
2,2025-11-13,37,54,45.50,17.00,Observation automatique
1,2025-06-12,7,96,51.50,89.00,Observation automatique
2,2025-08-14,9,57,33.00,48.00,Observation automatique
2,2025-12-25,20,86,53.00,66.00,Observation automatique
2,2025-08-26,10,54,32.00,44.00,Observation automatique
1,2025-11-28,3,68,35.50,65.00,Observation automatique
1,2025-10-06,0,84,42.00,84.00,Observation automatique
1,2025-08-27,20,82,51.00,62.00,Observation automatique
1,2025-12-11,49,74,61.50,25.00,Observation automatique
1,2025-08-20,24,73,48.50,49.00,Observation automatique
1,2025-06-29,48,80,64.00,32.00,Observation automatique
2,2025-07-14,11,76,43.50,65.00,Observation automatique
1,2025-06-01,36,68,52.00,32.00,Observation automatique
1,2025-07-15,14,76,45.00,62.00,Observation automatique
1,2025-09-03,22,55,38.50,33.00,Observation automatique
2,2025-11-26,28,82,55.00,54.00,Observation automatique
1,2025-06-09,3,80,41.50,77.00,Observation automatique
1,2025-12-27,30,55,42.50,25.00,Observation automatique
1,2025-09-24,1,78,39.50,77.00,Observation automatique
1,2025-11-10,23,62,42.50,39.00,Observation automatique
2,2025-08-01,4,98,51.00,94.00,Observation automatique
2,2025-06-11,20,79,49.50,59.00,Observation automatique
2,2025-08-12,42,59,50.50,17.00,Observation automatique
2,2025-06-29,18,82,50.00,64.00,Observation automatique
2,2025-10-27,10,73,41.50,63.00,Observation automatique
1,2025-09-02,11,58,34.50,47.00,Observation automatique
1,2025-09-04,7,51,29.00,44.00,Observation automatique
1,2025-12-01,32,87,59.50,55.00,Observation automatique
2,2025-12-07,43,74,58.50,31.00,Observation automatique
1,2025-08-09,26,88,57.00,62.00,Observation automatique
1,2025-06-08,26,55,40.50,29.00,Observation automatique
2,2025-07-03,48,76,62.00,28.00,Observation automatique
1,2025-10-18,17,67,42.00,50.00,Observation automatique
1,2025-06-10,46,60,53.00,14.00,Observation automatique
1,2025-12-07,19,64,41.50,45.00,Observation automatique
2,2025-12-24,33,57,45.00,24.00,Observation automatique
1,2025-12-29,6,93,49.50,87.00,Observation automatique
2,2025-07-26,35,91,63.00,56.00,Observation automatique
1,2025-12-24,10,62,36.00,52.00,Observation automatique
1,2025-08-28,25,80,52.50,55.00,Observation automatique
1,2025-09-06,3,50,26.50,47.00,Observation automatique
1,2025-06-26,11,85,48.00,74.00,Observation automatique
2,2025-08-22,20,82,51.00,62.00,Observation automatique
1,2025-09-19,2,92,47.00,90.00,Observation automatique
1,2025-11-14,13,53,33.00,40.00,Observation automatique
1,2025-09-13,43,57,50.00,14.00,Observation automatique
2,2025-08-10,40,68,54.00,28.00,Observation automatique
2,2025-12-19,30,65,47.50,35.00,Observation automatique
1,2025-10-11,38,87,62.50,49.00,Observation automatique
2,2025-06-24,22,58,40.00,36.00,Observation automatique
2,2025-12-14,2,53,27.50,51.00,Observation automatique
1,2025-12-23,47,52,49.50,5.00,Observation automatique
2,2025-08-08,35,87,61.00,52.00,Observation automatique
1,2025-11-11,14,79,46.50,65.00,Observation automatique
2,2025-06-20,24,70,47.00,46.00,Observation automatique
1,2025-10-16,41,70,55.50,29.00,Observation automatique
2,2025-11-18,14,75,44.50,61.00,Observation automatique
1,2025-08-17,40,64,52.00,24.00,Observation automatique
2,2025-09-18,3,81,42.00,78.00,Observation automatique
1,2025-08-11,22,91,56.50,69.00,Observation automatique
2,2025-06-28,0,84,42.00,84.00,Observation automatique
2,2025-12-13,22,52,37.00,30.00,Observation automatique
1,2025-10-24,24,60,42.00,36.00,Observation automatique
2,2025-07-22,24,83,53.50,59.00,Observation automatique
1,2025-11-03,19,59,39.00,40.00,Observation automatique
1,2025-08-29,34,62,48.00,28.00,Observation automatique
1,2025-10-13,46,81,63.50,35.00,Observation automatique
1,2025-07-28,12,85,48.50,73.00,Observation automatique
2,2025-07-25,42,86,64.00,44.00,Observation automatique
2,2025-07-06,32,60,46.00,28.00,Observation automatique
2,2025-12-23,15,67,41.00,52.00,Observation automatique
2,2025-07-17,29,71,50.00,42.00,Observation automatique
1,2025-06-03,31,72,51.50,41.00,Observation automatique
2,2025-12-11,46,68,57.00,22.00,Observation automatique
2,2025-10-30,43,92,67.50,49.00,Observation automatique
1,2025-12-09,20,65,42.50,45.00,Observation automatique
2,2025-10-04,37,79,58.00,42.00,Observation automatique
1,2025-11-24,28,95,61.50,67.00,Observation automatique
1,2025-11-02,33,66,49.50,33.00,Observation automatique
1,2025-10-29,10,94,52.00,84.00,Observation automatique
1,2025-08-10,47,80,63.50,33.00,Observation automatique
2,2025-07-31,20,80,50.00,60.00,Observation automatique
2,2025-07-10,44,82,63.00,38.00,Observation automatique
1,2025-06-06,20,94,57.00,74.00,Observation automatique
2,2025-07-18,36,87,61.50,51.00,Observation automatique
2,2025-08-23,46,65,55.50,19.00,Observation automatique
1,2025-07-12,11,95,53.00,84.00,Observation automatique
2,2025-09-07,46,70,58.00,24.00,Observation automatique
2,2025-10-05,19,55,37.00,36.00,Observation automatique
2,2025-11-05,24,52,38.00,28.00,Observation automatique
2,2025-11-20,0,99,49.50,99.00,Observation automatique
2,2025-08-05,26,67,46.50,41.00,Observation automatique
2,2025-07-07,36,71,53.50,35.00,Observation automatique
1,2025-08-03,12,80,46.00,68.00,Observation automatique
2,2025-11-24,33,97,65.00,64.00,Observation automatique
2,2025-10-20,5,84,44.50,79.00,Observation automatique
2,2025-12-22,43,52,47.50,9.00,Observation automatique
2,2025-06-14,33,51,42.00,18.00,Observation automatique
2,2025-11-15,27,63,45.00,36.00,Observation automatique
1,2025-10-27,4,66,35.00,62.00,Observation automatique
2,2025-12-06,26,97,61.50,71.00,Observation automatique
1,2025-12-18,17,96,56.50,79.00,Observation automatique
1,2025-07-23,17,88,52.50,71.00,Observation automatique
2,2025-11-28,9,84,46.50,75.00,Observation automatique
2,2025-10-26,22,79,50.50,57.00,Observation automatique
1,2025-07-21,41,60,50.50,19.00,Observation automatique
1,2025-11-09,31,92,61.50,61.00,Observation automatique
1,2025-12-26,23,71,47.00,48.00,Observation automatique
1,2025-08-02,8,59,33.50,51.00,Observation automatique
1,2025-06-28,4,67,35.50,63.00,Observation automatique
1,2025-09-01,4,84,44.00,80.00,Observation automatique
2,2025-12-02,47,57,52.00,10.00,Observation automatique
1,2025-07-07,18,72,45.00,54.00,Observation automatique
1,2025-10-14,46,78,62.00,32.00,Observation automatique
1,2025-08-06,8,60,34.00,52.00,Observation automatique
2,2025-10-22,13,66,39.50,53.00,Observation automatique
