id_interne_plant,date,note
92,2025-06-05,Plante en bonne santé
92,2025-12-10,Plante en bonne santé
92,2025-10-03,Signes de stress hydrique
92,2025-11-20,Plante en bonne santé
92,2025-12-05,Feuilles abîmées
478,2025-08-25,Insectes observés
478,2025-08-28,Insectes observés
478,2025-07-21,Croissance rapide
478,2025-12-23,Feuilles abîmées
306,2025-06-12,Feuilles abîmées
306,2025-11-04,Feuilles abîmées
1055,2025-08-02,Signes de stress hydrique
1055,2025-09-10,Feuilles abîmées
1055,2025-07-16,Insectes observés
1055,2025-12-15,Plante en bonne santé
960,2025-08-13,Insectes observés
960,2025-12-23,Signes de stress hydrique
960,2025-06-07,Feuilles abîmées
960,2025-06-27,Plante en bonne santé
114,2025-09-11,Plante en bonne santé
114,2025-09-05,Feuilles abîmées
114,2025-11-08,Feuilles abîmées
637,2025-09-29,Insectes observés
637,2025-08-20,Feuilles abîmées
637,2025-11-14,Plante en bonne santé
191,2025-07-03,Insectes observés
191,2025-07-19,Feuilles abîmées
9,2025-10-29,Insectes observés
9,2025-09-17,Feuilles abîmées
9,2025-07-18,Insectes observés
9,2025-11-07,Plante en bonne santé
9,2025-06-18,Plante en bonne santé
22,2025-11-14,Plante en bonne santé
22,2025-12-02,Insectes observés
111,2025-11-01,Croissance rapide
722,2025-06-29,Insectes observés
722,2025-11-02,Insectes observés
722,2025-12-13,Signes de stress hydrique
722,2025-06-27,Feuilles abîmées
722,2025-06-10,Croissance rapide
127,2025-12-24,Plante en bonne santé
127,2025-09-08,Insectes observés
127,2025-12-25,Croissance rapide
973,2025-06-02,Plante en bonne santé
973,2025-12-30,Croissance rapide
973,2025-09-10,Feuilles abîmées
973,2025-06-14,Croissance rapide
819,2025-11-18,Croissance rapide
819,2025-10-27,Croissance rapide
556,2025-11-01,Croissance rapide
701,2025-06-29,Insectes observés
701,2025-11-29,Croissance rapide
701,2025-09-11,Feuilles abîmées
701,2025-09-03,Plante en bonne santé
347,2025-09-08,Signes de stress hydrique
258,2025-11-02,Insectes observés
258,2025-11-19,Plante en bonne santé
78,2025-11-03,Feuilles abîmées
78,2025-12-18,Insectes observés
78,2025-12-24,Insectes observés
968,2025-09-19,Plante en bonne santé
994,2025-11-14,Plante en bonne santé
994,2025-07-30,Insectes observés
994,2025-09-05,Feuilles abîmées
91,2025-06-03,Croissance rapide
91,2025-08-26,Signes de stress hydrique
91,2025-11-01,Plante en bonne santé
91,2025-12-15,Feuilles abîmées
454,2025-08-08,Feuilles abîmées
454,2025-12-24,Signes de stress hydrique
454,2025-11-21,Plante en bonne santé
454,2025-08-25,Signes de stress hydrique
693,2025-07-06,Insectes observés
693,2025-08-20,Plante en bonne santé
693,2025-09-12,Feuilles abîmées
554,2025-08-12,Plante en bonne santé
554,2025-09-11,Croissance rapide
799,2025-06-14,Plante en bonne santé
799,2025-07-21,Insectes observés
799,2025-11-03,Feuilles abîmées
799,2025-09-22,Insectes observés
799,2025-08-07,Plante en bonne santé
931,2025-09-12,Feuilles abîmées
303,2025-10-23,Signes de stress hydrique
303,2025-12-14,Feuilles abîmées
303,2025-07-27,Feuilles abîmées
303,2025-10-04,Insectes observés
713,2025-09-05,Plante en bonne santé
713,2025-06-16,Croissance rapide
713,2025-07-10,Feuilles abîmées
713,2025-08-30,Croissance rapide
713,2025-12-19,Feuilles abîmées
505,2025-11-10,Croissance rapide
936,2025-07-04,Insectes observés
936,2025-10-28,Croissance rapide
936,2025-07-20,Insectes observés
563,2025-08-28,Feuilles abîmées
563,2025-06-06,Insectes observés
563,2025-07-02,Signes de stress hydrique
313,2025-06-30,Feuilles abîmées
313,2025-12-12,Insectes observés
313,2025-10-21,Insectes observés
313,2025-06-18,Croissance rapide
313,2025-06-28,Insectes observés
976,2025-06-05,Feuilles abîmées
976,2025-09-30,Signes de stress hydrique
976,2025-06-02,Insectes observés
715,2025-07-31,Signes de stress hydrique
715,2025-09-02,Signes de stress hydrique
715,2025-08-01,Insectes observés
827,2025-06-23,Croissance rapide
