id_interne_zone,date,prec_tot,prec_nature,note
2,2025-10-02,478,Grêle,Observation automatique
1,2025-10-04,424,Grêle,Observation automatique
2,2025-09-29,372,Grêle,Observation automatique
2,2025-09-09,24,Grêle,Observation automatique
1,2025-10-30,431,Grêle,Observation automatique
2,2025-12-26,145,Grêle,Observation automatique
2,2025-11-02,468,Grêle,Observation automatique
2,2025-08-16,246,Grêle,Observation automatique
2,2025-06-17,460,Grêle,Observation automatique
2,2025-08-20,32,Grêle,Observation automatique
1,2025-10-25,274,Grêle,Observation automatique
1,2025-11-07,314,Grêle,Observation automatique
1,2025-09-15,352,Grêle,Observation automatique
2,2025-12-28,211,Grêle,Observation automatique
2,2025-06-30,388,Grêle,Observation automatique
2,2025-11-04,261,Grêle,Observation automatique
2,2025-07-11,128,Grêle,Observation automatique
2,2025-11-21,123,Grêle,Observation automatique
2,2025-12-16,196,Grêle,Observation automatique
1,2025-06-11,324,Grêle,Observation automatique
2,2025-11-01,321,Grêle,Observation automatique
1,2025-08-16,192,Grêle,Observation automatique
1,2025-06-24,491,Grêle,Observation automatique
1,2025-07-05,496,Grêle,Observation automatique
2,2025-11-12,216,Grêle,Observation automatique
1,2025-10-15,486,Grêle,Observation automatique
1,2025-07-08,275,Grêle,Observation automatique
1,2025-11-29,77,Grêle,Observation automatique
1,2025-11-19,336,Grêle,Observation automatique
2,2025-11-09,32,Grêle,Observation automatique
1,2025-06-17,265,Grêle,Observation automatique
1,2025-07-30,0,Grêle,Observation automatique
1,2025-11-18,330,Grêle,Observation automatique
1,2025-09-11,302,Grêle,Observation automatique
2,2025-09-05,302,Grêle,Observation automatique
1,2025-07-01,339,Grêle,Observation automatique
2,2025-12-05,262,Grêle,Observation automatique
1,2025-07-09,407,Grêle,Observation automatique
2,2025-11-14,305,Grêle,Observation automatique
2,2025-09-22,177,Grêle,Observation automatique
2,2025-12-12,395,Grêle,Observation automatique
2,2025-12-29,115,Grêle,Observation automatique
2,2025-10-29,292,Grêle,Observation automatique
1,2025-10-09,251,Grêle,Observation automatique
2,2025-06-08,408,Grêle,Observation automatique
1,2025-08-15,101,Grêle,Observation automatique
2,2025-08-04,55,Grêle,Observation automatique
2,2025-09-06,72,Grêle,Observation automatique
2,2025-07-29,305,Grêle,Observation automatique
1,2025-09-05,389,Grêle,Observation automatique
2,2025-08-11,312,Grêle,Observation automatique
2,2025-11-29,203,Grêle,Observation automatique
1,2025-07-22,136,Grêle,Observation automatique
1,2025-06-27,174,Grêle,Observation automatique
2,2025-07-24,340,Grêle,Observation automatique
1,2025-09-12,108,Grêle,Observation automatique
1,2025-07-06,65,Grêle,Observation automatique
2,2025-09-03,11,Grêle,Observation automatique
1,2025-08-30,29,Grêle,Observation automatique
2,2025-09-27,216,Grêle,Observation automatique
1,2025-12-30,149,Grêle,Observation automatique
2,2025-06-04,265,Grêle,Observation automatique
2,2025-09-26,472,Grêle,Observation automatique
2,2025-09-16,189,Grêle,Observation automatique
1,2025-08-23,176,Grêle,Observation automatique
1,2025-09-14,390,Grêle,Observation automatique
2,2025-08-24,79,Grêle,Observation automatique
1,2025-10-26,472,Grêle,Observation automatique
1,2025-10-20,350,Grêle,Observation automatique
1,2025-09-26,350,Grêle,Observation automatique
2,2025-08-27,113,Grêle,Observation automatique
2,2025-11-06,429,Grêle,Observation automatique
2,2025-06-07,276,Grêle,Observation automatique
1,2025-11-15,23,Grêle,Observation automatique
2,2025-10-18,230,Grêle,Observation automatique
1,2025-08-22,164,Grêle,Observation automatique
1,2025-10-05,440,Grêle,Observation automatique
1,2025-06-16,405,Grêle,Observation automatique
1,2025-07-07,263,Grêle,Observation automatique
2,2025-12-02,372,Grêle,Observation automatique
1,2025-09-01,245,Grêle,Observation automatique
1,2025-10-27,4,Grêle,Observation automatique
1,2025-08-03,446,Grêle,Observation automatique
2,2025-07-07,214,Grêle,Observation automatique
2,2025-10-05,284,Grêle,Observation automatique
1,2025-07-12,140,Grêle,Observation automatique
1,2025-10-29,231,Grêle,Observation automatique
1,2025-11-02,320,Grêle,Observation automatique
1,2025-12-09,320,Grêle,Observation automatique
2,2025-12-23,85,Grêle,Observation automatique
2,2025-07-25,35,Grêle,Observation automatique
1,2025-11-03,109,Grêle,Observation automatique
2,2025-07-22,216,Grêle,Observation automatique
1,2025-08-17,375,Grêle,Observation automatique
1,2025-10-16,483,Grêle,Observation automatique
2,2025-06-20,47,Grêle,Observation automatique
2,2025-08-08,434,Grêle,Observation automatique
1,2025-12-23,477,Grêle,Observation automatique
2,2025-12-14,243,Grêle,Observation automatique
2,2025-12-19,246,Grêle,Observation automatique
1,2025-09-19,270,Grêle,Observation automatique
1,2025-06-26,54,Grêle,Observation automatique
1,2025-12-29,398,Grêle,Observation automatique
1,2025-12-07,450,Grêle,Observation automatique
1,2025-06-08,486,Grêle,Observation automatique
1,2025-08-09,245,Grêle,Observation automatique
1,2025-09-24,431,Grêle,Observation automatique
1,2025-12-27,214,Grêle,Observation automatique
1,2025-06-01,311,Grêle,Observation automatique
1,2025-08-20,352,Grêle,Observation automatique
1,2025-11-28,56,Grêle,Observation automatique
2,2025-08-14,359,Grêle,Observation automatique
1,2025-06-12,397,Grêle,Observation automatique
2,2025-11-13,271,Grêle,Observation automatique
2,2025-07-02,480,Grêle,Observation automatique
1,2025-11-06,495,Grêle,Observation automatique
1,2025-07-29,173,Grêle,Observation automatique
2,2025-11-11,339,Grêle,Observation automatique
1,2025-06-25,5,Grêle,Observation automatique
2,2025-11-19,13,Grêle,Observation automatique
2,2025-12-21,479,Grêle,Observation automatique
2,2025-09-20,5,Grêle,Observation automatique
1,2025-07-04,254,Grêle,Observation automatique
2,2025-08-29,401,Grêle,Observation automatique
2,2025-09-14,384,Grêle,Observation automatique
1,2025-07-19,258,Grêle,Observation automatique
1,2025-07-11,260,Grêle,Observation automatique
2,2025-08-07,39,Grêle,Observation automatique
1,2025-10-21,189,Grêle,Observation automatique
2,2025-10-15,435,Grêle,Observation automatique
2,2025-07-23,232,Grêle,Observation automatique
1,2025-09-21,322,Grêle,Observation automatique
2,2025-08-03,50,Grêle,Observation automatique
2,2025-08-31,199,Grêle,Observation automatique
1,2025-06-23,391,Grêle,Observation automatique
2,2025-10-08,167,Grêle,Observation automatique
2,2025-07-13,326,Grêle,Observation automatique
1,2025-12-08,214,Grêle,Observation automatique
1,2025-12-02,408,Neige,Observation automatique
2,2025-08-17,235,Neige,Observation automatique
1,2025-07-14,105,Neige,Observation automatique
1,2025-11-26,44,Neige,Observation automatique
1,2025-06-20,337,Neige,Observation automatique
1,2025-09-25,70,Neige,Observation automatique
2,2025-06-18,152,Neige,Observation automatique
1,2025-09-07,58,Neige,Observation automatique
1,2025-07-26,407,Neige,Observation automatique
2,2025-07-04,181,Neige,Observation automatique
1,2025-12-15,34,Neige,Observation automatique
1,2025-06-14,2,Neige,Observation automatique
1,2025-10-22,340,Neige,Observation automatique
2,2025-10-10,259,Neige,Observation automatique
1,2025-08-05,283,Neige,Observation automatique
1,2025-10-02,422,Neige,Observation automatique
2,2025-07-05,419,Neige,Observation automatique
2,2025-11-16,161,Neige,Observation automatique
