id_interne_zone,date,pres_min,pres_max,pres_moyenne,variation,note
1,2025-12-08,912,957,934.50,45.00,Observation automatique
1,2025-12-16,1064,924,994.00,-140.00,Observation automatique
2,2025-07-13,1095,1066,1080.50,-29.00,Observation automatique
2,2025-09-24,903,1053,978.00,150.00,Observation automatique
2,2025-10-07,1025,942,983.50,-83.00,Observation automatique
2,2025-10-08,918,963,940.50,45.00,Observation automatique
1,2025-09-20,957,942,949.50,-15.00,Observation automatique
1,2025-07-27,1034,1001,1017.50,-33.00,Observation automatique
1,2025-11-04,1002,946,974.00,-56.00,Observation automatique
1,2025-11-17,937,1100,1018.50,163.00,Observation automatique
1,2025-06-23,920,903,911.50,-17.00,Observation automatique
2,2025-06-13,916,984,950.00,68.00,Observation automatique
1,2025-12-12,1051,1054,1052.50,3.00,Observation automatique
2,2025-12-27,979,1045,1012.00,66.00,Observation automatique
2,2025-07-08,943,965,954.00,22.00,Observation automatique
1,2025-08-13,1076,932,1004.00,-144.00,Observation automatique
2,2025-06-12,1008,937,972.50,-71.00,Observation automatique
2,2025-08-31,1081,928,1004.50,-153.00,Observation automatique
2,2025-08-02,1080,992,1036.00,-88.00,Observation automatique
2,2025-10-19,942,1077,1009.50,135.00,Observation automatique
2,2025-09-08,989,965,977.00,-24.00,Observation automatique
1,2025-11-20,998,986,992.00,-12.00,Observation automatique
1,2025-10-12,1071,1071,1071.00,0.00,Observation automatique
1,2025-09-22,967,968,967.50,1.00,Observation automatique
2,2025-09-28,980,910,945.00,-70.00,Observation automatique
2,2025-08-13,1091,1017,1054.00,-74.00,Observation automatique
2,2025-10-24,1035,923,979.00,-112.00,Observation automatique
2,2025-09-30,948,928,938.00,-20.00,Observation automatique
2,2025-08-03,978,1038,1008.00,60.00,Observation automatique
1,2025-09-21,905,1067,986.00,162.00,Observation automatique
2,2025-06-06,1069,930,999.50,-139.00,Observation automatique
2,2025-07-23,1068,1014,1041.00,-54.00,Observation automatique
2,2025-07-15,1035,941,988.00,-94.00,Observation automatique
2,2025-08-30,971,948,959.50,-23.00,Observation automatique
2,2025-10-09,1072,1055,1063.50,-17.00,Observation automatique
2,2025-10-15,1019,964,991.50,-55.00,Observation automatique
1,2025-10-21,932,1065,998.50,133.00,Observation automatique
2,2025-10-11,1036,1089,1062.50,53.00,Observation automatique
1,2025-06-04,944,1021,982.50,77.00,Observation automatique
2,2025-08-07,986,908,947.00,-78.00,Observation automatique
2,2025-10-23,914,1025,969.50,111.00,Observation automatique
2,2025-07-27,910,1011,960.50,101.00,Observation automatique
1,2025-12-10,1064,976,1020.00,-88.00,Observation automatique
2,2025-11-25,986,920,953.00,-66.00,Observation automatique
1,2025-09-30,1004,1030,1017.00,26.00,Observation automatique
1,2025-07-11,1054,942,998.00,-112.00,Observation automatique
1,2025-07-19,1016,922,969.00,-94.00,Observation automatique
2,2025-06-19,910,1085,997.50,175.00,Observation automatique
2,2025-12-20,1097,910,1003.50,-187.00,Observation automatique
2,2025-09-10,1030,1085,1057.50,55.00,Observation automatique
1,2025-08-18,953,976,964.50,23.00,Observation automatique
2,2025-11-30,1056,968,1012.00,-88.00,Observation automatique
2,2025-09-14,999,992,995.50,-7.00,Observation automatique
2,2025-08-29,956,996,976.00,40.00,Observation automatique
1,2025-06-21,948,916,932.00,-32.00,Observation automatique
2,2025-06-03,925,1017,971.00,92.00,Observation automatique
1,2025-07-04,1081,943,1012.00,-138.00,Observation automatique
1,2025-11-25,974,1022,998.00,48.00,Observation automatique
2,2025-09-20,1042,1079,1060.50,37.00,Observation automatique
2,2025-12-21,989,965,977.00,-24.00,Observation automatique
1,2025-12-22,916,1004,960.00,88.00,Observation automatique
1,2025-12-06,1029,1033,1031.00,4.00,Observation automatique
1,2025-09-23,1078,1076,1077.00,-2.00,Observation automatique
1,2025-06-19,1097,944,1020.50,-153.00,Observation automatique
2,2025-06-25,995,1045,1020.00,50.00,Observation automatique
2,2025-08-09,973,942,957.50,-31.00,Observation automatique
2,2025-08-25,930,916,923.00,-14.00,Observation automatique
2,2025-11-19,1040,1086,1063.00,46.00,Observation automatique
1,2025-06-25,978,922,950.00,-56.00,Observation automatique
2,2025-11-11,1073,993,1033.00,-80.00,Observation automatique
1,2025-07-29,1085,993,1039.00,-92.00,Observation automatique
2,2025-10-13,1046,1066,1056.00,20.00,Observation automatique
1,2025-10-31,1048,1033,1040.50,-15.00,Observation automatique
1,2025-11-06,952,913,932.50,-39.00,Observation automatique
1,2025-07-17,902,1010,956.00,108.00,Observation automatique
1,2025-08-21,961,995,978.00,34.00,Observation automatique
2,2025-07-02,966,1026,996.00,60.00,Observation automatique
2,2025-11-13,1098,1020,1059.00,-78.00,Observation automatique
1,2025-06-12,900,990,945.00,90.00,Observation automatique
2,2025-08-14,962,928,945.00,-34.00,Observation automatique
2,2025-12-25,961,1058,1009.50,97.00,Observation automatique
2,2025-08-26,1095,1054,1074.50,-41.00,Observation automatique
1,2025-11-28,961,952,956.50,-9.00,Observation automatique
1,2025-10-06,928,974,951.00,46.00,Observation automatique
1,2025-08-27,1014,1025,1019.50,11.00,Observation automatique
