id_interne_zone,date,temp_min,temp_max,temp_moyenne,variation,note
1,2025-12-08,-33,39,3.00,-72.00,Observation automatique
1,2025-12-16,-36,33,-1.50,-69.00,Observation automatique
2,2025-07-13,-47,3,-22.00,-50.00,Observation automatique
2,2025-09-24,-19,16,-1.50,-35.00,Observation automatique
2,2025-10-07,-8,48,20.00,-56.00,Observation automatique
2,2025-10-08,-7,44,18.50,-51.00,Observation automatique
1,2025-09-20,-49,13,-18.00,-62.00,Observation automatique
1,2025-07-27,-9,37,14.00,-46.00,Observation automatique
1,2025-11-04,-20,5,-7.50,-25.00,Observation automatique
1,2025-11-17,-19,14,-2.50,-33.00,Observation automatique
1,2025-06-23,-16,28,6.00,-44.00,Observation automatique
2,2025-06-13,-1,1,0.00,-2.00,Observation automatique
1,2025-12-12,-42,49,3.50,-91.00,Observation automatique
2,2025-12-27,-9,45,18.00,-54.00,Observation automatique
2,2025-07-08,-19,48,14.50,-67.00,Observation automatique
1,2025-08-13,-29,31,1.00,-60.00,Observation automatique
2,2025-06-12,-39,42,1.50,-81.00,Observation automatique
2,2025-08-31,-49,26,-11.50,-75.00,Observation automatique
2,2025-08-02,-38,9,-14.50,-47.00,Observation automatique
2,2025-10-19,-38,36,-1.00,-74.00,Observation automatique
2,2025-09-08,-35,23,-6.00,-58.00,Observation automatique
1,2025-11-20,-27,45,9.00,-72.00,Observation automatique
1,2025-10-12,-2,39,18.50,-41.00,Observation automatique
1,2025-09-22,-10,29,9.50,-39.00,Observation automatique
2,2025-09-28,-31,18,-6.50,-49.00,Observation automatique
2,2025-08-13,-32,34,1.00,-66.00,Observation automatique
2,2025-10-24,-13,33,10.00,-46.00,Observation automatique
2,2025-09-30,-26,40,7.00,-66.00,Observation automatique
2,2025-08-03,-8,17,4.50,-25.00,Observation automatique
1,2025-09-21,-9,27,9.00,-36.00,Observation automatique
2,2025-06-06,-19,31,6.00,-50.00,Observation automatique
2,2025-07-23,-47,34,-6.50,-81.00,Observation automatique
2,2025-07-15,-50,4,-23.00,-54.00,Observation automatique
2,2025-08-30,-4,34,15.00,-38.00,Observation automatique
2,2025-10-09,-7,11,2.00,-18.00,Observation automatique
2,2025-10-15,-29,39,5.00,-68.00,Observation automatique
1,2025-10-21,-41,23,-9.00,-64.00,Observation automatique
2,2025-10-11,-20,24,2.00,-44.00,Observation automatique
1,2025-06-04,-19,22,1.50,-41.00,Observation automatique
2,2025-08-07,-1,46,22.50,-47.00,Observation automatique
2,2025-10-23,-12,14,1.00,-26.00,Observation automatique
2,2025-07-27,-46,29,-8.50,-75.00,Observation automatique
1,2025-12-10,-14,33,9.50,-47.00,Observation automatique
2,2025-11-25,-15,6,-4.50,-21.00,Observation automatique
1,2025-09-30,-6,4,-1.00,-10.00,Observation automatique
1,2025-07-11,-42,10,-16.00,-52.00,Observation automatique
1,2025-07-19,-3,25,11.00,-28.00,Observation automatique
2,2025-06-19,-19,22,1.50,-41.00,Observation automatique
2,2025-12-20,-22,31,4.50,-53.00,Observation automatique
2,2025-09-10,-37,27,-5.00,-64.00,Observation automatique
1,2025-08-18,-22,50,14.00,-72.00,Observation automatique
2,2025-11-30,-29,47,9.00,-76.00,Observation automatique
2,2025-09-14,-15,18,1.50,-33.00,Observation automatique
2,2025-08-29,-35,32,-1.50,-67.00,Observation automatique
1,2025-06-21,-44,19,-12.50,-63.00,Observation automatique
2,2025-06-03,-13,34,10.50,-47.00,Observation automatique
1,2025-07-04,-42,18,-12.00,-60.00,Observation automatique
1,2025-11-25,-34,41,3.50,-75.00,Observation automatique
2,2025-09-20,-26,11,-7.50,-37.00,Observation automatique
2,2025-12-21,-30,38,4.00,-68.00,Observation automatique
1,2025-12-22,-1,50,24.50,-51.00,Observation automatique
1,2025-12-06,-34,39,2.50,-73.00,Observation automatique
1,2025-09-23,-49,10,-19.50,-59.00,Observation automatique
1,2025-06-19,-20,17,-1.50,-37.00,Observation automatique
2,2025-06-25,-4,43,19.50,-47.00,Observation automatique
2,2025-08-09,-23,5,-9.00,-28.00,Observation automatique
2,2025-08-25,-20,16,-2.00,-36.00,Observation automatique
2,2025-11-19,-50,32,-9.00,-82.00,Observation automatique
1,2025-06-25,-35,18,-8.50,-53.00,Observation automatique
2,2025-11-11,-28,17,-5.50,-45.00,Observation automatique
1,2025-07-29,-47,17,-15.00,-64.00,Observation automatique
2,2025-10-13,-6,11,2.50,-17.00,Observation automatique
1,2025-10-31,-26,15,-5.50,-41.00,Observation automatique
1,2025-11-06,-18,22,2.00,-40.00,Observation automatique
1,2025-07-17,-47,13,-17.00,-60.00,Observation automatique
1,2025-08-21,-10,9,-0.50,-19.00,Observation automatique
2,2025-07-02,-14,32,9.00,-46.00,Observation automatique
2,2025-11-13,-28,1,-13.50,-29.00,Observation automatique
1,2025-06-12,-33,4,-14.50,-37.00,Observation automatique
2,2025-08-14,-26,6,-10.00,-32.00,Observation automatique
2,2025-12-25,-18,50,16.00,-68.00,Observation automatique
2,2025-08-26,-45,10,-17.50,-55.00,Observation automatique
1,2025-11-28,-5,34,14.50,-39.00,Observation automatique
1,2025-10-06,-16,26,5.00,-42.00,Observation automatique
1,2025-08-27,-39,21,-9.00,-60.00,Observation automatique
1,2025-12-11,-42,15,-13.50,-57.00,Observation automatique
1,2025-08-20,-25,40,7.50,-65.00,Observation automatique
1,2025-06-29,-4,1,-1.50,-5.00,Observation automatique
2,2025-07-14,-35,19,-8.00,-54.00,Observation automatique
1,2025-06-01,-8,48,20.00,-56.00,Observation automatique
1,2025-07-15,-24,30,3.00,-54.00,Observation automatique
1,2025-09-03,-47,23,-12.00,-70.00,Observation automatique
2,2025-11-26,-21,39,9.00,-60.00,Observation automatique
1,2025-06-09,-17,39,11.00,-56.00,Observation automatique
1,2025-12-27,-22,46,12.00,-68.00,Observation automatique
1,2025-09-24,-21,35,7.00,-56.00,Observation automatique
1,2025-11-10,-7,42,17.50,-49.00,Observation automatique
2,2025-08-01,-7,9,1.00,-16.00,Observation automatique
2,2025-06-11,-9,17,4.00,-26.00,Observation automatique
2,2025-08-12,-28,20,-4.00,-48.00,Observation automatique
2,2025-06-29,-22,47,12.50,-69.00,Observation automatique
2,2025-10-27,-37,2,-17.50,-39.00,Observation automatique
1,2025-09-02,-39,31,-4.00,-70.00,Observation automatique
1,2025-09-04,-4,13,4.50,-17.00,Observation automatique
1,2025-12-01,-30,7,-11.50,-37.00,Observation automatique
2,2025-12-07,-19,23,2.00,-42.00,Observation automatique
1,2025-08-09,-30,43,6.50,-73.00,Observation automatique
1,2025-06-08,-9,17,4.00,-26.00,Observation automatique
2,2025-07-03,0,31,15.50,-31.00,Observation automatique
1,2025-10-18,-26,36,5.00,-62.00,Observation automatique
1,2025-06-10,-27,6,-10.50,-33.00,Observation automatique
1,2025-12-07,-5,27,11.00,-32.00,Observation automatique
2,2025-12-24,-38,48,5.00,-86.00,Observation automatique
1,2025-12-29,-21,24,1.50,-45.00,Observation automatique
2,2025-07-26,-29,24,-2.50,-53.00,Observation automatique
1,2025-12-24,-24,41,8.50,-65.00,Observation automatique
1,2025-08-28,-20,46,13.00,-66.00,Observation automatique
1,2025-09-06,-47,26,-10.50,-73.00,Observation automatique
1,2025-06-26,-24,43,9.50,-67.00,Observation automatique
2,2025-08-22,-32,9,-11.50,-41.00,Observation automatique
1,2025-09-19,-48,31,-8.50,-79.00,Observation automatique
1,2025-11-14,-5,4,-0.50,-9.00,Observation automatique
1,2025-09-13,-28,3,-12.50,-31.00,Observation automatique
2,2025-08-10,-26,26,0.00,-52.00,Observation automatique
2,2025-12-19,-39,23,-8.00,-62.00,Observation automatique
1,2025-10-11,-15,35,10.00,-50.00,Observation automatique
2,2025-06-24,-3,45,21.00,-48.00,Observation automatique
2,2025-12-14,-27,38,5.50,-65.00,Observation automatique
1,2025-12-23,-27,35,4.00,-62.00,Observation automatique
2,2025-08-08,-40,44,2.00,-84.00,Observation automatique
1,2025-11-11,-50,22,-14.00,-72.00,Observation automatique
2,2025-06-20,-25,46,10.50,-71.00,Observation automatique
1,2025-10-16,-13,14,0.50,-27.00,Observation automatique
2,2025-11-18,-17,13,-2.00,-30.00,Observation automatique
1,2025-08-17,-44,30,-7.00,-74.00,Observation automatique
2,2025-09-18,-28,31,1.50,-59.00,Observation automatique
1,2025-08-11,-12,49,18.50,-61.00,Observation automatique
2,2025-06-28,-43,3,-20.00,-46.00,Observation automatique
2,2025-12-13,-23,0,-11.50,-23.00,Observation automatique
1,2025-10-24,-15,35,10.00,-50.00,Observation automatique
2,2025-07-22,-48,15,-16.50,-63.00,Observation automatique
1,2025-11-03,-18,6,-6.00,-24.00,Observation automatique
1,2025-08-29,-27,37,5.00,-64.00,Observation automatique
1,2025-10-13,-31,28,-1.50,-59.00,Observation automatique
1,2025-07-28,-36,28,-4.00,-64.00,Observation automatique
2,2025-07-25,-22,25,1.50,-47.00,Observation automatique
2,2025-07-06,0,11,5.50,-11.00,Observation automatique
2,2025-12-23,-20,30,5.00,-50.00,Observation automatique
2,2025-07-17,-22,23,0.50,-45.00,Observation automatique
1,2025-06-03,-3,26,11.50,-29.00,Observation automatique
2,2025-12-11,-32,6,-13.00,-38.00,Observation automatique
2,2025-10-30,-10,25,7.50,-35.00,Observation automatique
1,2025-12-09,-34,45,5.50,-79.00,Observation automatique
2,2025-10-04,-46,41,-2.50,-87.00,Observation automatique
1,2025-11-24,-14,29,7.50,-43.00,Observation automatique
1,2025-11-02,-5,11,3.00,-16.00,Observation automatique
1,2025-10-29,-31,2,-14.50,-33.00,Observation automatique
1,2025-08-10,-4,2,-1.00,-6.00,Observation automatique
2,2025-07-31,-34,4,-15.00,-38.00,Observation automatique
2,2025-07-10,-12,46,17.00,-58.00,Observation automatique
1,2025-06-06,-25,5,-10.00,-30.00,Observation automatique
2,2025-07-18,-14,12,-1.00,-26.00,Observation automatique
2,2025-08-23,-6,31,12.50,-37.00,Observation automatique
1,2025-07-12,-10,32,11.00,-42.00,Observation automatique
2,2025-09-07,-6,14,4.00,-20.00,Observation automatique
2,2025-10-05,-8,27,9.50,-35.00,Observation automatique
2,2025-11-05,-27,1,-13.00,-28.00,Observation automatique
2,2025-11-20,-48,8,-20.00,-56.00,Observation automatique
2,2025-08-05,-50,41,-4.50,-91.00,Observation automatique
2,2025-07-07,-5,6,0.50,-11.00,Observation automatique
1,2025-08-03,-5,31,13.00,-36.00,Observation automatique
2,2025-11-24,-46,19,-13.50,-65.00,Observation automatique
2,2025-10-20,-25,4,-10.50,-29.00,Observation automatique
2,2025-12-22,-2,40,19.00,-42.00,Observation automatique
2,2025-06-14,-9,46,18.50,-55.00,Observation automatique
2,2025-11-15,-13,27,7.00,-40.00,Observation automatique
1,2025-10-27,-18,18,0.00,-36.00,Observation automatique
2,2025-12-06,-23,41,9.00,-64.00,Observation automatique
1,2025-12-18,-46,43,-1.50,-89.00,Observation automatique
1,2025-07-23,-20,2,-9.00,-22.00,Observation automatique
2,2025-11-28,-31,10,-10.50,-41.00,Observation automatique
2,2025-10-26,-35,2,-16.50,-37.00,Observation automatique
1,2025-07-21,-4,31,13.50,-35.00,Observation automatique
1,2025-11-09,-48,24,-12.00,-72.00,Observation automatique
1,2025-12-26,-14,1,-6.50,-15.00,Observation automatique
1,2025-08-02,-10,21,5.50,-31.00,Observation automatique
1,2025-06-28,-48,31,-8.50,-79.00,Observation automatique
1,2025-09-01,-48,22,-13.00,-70.00,Observation automatique
2,2025-12-02,-34,15,-9.50,-49.00,Observation automatique
1,2025-07-07,-9,27,9.00,-36.00,Observation automatique
1,2025-10-14,-4,18,7.00,-22.00,Observation automatique
1,2025-08-06,-6,41,17.50,-47.00,Observation automatique
2,2025-10-22,-17,25,4.00,-42.00,Observation automatique
1,2025-07-10,-8,16,4.00,-24.00,Observation automatique
2,2025-10-03,-27,45,9.00,-72.00,Observation automatique
2,2025-11-27,-29,42,6.50,-71.00,Observation automatique
1,2025-08-12,-36,38,1.00,-74.00,Observation automatique
1,2025-12-13,-33,6,-13.50,-39.00,Observation automatique
