id_interne_zone,date,vent_min,vent_max,vent_moyenne,variation,note
1,2025-12-08,81,169,125.00,88.00,Observation automatique
1,2025-12-16,85,230,157.50,145.00,Observation automatique
2,2025-07-13,58,252,155.00,194.00,Observation automatique
2,2025-09-24,20,211,115.50,191.00,Observation automatique
2,2025-10-07,83,252,167.50,169.00,Observation automatique
2,2025-10-08,100,285,192.50,185.00,Observation automatique
1,2025-09-20,40,179,109.50,139.00,Observation automatique
1,2025-07-27,112,299,205.50,187.00,Observation automatique
1,2025-11-04,49,232,140.50,183.00,Observation automatique
1,2025-11-17,59,190,124.50,131.00,Observation automatique
1,2025-06-23,112,289,200.50,177.00,Observation automatique
2,2025-06-13,102,275,188.50,173.00,Observation automatique
1,2025-12-12,30,295,162.50,265.00,Observation automatique
2,2025-12-27,109,222,165.50,113.00,Observation automatique
2,2025-07-08,22,245,133.50,223.00,Observation automatique
1,2025-08-13,59,234,146.50,175.00,Observation automatique
2,2025-06-12,6,233,119.50,227.00,Observation automatique
2,2025-08-31,22,232,127.00,210.00,Observation automatique
2,2025-08-02,19,252,135.50,233.00,Observation automatique
2,2025-10-19,62,206,134.00,144.00,Observation automatique
2,2025-09-08,115,286,200.50,171.00,Observation automatique
1,2025-11-20,106,295,200.50,189.00,Observation automatique
1,2025-10-12,129,237,183.00,108.00,Observation automatique
1,2025-09-22,94,218,156.00,124.00,Observation automatique
2,2025-09-28,13,278,145.50,265.00,Observation automatique
2,2025-08-13,22,282,152.00,260.00,Observation automatique
2,2025-10-24,33,266,149.50,233.00,Observation automatique
2,2025-09-30,134,198,166.00,64.00,Observation automatique
2,2025-08-03,38,263,150.50,225.00,Observation automatique
1,2025-09-21,95,271,183.00,176.00,Observation automatique
2,2025-06-06,132,193,162.50,61.00,Observation automatique
2,2025-07-23,144,294,219.00,150.00,Observation automatique
2,2025-07-15,74,217,145.50,143.00,Observation automatique
2,2025-08-30,47,167,107.00,120.00,Observation automatique
2,2025-10-09,5,222,113.50,217.00,Observation automatique
2,2025-10-15,67,192,129.50,125.00,Observation automatique
1,2025-10-21,130,282,206.00,152.00,Observation automatique
2,2025-10-11,142,259,200.50,117.00,Observation automatique
1,2025-06-04,18,281,149.50,263.00,Observation automatique
2,2025-08-07,90,150,120.00,60.00,Observation automatique
2,2025-10-23,108,234,171.00,126.00,Observation automatique
2,2025-07-27,45,207,126.00,162.00,Observation automatique
1,2025-12-10,19,254,136.50,235.00,Observation automatique
