site_id,zone_id,date,temp_min,temp_max,hum_min,hum_max,vent_min,vent_max,pres_min,pres_max,prec_tot,prec_nat,note
MF,A,2024-05-01,-4,15,59,78,7,20,971,1011,19,B,Observation meteo du 2024-05-01 (printemps)
MF,B,2024-05-01,-1,13,51,76,10,23,960,976,29,B,Observation meteo du 2024-05-01 (printemps)
MF,A,2024-05-02,0,12,54,70,9,25,956,1050,12,B,Observation meteo du 2024-05-02 (printemps)
MF,B,2024-05-02,-1,15,60,70,10,21,990,1016,23,B,Observation meteo du 2024-05-02 (printemps)
MF,A,2024-05-03,-2,10,53,79,10,23,974,1027,,,Observation meteo du 2024-05-03 (printemps)
MF,B,2024-05-03,-2,14,54,77,5,22,952,995,,,Observation meteo du 2024-05-03 (printemps)
MF,A,2024-05-04,-5,12,55,80,10,20,960,1012,,,Observation meteo du 2024-05-04 (printemps)
MF,B,2024-05-04,0,13,52,80,7,22,963,983,,,Observation meteo du 2024-05-04 (printemps)
MF,A,2024-05-05,-2,14,50,77,7,24,956,1000,,,Observation meteo du 2024-05-05 (printemps)
MF,B,2024-05-05,-5,13,50,72,6,25,970,1022,27,P,Observation meteo du 2024-05-05 (printemps)
MF,A,2024-05-06,-3,14,59,80,8,23,963,985,,,Observation meteo du 2024-05-06 (printemps)
MF,B,2024-05-06,-5,12,59,73,9,20,1000,1028,,,Observation meteo du 2024-05-06 (printemps)
MF,A,2024-05-07,-5,12,60,70,7,21,957,1016,5,B,Observation meteo du 2024-05-07 (printemps)
MF,B,2024-05-07,-1,12,56,70,6,24,988,1044,28,P,Observation meteo du 2024-05-07 (printemps)
MF,A,2024-05-08,-5,12,53,73,6,21,970,987,,,Observation meteo du 2024-05-08 (printemps)
MF,B,2024-05-08,-5,15,60,76,6,20,986,1005,,,Observation meteo du 2024-05-08 (printemps)
MF,A,2024-05-09,-4,13,54,72,7,23,959,1018,,,Observation meteo du 2024-05-09 (printemps)
MF,B,2024-05-09,-2,12,56,78,5,25,955,1012,,,Observation meteo du 2024-05-09 (printemps)
MF,A,2024-05-10,-1,10,54,76,9,21,994,1014,,,Observation meteo du 2024-05-10 (printemps)
MF,B,2024-05-10,-5,11,52,71,5,23,977,1002,,,Observation meteo du 2024-05-10 (printemps)
MF,A,2024-05-11,0,11,54,72,7,21,992,1040,8,B,Observation meteo du 2024-05-11 (printemps)
MF,B,2024-05-11,-1,10,55,71,8,22,999,1018,,,Observation meteo du 2024-05-11 (printemps)
MF,A,2024-05-12,-2,12,57,70,10,24,990,1025,26,B,Observation meteo du 2024-05-12 (printemps)
