site_id,zone_id,placette_numero,peuplement_id,date_placette,hauteur,obstruction_type,taux_obstruction,couverture_type,taux_couverture,rang_arbre,arbre_id
MF,A,1,PEBO,2024-05-07,1,F,35,,,,
MF,A,1,PEBO,2024-05-07,1,C,28,,,,
MF,A,1,PEBO,2024-05-07,1,T,95,,,,
MF,A,1,PEBO,2024-05-07,2,F,36,,,,
MF,A,1,PEBO,2024-05-07,2,C,34,,,,
MF,A,1,PEBO,2024-05-07,2,T,79,,,,
MF,A,1,PEBO,2024-05-07,,,,graminees,53,,
MF,A,1,PEBO,2024-05-07,,,,mousses,19,,
MF,A,1,PEBO,2024-05-07,,,,fougeres,25,,
MF,A,1,PEBO,2024-05-07,,,,,,1,FAGGRA
MF,A,1,PEBO,2024-05-07,,,,,,2,BETALL
MF,A,1,PEBO,2024-05-07,,,,,,3,ACESAC
MF,A,2,BEMI,2024-05-07,1,F,21,,,,
MF,A,2,BEMI,2024-05-07,1,C,27,,,,
MF,A,2,BEMI,2024-05-07,1,T,59,,,,
MF,A,2,BEMI,2024-05-07,2,F,11,,,,
MF,A,2,BEMI,2024-05-07,2,C,31,,,,
MF,A,2,BEMI,2024-05-07,2,T,96,,,,
MF,A,2,BEMI,2024-05-07,,,,graminees,42,,
MF,A,2,BEMI,2024-05-07,,,,mousses,51,,
MF,A,2,BEMI,2024-05-07,,,,fougeres,46,,
MF,A,2,BEMI,2024-05-07,,,,,,1,ABIBAL
MF,A,2,BEMI,2024-05-07,,,,,,2,BETALL
MF,A,2,BEMI,2024-05-07,,,,,,3,PICMAR
MF,A,3,BEMI,2024-05-24,1,F,29,,,,
MF,A,3,BEMI,2024-05-24,1,C,32,,,,
MF,A,3,BEMI,2024-05-24,1,T,98,,,,
MF,A,3,BEMI,2024-05-24,2,F,28,,,,
MF,A,3,BEMI,2024-05-24,2,C,15,,,,
MF,A,3,BEMI,2024-05-24,2,T,90,,,,
MF,A,3,BEMI,2024-05-24,,,,graminees,33,,
MF,A,3,BEMI,2024-05-24,,,,mousses,35,,
MF,A,3,BEMI,2024-05-24,,,,fougeres,41,,
MF,A,3,BEMI,2024-05-24,,,,,,1,PICMAR
MF,A,3,BEMI,2024-05-24,,,,,,2,BETALL
MF,A,3,BEMI,2024-05-24,,,,,,3,SORSSP
MF,A,4,SAPI,2024-05-07,1,F,36,,,,
MF,A,4,SAPI,2024-05-07,1,C,17,,,,
MF,A,4,SAPI,2024-05-07,1,T,87,,,,
MF,A,4,SAPI,2024-05-07,2,F,25,,,,
MF,A,4,SAPI,2024-05-07,2,C,16,,,,
MF,A,4,SAPI,2024-05-07,2,T,82,,,,
