site_id,zone_id,placette_id,couverture_type,taux
MF,A,1,graminees,53
MF,A,1,mousses,19
MF,A,1,fougeres,25
MF,A,2,graminees,42
MF,A,2,mousses,51
MF,A,2,fougeres,46
MF,A,3,graminees,33
MF,A,3,mousses,35
MF,A,3,fougeres,41
MF,A,4,graminees,25
MF,A,4,mousses,32
MF,A,4,fougeres,43
MF,B,1,graminees,38
MF,B,1,mousses,22
MF,B,1,fougeres,52
MF,B,2,graminees,32
MF,B,2,mousses,38
MF,B,2,fougeres,23
MF,B,3,graminees,34
MF,B,3,mousses,60
MF,B,3,fougeres,24
MF,B,4,graminees,52
MF,B,4,mousses,18
MF,B,4,fougeres,39
