id,date_observation,longueur,largeur
1001,2024-05-27,51,20
1001,2024-06-04,265,239
1001,2024-06-06,309,234
1001,2024-06-07,137,105
1001,2024-06-13,267,127
1001,2024-06-17,81,228
1001,2024-06-18,334,64
1001,2024-06-20,256,129
1001,2024-06-23,347,158
1001,2024-07-04,163,57
1001,2024-07-06,249,70
1001,2024-07-07,215,152
1001,2024-07-08,96,98
1001,2024-07-09,196,80
1001,2024-07-17,205,219
1001,2024-07-22,209,52
1001,2024-07-28,209,157
1001,2024-07-31,172,153
1001,2024-08-07,271,131
1002,2024-05-15,132,49
1002,2024-05-20,144,69
1002,2024-05-21,152,72
1002,2024-05-23,53,106
1002,2024-05-30,170,40
1002,2024-05-31,190,20
1002,2024-06-15,214,231
1002,2024-06-16,317,161
1002,2024-06-19,165,200
1002,2024-06-21,208,102
1002,2024-06-29,161,200
1002,2024-07-02,263,194
1002,2024-07-07,323,166
1002,2024-07-09,350,199
1002,2024-07-10,229,86
1002,2024-07-11,129,74
1002,2024-07-18,209,53
1002,2024-07-19,303,236
1002,2024-08-02,244,195
1002,2024-08-03,343,172
1002,2024-08-04,104,196
1002,2024-08-06,190,132
1002,2024-08-10,201,76
1002,2024-08-14,275,143
1002,2024-08-18,280,122
1002,2024-08-20,307,113
1002,2024-08-28,161,63
1004,2024-05-10,114,135
1004,2024-05-15,53,141
1004,2024-05-16,54,90
1004,2024-05-20,127,65
1004,2024-05-22,67,86
1004,2024-05-23,69,29
1004,2024-05-24,158,144
1004,2024-05-26,130,115
1004,2024-05-28,111,99
1004,2024-06-01,331,232
1004,2024-06-03,332,242
1004,2024-06-10,120,123
1004,2024-06-12,116,77
1004,2024-06-16,300,158
1004,2024-06-19,271,146
1004,2024-06-20,220,117
1004,2024-06-25,162,200
1004,2024-06-29,186,201
1004,2024-07-03,220,89
1004,2024-07-04,104,230
1004,2024-07-21,130,116
1004,2024-07-22,164,78
1004,2024-07-27,145,211
1004,2024-07-29,319,151
1004,2024-08-02,272,132
1004,2024-08-04,268,211
1004,2024-08-10,113,115
1004,2024-08-11,82,64
1004,2024-08-12,134,122
1004,2024-08-13,289,88
1004,2024-08-14,300,117
1004,2024-08-15,120,113
1004,2024-08-19,310,90
1004,2024-08-30,159,167
1004,2024-08-31,234,126
1004,2024-09-01,245,81
1005,2024-05-10,124,24
1005,2024-05-14,63,43
1005,2024-05-15,90,113
1005,2024-05-18,153,83
1005,2024-05-24,175,97
1005,2024-05-25,150,148
1005,2024-06-01,269,69
1005,2024-06-08,292,108
1005,2024-06-13,134,187
1005,2024-06-16,211,150
1005,2024-06-19,278,242
1005,2024-06-23,319,195
1005,2024-06-24,208,242
1005,2024-06-25,265,155
1005,2024-06-27,321,188
1005,2024-07-03,316,148
1005,2024-07-09,319,124
1005,2024-07-14,265,157
1005,2024-07-19,265,83
1005,2024-07-23,305,154
1005,2024-07-24,179,172
1005,2024-07-28,163,238
1005,2024-07-30,335,83
1006,2024-05-18,60,66
1006,2024-05-28,101,22
1006,2024-06-01,320,70
1006,2024-06-02,301,245
1006,2024-06-04,262,229
1006,2024-06-13,308,123
1006,2024-06-14,155,172
1006,2024-06-17,251,79
1006,2024-06-25,290,176
1006,2024-06-30,276,239
1006,2024-07-01,247,210
1006,2024-07-07,276,67
1006,2024-07-09,312,235
1006,2024-07-11,309,154
1006,2024-07-12,105,129
1007,2024-05-11,136,73
1007,2024-05-17,69,64
1007,2024-05-18,70,143
1007,2024-05-23,197,82
1007,2024-05-25,44,145
1007,2024-05-28,81,83
1007,2024-05-31,53,120
1007,2024-06-03,168,51
1007,2024-06-04,323,85
1007,2024-06-09,81,68
1007,2024-06-12,257,147
1007,2024-06-16,170,197
1007,2024-06-24,175,58
1007,2024-07-09,218,78
1007,2024-07-11,135,194
1007,2024-07-16,88,152
1007,2024-07-29,278,183
1007,2024-08-03,317,201
1007,2024-08-06,80,51
1007,2024-08-07,237,140
1007,2024-08-13,348,145
1007,2024-08-17,114,224
1007,2024-08-18,247,51
1007,2024-08-22,145,111
1010,2024-05-13,42,27
1010,2024-05-14,193,141
1010,2024-05-17,62,89
1010,2024-05-19,115,143
1010,2024-05-22,182,27
1010,2024-05-24,82,122
1010,2024-05-27,86,55
1010,2024-05-30,135,53
1010,2024-06-05,238,123
1010,2024-06-09,185,97
1010,2024-06-12,128,229
1010,2024-06-16,125,173
1010,2024-06-19,218,89
1010,2024-06-22,100,173
1010,2024-06-30,219,167
1010,2024-07-07,218,220
1010,2024-07-08,337,90
1010,2024-07-15,107,82
1010,2024-07-18,137,228
1010,2024-07-21,209,108
1010,2024-07-22,110,119
1010,2024-07-30,250,197
1010,2024-08-01,315,53
1010,2024-08-09,133,62
1010,2024-08-12,80,79
1010,2024-08-17,203,228
1010,2024-08-21,87,140
1010,2024-09-03,191,79
1010,2024-09-04,283,162
1010,2024-09-06,170,175
1010,2024-09-07,207,101
1010,2024-09-10,138,98
1010,2024-09-12,221,75
1010,2024-09-15,236,69
1010,2024-09-19,122,116
1010,2024-09-22,276,99
1010,2024-09-23,154,85
1010,2024-09-26,245,81
1010,2024-09-28,179,137
1010,2024-09-29,142,169
1011,2024-05-17,82,71
1011,2024-05-18,75,108
1011,2024-05-20,89,46
1011,2024-05-31,62,24
1011,2024-06-03,157,245
1011,2024-06-06,300,234
1011,2024-06-07,335,172
1011,2024-06-08,236,249
1011,2024-06-17,179,235
1011,2024-06-21,172,205
1011,2024-06-24,138,203
1011,2024-06-26,99,204
1012,2024-05-15,191,141
1012,2024-05-28,120,99
1012,2024-05-29,69,38
1012,2024-05-31,73,92
1012,2024-06-03,317,203
1012,2024-06-04,265,240
1012,2024-06-05,120,113
1012,2024-06-06,113,110
1012,2024-06-08,155,110
1012,2024-06-09,305,160
1012,2024-06-17,97,154
1012,2024-06-24,174,85
1012,2024-06-26,126,238
1012,2024-06-28,122,153
1012,2024-07-01,273,200
1012,2024-07-03,327,50
1012,2024-07-10,350,72
1012,2024-07-13,83,187
1012,2024-07-18,105,129
1012,2024-08-07,292,109
1012,2024-08-10,309,195
1012,2024-08-11,302,51
1012,2024-08-12,121,196
1012,2024-08-13,318,146
1012,2024-08-23,259,188
1014,2024-05-15,74,93
1014,2024-05-17,123,135
1014,2024-05-22,48,100
1014,2024-05-26,75,32
1014,2024-05-27,103,43
1014,2024-06-06,350,153
1014,2024-06-07,292,204
1014,2024-06-08,182,83
1014,2024-06-11,252,213
1014,2024-06-13,114,162
1014,2024-06-17,245,53
1014,2024-06-22,129,140
1014,2024-06-25,230,137
1014,2024-06-28,255,216
1014,2024-06-29,313,72
1014,2024-07-02,133,178
1014,2024-07-05,308,115
1014,2024-07-12,313,180
1014,2024-07-15,111,112
1014,2024-07-17,211,210
1014,2024-07-19,144,159
1014,2024-07-22,195,165
1014,2024-07-25,124,176
1014,2024-07-27,345,237
1014,2024-07-28,144,116
1014,2024-08-04,224,184
1014,2024-08-07,149,135
