plant_id,date,note
1001,2024-05-27,Observation du 2024-05-27 (printemps)
1001,2024-06-04,Observation du 2024-06-04 (ete)
1001,2024-06-06,Observation du 2024-06-06 (ete)
1001,2024-06-07,Observation du 2024-06-07 (ete)
1001,2024-06-13,Observation du 2024-06-13 (ete)
1001,2024-06-17,Observation du 2024-06-17 (ete)
1001,2024-06-18,Observation du 2024-06-18 (ete)
1001,2024-06-20,Observation du 2024-06-20 (ete)
1001,2024-06-23,Observation du 2024-06-23 (ete)
1001,2024-07-04,Observation du 2024-07-04 (ete)
1001,2024-07-06,Observation du 2024-07-06 (ete)
1001,2024-07-07,Observation du 2024-07-07 (ete)
1001,2024-07-08,Observation du 2024-07-08 (ete)
1001,2024-07-09,Observation du 2024-07-09 (ete)
1001,2024-07-17,Observation du 2024-07-17 (ete)
1001,2024-07-22,Observation du 2024-07-22 (ete)
1001,2024-07-28,Observation du 2024-07-28 (ete)
1001,2024-07-31,Observation du 2024-07-31 (ete)
1001,2024-08-07,Observation du 2024-08-07 (ete)
1002,2024-05-15,Observation du 2024-05-15 (printemps)
1002,2024-05-20,Observation du 2024-05-20 (printemps)
1002,2024-05-21,Observation du 2024-05-21 (printemps)
1002,2024-05-23,Observation du 2024-05-23 (printemps)
1002,2024-05-30,Observation du 2024-05-30 (printemps)
1002,2024-05-31,Observation du 2024-05-31 (printemps)
1002,2024-06-15,Observation du 2024-06-15 (ete)
1002,2024-06-16,Observation du 2024-06-16 (ete)
1002,2024-06-19,Observation du 2024-06-19 (ete)
1002,2024-06-21,Observation du 2024-06-21 (ete)
1002,2024-06-29,Observation du 2024-06-29 (ete)
1002,2024-07-02,Observation du 2024-07-02 (ete)
1002,2024-07-07,Observation du 2024-07-07 (ete)
1002,2024-07-09,Observation du 2024-07-09 (ete)
1002,2024-07-10,Observation du 2024-07-10 (ete)
1002,2024-07-11,Observation du 2024-07-11 (ete)
1002,2024-07-18,Observation du 2024-07-18 (ete)
1002,2024-07-19,Observation du 2024-07-19 (ete)
1002,2024-08-02,Observation du 2024-08-02 (ete)
1002,2024-08-03,Observation du 2024-08-03 (ete)
1002,2024-08-04,Observation du 2024-08-04 (ete)
1002,2024-08-06,Observation du 2024-08-06 (ete)
1002,2024-08-10,Observation du 2024-08-10 (ete)
1002,2024-08-14,Observation du 2024-08-14 (ete)
1002,2024-08-18,Observation du 2024-08-18 (ete)
1002,2024-08-20,Observation du 2024-08-20 (ete)
1002,2024-08-28,Observation du 2024-08-28 (ete)
1004,2024-05-10,Observation du 2024-05-10 (printemps)
1004,2024-05-15,Observation du 2024-05-15 (printemps)
1004,2024-05-16,Observation du 2024-05-16 (printemps)
1004,2024-05-20,Observation du 2024-05-20 (printemps)
