date,site_id,zone_id,note
2024-05-01,MF,A,Observation meteo du 2024-05-01 (printemps)
2024-05-01,MF,B,Observation meteo du 2024-05-01 (printemps)
2024-05-02,MF,A,Observation meteo du 2024-05-02 (printemps)
2024-05-02,MF,B,Observation meteo du 2024-05-02 (printemps)
2024-05-03,MF,A,Observation meteo du 2024-05-03 (printemps)
2024-05-03,MF,B,Observation meteo du 2024-05-03 (printemps)
2024-05-04,MF,A,Observation meteo du 2024-05-04 (printemps)
2024-05-04,MF,B,Observation meteo du 2024-05-04 (printemps)
2024-05-05,MF,A,Observation meteo du 2024-05-05 (printemps)
2024-05-05,MF,B,Observation meteo du 2024-05-05 (printemps)
2024-05-06,MF,A,Observation meteo du 2024-05-06 (printemps)
2024-05-06,MF,B,Observation meteo du 2024-05-06 (printemps)
2024-05-07,MF,A,Observation meteo du 2024-05-07 (printemps)
2024-05-07,MF,B,Observation meteo du 2024-05-07 (printemps)
2024-05-08,MF,A,Observation meteo du 2024-05-08 (printemps)
2024-05-08,MF,B,Observation meteo du 2024-05-08 (printemps)
2024-05-09,MF,A,Observation meteo du 2024-05-09 (printemps)
2024-05-09,MF,B,Observation meteo du 2024-05-09 (printemps)
2024-05-10,MF,A,Observation meteo du 2024-05-10 (printemps)
2024-05-10,MF,B,Observation meteo du 2024-05-10 (printemps)
2024-05-11,MF,A,Observation meteo du 2024-05-11 (printemps)
2024-05-11,MF,B,Observation meteo du 2024-05-11 (printemps)
2024-05-12,MF,A,Observation meteo du 2024-05-12 (printemps)
2024-05-12,MF,B,Observation meteo du 2024-05-12 (printemps)
2024-05-13,MF,A,Observation meteo du 2024-05-13 (printemps)
2024-05-13,MF,B,Observation meteo du 2024-05-13 (printemps)
2024-05-14,MF,A,Observation meteo du 2024-05-14 (printemps)
2024-05-14,MF,B,Observation meteo du 2024-05-14 (printemps)
2024-05-15,MF,A,Observation meteo du 2024-05-15 (printemps)
2024-05-15,MF,B,Observation meteo du 2024-05-15 (printemps)
2024-05-16,MF,A,Observation meteo du 2024-05-16 (printemps)
2024-05-16,MF,B,Observation meteo du 2024-05-16 (printemps)
2024-05-17,MF,A,Observation meteo du 2024-05-17 (printemps)
2024-05-17,MF,B,Observation meteo du 2024-05-17 (printemps)
2024-05-18,MF,A,Observation meteo du 2024-05-18 (printemps)
2024-05-18,MF,B,Observation meteo du 2024-05-18 (printemps)
2024-05-19,MF,A,Observation meteo du 2024-05-19 (printemps)
2024-05-19,MF,B,Observation meteo du 2024-05-19 (printemps)
2024-05-20,MF,A,Observation meteo du 2024-05-20 (printemps)
2024-05-20,MF,B,Observation meteo du 2024-05-20 (printemps)
2024-05-21,MF,A,Observation meteo du 2024-05-21 (printemps)
2024-05-21,MF,B,Observation meteo du 2024-05-21 (printemps)
2024-05-22,MF,A,Observation meteo du 2024-05-22 (printemps)
2024-05-22,MF,B,Observation meteo du 2024-05-22 (printemps)
2024-05-23,MF,A,Observation meteo du 2024-05-23 (printemps)
2024-05-23,MF,B,Observation meteo du 2024-05-23 (printemps)
2024-05-24,MF,A,Observation meteo du 2024-05-24 (printemps)
2024-05-24,MF,B,Observation meteo du 2024-05-24 (printemps)
2024-05-25,MF,A,Observation meteo du 2024-05-25 (printemps)
2024-05-25,MF,B,Observation meteo du 2024-05-25 (printemps)
2024-05-26,MF,A,Observation meteo du 2024-05-26 (printemps)
2024-05-26,MF,B,Observation meteo du 2024-05-26 (printemps)
2024-05-27,MF,A,Observation meteo du 2024-05-27 (printemps)
2024-05-27,MF,B,Observation meteo du 2024-05-27 (printemps)
2024-05-28,MF,A,Observation meteo du 2024-05-28 (printemps)
2024-05-28,MF,B,Observation meteo du 2024-05-28 (printemps)
2024-05-29,MF,A,Observation meteo du 2024-05-29 (printemps)
2024-05-29,MF,B,Observation meteo du 2024-05-29 (printemps)
2024-05-30,MF,A,Observation meteo du 2024-05-30 (printemps)
2024-05-30,MF,B,Observation meteo du 2024-05-30 (printemps)
2024-05-31,MF,A,Observation meteo du 2024-05-31 (printemps)
2024-05-31,MF,B,Observation meteo du 2024-05-31 (printemps)
2024-06-01,MF,A,Observation meteo du 2024-06-01 (ete)
2024-06-01,MF,B,Observation meteo du 2024-06-01 (ete)
2024-06-02,MF,A,Observation meteo du 2024-06-02 (ete)
2024-06-02,MF,B,Observation meteo du 2024-06-02 (ete)
2024-06-03,MF,A,Observation meteo du 2024-06-03 (ete)
2024-06-03,MF,B,Observation meteo du 2024-06-03 (ete)
2024-06-04,MF,A,Observation meteo du 2024-06-04 (ete)
2024-06-04,MF,B,Observation meteo du 2024-06-04 (ete)
2024-06-05,MF,A,Observation meteo du 2024-06-05 (ete)
