date,site_id,zone_id,hum_min,hum_max
2024-05-01,MF,A,59,78
2024-05-01,MF,B,51,76
2024-05-02,MF,A,54,70
2024-05-02,MF,B,60,70
2024-05-03,MF,A,53,79
2024-05-03,MF,B,54,77
2024-05-04,MF,A,55,80
2024-05-04,MF,B,52,80
2024-05-05,MF,A,50,77
2024-05-05,MF,B,50,72
2024-05-06,MF,A,59,80
2024-05-06,MF,B,59,73
2024-05-07,MF,A,60,70
2024-05-07,MF,B,56,70
2024-05-08,MF,A,53,73
2024-05-08,MF,B,60,76
2024-05-09,MF,A,54,72
2024-05-09,MF,B,56,78
2024-05-10,MF,A,54,76
2024-05-10,MF,B,52,71
2024-05-11,MF,A,54,72
2024-05-11,MF,B,55,71
2024-05-12,MF,A,57,70
2024-05-12,MF,B,59,73
2024-05-13,MF,A,53,71
2024-05-13,MF,B,59,73
2024-05-14,MF,A,51,79
2024-05-14,MF,B,55,78
2024-05-15,MF,A,52,78
2024-05-15,MF,B,59,80
2024-05-16,MF,A,59,75
2024-05-16,MF,B,54,79
2024-05-17,MF,A,55,80
2024-05-17,MF,B,50,79
2024-05-18,MF,A,57,74
2024-05-18,MF,B,54,74
2024-05-19,MF,A,52,80
2024-05-19,MF,B,59,77
2024-05-20,MF,A,54,74
2024-05-20,MF,B,58,77
2024-05-21,MF,A,58,77
2024-05-21,MF,B,58,77
2024-05-22,MF,A,60,73
2024-05-22,MF,B,57,75
2024-05-23,MF,A,50,76
2024-05-23,MF,B,59,79
2024-05-24,MF,A,56,76
2024-05-24,MF,B,58,77
2024-05-25,MF,A,53,74
2024-05-25,MF,B,52,77
2024-05-26,MF,A,53,77
2024-05-26,MF,B,55,76
2024-05-27,MF,A,53,80
2024-05-27,MF,B,54,74
2024-05-28,MF,A,55,75
2024-05-28,MF,B,52,77
2024-05-29,MF,A,50,80
2024-05-29,MF,B,58,73
2024-05-30,MF,A,60,74
2024-05-30,MF,B,58,76
2024-05-31,MF,A,50,77
2024-05-31,MF,B,50,72
2024-06-01,MF,A,43,60
2024-06-01,MF,B,49,67
2024-06-02,MF,A,43,70
2024-06-02,MF,B,45,68
2024-06-03,MF,A,43,63
2024-06-03,MF,B,43,65
2024-06-04,MF,A,44,69
2024-06-04,MF,B,40,64
2024-06-05,MF,A,41,67
2024-06-05,MF,B,46,60
2024-06-06,MF,A,45,67
2024-06-06,MF,B,46,61
2024-06-07,MF,A,44,70
2024-06-07,MF,B,40,64
2024-06-08,MF,A,47,63
2024-06-08,MF,B,47,62
2024-06-09,MF,A,42,60
2024-06-09,MF,B,49,60
2024-06-10,MF,A,46,65
2024-06-10,MF,B,42,62
2024-06-11,MF,A,40,68
2024-06-11,MF,B,43,65
2024-06-12,MF,A,44,60
2024-06-12,MF,B,40,68
2024-06-13,MF,A,41,62
2024-06-13,MF,B,42,60
2024-06-14,MF,A,44,61
2024-06-14,MF,B,44,70
2024-06-15,MF,A,44,66
2024-06-15,MF,B,42,60
2024-06-16,MF,A,44,66
2024-06-16,MF,B,49,65
2024-06-17,MF,A,41,69
2024-06-17,MF,B,41,66
2024-06-18,MF,A,46,60
2024-06-18,MF,B,44,64
2024-06-19,MF,A,44,68
2024-06-19,MF,B,48,62
2024-06-20,MF,A,43,63
2024-06-20,MF,B,43,69
2024-06-21,MF,A,42,65
2024-06-21,MF,B,42,67
2024-06-22,MF,A,44,65
2024-06-22,MF,B,45,63
2024-06-23,MF,A,49,65
2024-06-23,MF,B,48,66
2024-06-24,MF,A,43,66
2024-06-24,MF,B,42,64
2024-06-25,MF,A,47,60
2024-06-25,MF,B,40,65
2024-06-26,MF,A,42,61
2024-06-26,MF,B,40,67
