date,site_id,zone_id,prec_tot,prec_nat
2024-05-01,MF,A,19,B
2024-05-01,MF,B,29,B
2024-05-02,MF,A,12,B
2024-05-02,MF,B,23,B
2024-05-05,MF,B,27,P
2024-05-07,MF,A,5,B
2024-05-07,MF,B,28,P
2024-05-11,MF,A,8,B
2024-05-12,MF,A,26,B
2024-05-13,MF,B,11,P
2024-05-14,MF,A,17,P
2024-05-15,MF,B,13,P
2024-05-16,MF,B,16,P
2024-05-17,MF,A,27,P
2024-05-18,MF,B,19,B
2024-05-19,MF,A,10,B
2024-05-20,MF,B,9,B
2024-05-21,MF,A,15,P
2024-05-23,MF,A,28,B
2024-05-25,MF,A,24,B
2024-05-25,MF,B,15,B
2024-05-26,MF,A,28,B
2024-05-26,MF,B,23,P
2024-05-27,MF,A,6,P
2024-05-28,MF,A,7,P
2024-05-28,MF,B,7,B
2024-05-29,MF,A,25,P
2024-05-30,MF,A,20,P
2024-05-31,MF,A,28,B
2024-05-31,MF,B,9,P
2024-06-05,MF,A,11,P
2024-06-05,MF,B,11,B
2024-06-06,MF,A,17,B
2024-06-07,MF,A,23,B
2024-06-07,MF,B,17,B
2024-06-08,MF,B,18,P
2024-06-11,MF,B,14,P
2024-06-12,MF,A,21,P
2024-06-13,MF,A,19,P
2024-06-13,MF,B,9,P
2024-06-15,MF,B,8,P
2024-06-16,MF,B,5,P
2024-06-19,MF,A,16,P
2024-06-21,MF,A,13,B
2024-06-22,MF,A,23,B
2024-06-26,MF,A,22,B
2024-06-29,MF,A,11,B
2024-06-29,MF,B,11,B
2024-07-04,MF,B,8,P
2024-07-09,MF,A,19,P
2024-07-12,MF,B,25,B
2024-07-15,MF,A,8,B
2024-07-21,MF,A,10,P
2024-07-23,MF,A,16,P
2024-07-25,MF,A,8,B
2024-07-29,MF,B,22,B
2024-07-30,MF,A,15,B
2024-08-05,MF,A,10,B
2024-08-08,MF,A,10,B
2024-08-11,MF,A,19,B
2024-08-14,MF,B,23,P
2024-08-16,MF,A,5,B
2024-08-17,MF,B,6,B
2024-08-19,MF,A,17,B
2024-08-21,MF,B,22,P
2024-08-22,MF,B,5,P
2024-08-24,MF,B,14,B
2024-08-25,MF,A,12,P
2024-08-25,MF,B,12,P
2024-08-26,MF,B,21,P
2024-08-30,MF,B,22,P
2024-09-01,MF,A,26,P
2024-09-02,MF,A,21,B
2024-09-02,MF,B,18,P
2024-09-03,MF,A,24,B
2024-09-04,MF,A,18,P
2024-09-04,MF,B,12,B
2024-09-05,MF,B,19,B
2024-09-06,MF,A,8,B
2024-09-07,MF,B,9,B
2024-09-08,MF,A,4,P
2024-09-08,MF,B,26,B
2024-09-10,MF,B,28,P
2024-09-12,MF,A,6,B
2024-09-13,MF,B,18,P
2024-09-14,MF,A,15,B
2024-09-15,MF,B,25,P
2024-09-16,MF,A,7,B
2024-09-18,MF,B,14,P
2024-09-20,MF,B,5,P
2024-09-21,MF,B,23,P
2024-09-22,MF,A,8,P
2024-09-22,MF,B,17,P
2024-09-23,MF,A,19,P
2024-09-24,MF,B,8,B
2024-09-26,MF,B,14,P
2024-09-27,MF,B,10,P
2024-09-28,MF,A,28,P
2024-09-30,MF,A,10,P
2024-09-30,MF,B,9,B
