date,site_id,zone_id,pres_min,pres_max
2024-05-01,MF,A,971,1011
2024-05-01,MF,B,960,976
2024-05-02,MF,A,956,1050
2024-05-02,MF,B,990,1016
2024-05-03,MF,A,974,1027
2024-05-03,MF,B,952,995
2024-05-04,MF,A,960,1012
2024-05-04,MF,B,963,983
2024-05-05,MF,A,956,1000
2024-05-05,MF,B,970,1022
2024-05-06,MF,A,963,985
2024-05-06,MF,B,1000,1028
2024-05-07,MF,A,957,1016
2024-05-07,MF,B,988,1044
2024-05-08,MF,A,970,987
2024-05-08,MF,B,986,1005
2024-05-09,MF,A,959,1018
2024-05-09,MF,B,955,1012
2024-05-10,MF,A,994,1014
2024-05-10,MF,B,977,1002
2024-05-11,MF,A,992,1040
2024-05-11,MF,B,999,1018
2024-05-12,MF,A,990,1025
2024-05-12,MF,B,960,975
2024-05-13,MF,A,977,1006
2024-05-13,MF,B,956,1027
2024-05-14,MF,A,969,1040
2024-05-14,MF,B,986,1006
2024-05-15,MF,A,999,1027
2024-05-15,MF,B,986,1042
2024-05-16,MF,A,952,1027
2024-05-16,MF,B,980,1027
2024-05-17,MF,A,990,1036
2024-05-17,MF,B,958,1027
2024-05-18,MF,A,959,995
2024-05-18,MF,B,965,1050
2024-05-19,MF,A,1000,1028
2024-05-19,MF,B,986,996
2024-05-20,MF,A,981,995
2024-05-20,MF,B,988,1007
2024-05-21,MF,A,970,1027
2024-05-21,MF,B,996,1025
2024-05-22,MF,A,965,978
2024-05-22,MF,B,998,1016
2024-05-23,MF,A,1000,1046
2024-05-23,MF,B,990,1031
2024-05-24,MF,A,983,1000
2024-05-24,MF,B,996,1010
2024-05-25,MF,A,1000,1039
2024-05-25,MF,B,967,1029
2024-05-26,MF,A,986,1044
2024-05-26,MF,B,977,989
2024-05-27,MF,A,980,1002
2024-05-27,MF,B,974,1027
2024-05-28,MF,A,988,1032
2024-05-28,MF,B,977,1002
2024-05-29,MF,A,958,996
2024-05-29,MF,B,981,1010
2024-05-30,MF,A,972,1018
2024-05-30,MF,B,983,1022
2024-05-31,MF,A,974,1012
2024-05-31,MF,B,954,1035
2024-06-01,MF,A,982,1025
2024-06-01,MF,B,959,1050
2024-06-02,MF,A,972,1019
2024-06-02,MF,B,973,1044
2024-06-03,MF,A,997,1021
2024-06-03,MF,B,983,1007
2024-06-04,MF,A,962,991
2024-06-04,MF,B,979,998
2024-06-05,MF,A,975,1030
2024-06-05,MF,B,968,1029
2024-06-06,MF,A,980,1022
2024-06-06,MF,B,959,1023
2024-06-07,MF,A,986,1047
2024-06-07,MF,B,982,1033
2024-06-08,MF,A,983,994
2024-06-08,MF,B,962,993
2024-06-09,MF,A,979,1050
2024-06-09,MF,B,977,995
2024-06-10,MF,A,993,1024
2024-06-10,MF,B,973,1000
2024-06-11,MF,A,995,1010
2024-06-11,MF,B,972,1043
2024-06-12,MF,A,983,1012
2024-06-12,MF,B,986,1014
2024-06-13,MF,A,997,1025
2024-06-13,MF,B,984,998
2024-06-14,MF,A,991,1043
2024-06-14,MF,B,983,1045
2024-06-15,MF,A,995,1029
2024-06-15,MF,B,981,1048
2024-06-16,MF,A,993,1019
2024-06-16,MF,B,977,1008
2024-06-17,MF,A,984,1025
2024-06-17,MF,B,960,1024
2024-06-18,MF,A,961,1002
2024-06-18,MF,B,992,1038
2024-06-19,MF,A,971,1011
2024-06-19,MF,B,966,976
2024-06-20,MF,A,996,1026
2024-06-20,MF,B,978,1030
2024-06-21,MF,A,982,992
2024-06-21,MF,B,953,994
2024-06-22,MF,A,956,991
2024-06-22,MF,B,997,1009
2024-06-23,MF,A,951,1000
2024-06-23,MF,B,970,992
2024-06-24,MF,A,993,1047
2024-06-24,MF,B,959,1013
2024-06-25,MF,A,988,1029
2024-06-25,MF,B,960,1049
2024-06-26,MF,A,989,1037
2024-06-26,MF,B,985,1005
2024-06-27,MF,A,982,1017
2024-06-27,MF,B,986,1031
2024-06-28,MF,A,987,1033
2024-06-28,MF,B,976,1047
2024-06-29,MF,A,986,1016
2024-06-29,MF,B,957,984
2024-06-30,MF,A,990,1044
2024-06-30,MF,B,993,1034
2024-07-01,MF,A,981,1003
2024-07-01,MF,B,965,1000
2024-07-02,MF,A,980,992
2024-07-02,MF,B,951,1019
2024-07-03,MF,A,958,1019
2024-07-03,MF,B,952,974
2024-07-04,MF,A,955,1019
2024-07-04,MF,B,992,1016
