site_id,zone_id,placette_id,hauteur,obstruction_type,taux
MF,A,1,1,F,35
MF,A,1,1,C,28
MF,A,1,1,T,95
MF,A,1,2,F,36
MF,A,1,2,C,34
MF,A,1,2,T,79
MF,A,2,1,F,21
MF,A,2,1,C,27
MF,A,2,1,T,59
MF,A,2,2,F,11
MF,A,2,2,C,31
MF,A,2,2,T,96
MF,A,3,1,F,29
MF,A,3,1,C,32
MF,A,3,1,T,98
MF,A,3,2,F,28
MF,A,3,2,C,15
MF,A,3,2,T,90
MF,A,4,1,F,36
MF,A,4,1,C,17
MF,A,4,1,T,87
MF,A,4,2,F,25
MF,A,4,2,C,16
MF,A,4,2,T,82
MF,B,1,1,F,16
MF,B,1,1,C,28
MF,B,1,1,T,50
MF,B,1,2,F,16
MF,B,1,2,C,23
MF,B,1,2,T,73
MF,B,2,1,F,39
MF,B,2,1,C,25
MF,B,2,1,T,99
MF,B,2,2,F,30
MF,B,2,2,C,27
MF,B,2,2,T,58
MF,B,3,1,F,29
MF,B,3,1,C,36
MF,B,3,1,T,87
MF,B,3,2,F,18
MF,B,3,2,C,36
MF,B,3,2,T,84
MF,B,4,1,F,26
MF,B,4,1,C,11
MF,B,4,1,T,57
MF,B,4,2,F,22
MF,B,4,2,C,33
MF,B,4,2,T,92
