date,site_id,zone_id,vent_min,vent_max
2024-05-01,MF,A,7,20
2024-05-01,MF,B,10,23
2024-05-02,MF,A,9,25
2024-05-02,MF,B,10,21
2024-05-03,MF,A,10,23
2024-05-03,MF,B,5,22
2024-05-04,MF,A,10,20
2024-05-04,MF,B,7,22
2024-05-05,MF,A,7,24
2024-05-05,MF,B,6,25
2024-05-06,MF,A,8,23
2024-05-06,MF,B,9,20
2024-05-07,MF,A,7,21
2024-05-07,MF,B,6,24
2024-05-08,MF,A,6,21
2024-05-08,MF,B,6,20
2024-05-09,MF,A,7,23
2024-05-09,MF,B,5,25
2024-05-10,MF,A,9,21
2024-05-10,MF,B,5,23
2024-05-11,MF,A,7,21
2024-05-11,MF,B,8,22
2024-05-12,MF,A,10,24
2024-05-12,MF,B,7,22
2024-05-13,MF,A,5,24
2024-05-13,MF,B,5,23
2024-05-14,MF,A,8,25
2024-05-14,MF,B,9,23
2024-05-15,MF,A,6,23
2024-05-15,MF,B,5,22
2024-05-16,MF,A,7,21
2024-05-16,MF,B,7,20
2024-05-17,MF,A,6,21
2024-05-17,MF,B,9,24
2024-05-18,MF,A,5,23
2024-05-18,MF,B,7,23
2024-05-19,MF,A,8,22
2024-05-19,MF,B,7,23
2024-05-20,MF,A,7,20
2024-05-20,MF,B,9,21
2024-05-21,MF,A,6,22
2024-05-21,MF,B,10,21
2024-05-22,MF,A,5,25
2024-05-22,MF,B,9,21
2024-05-23,MF,A,5,25
2024-05-23,MF,B,6,21
2024-05-24,MF,A,8,21
2024-05-24,MF,B,7,23
2024-05-25,MF,A,10,22
2024-05-25,MF,B,7,24
2024-05-26,MF,A,8,23
2024-05-26,MF,B,8,21
2024-05-27,MF,A,10,21
2024-05-27,MF,B,8,20
2024-05-28,MF,A,7,23
2024-05-28,MF,B,5,25
2024-05-29,MF,A,6,22
2024-05-29,MF,B,7,21
2024-05-30,MF,A,10,22
2024-05-30,MF,B,8,22
2024-05-31,MF,A,5,21
2024-05-31,MF,B,10,20
2024-06-01,MF,A,2,12
2024-06-01,MF,B,1,11
2024-06-02,MF,A,4,10
2024-06-02,MF,B,0,14
2024-06-03,MF,A,1,15
2024-06-03,MF,B,4,12
2024-06-04,MF,A,1,14
2024-06-04,MF,B,5,13
2024-06-05,MF,A,0,14
2024-06-05,MF,B,0,12
2024-06-06,MF,A,5,12
2024-06-06,MF,B,4,15
2024-06-07,MF,A,3,15
2024-06-07,MF,B,5,15
2024-06-08,MF,A,4,10
2024-06-08,MF,B,2,11
2024-06-09,MF,A,2,10
2024-06-09,MF,B,2,12
2024-06-10,MF,A,0,11
2024-06-10,MF,B,2,10
2024-06-11,MF,A,5,12
2024-06-11,MF,B,2,15
2024-06-12,MF,A,5,13
2024-06-12,MF,B,3,14
2024-06-13,MF,A,0,13
2024-06-13,MF,B,4,12
2024-06-14,MF,A,3,13
2024-06-14,MF,B,1,10
2024-06-15,MF,A,5,14
2024-06-15,MF,B,3,15
2024-06-16,MF,A,1,11
2024-06-16,MF,B,2,13
2024-06-17,MF,A,2,12
