parcelle_id,placette_id,peuplement,position
50,1,pessière à bouleau,
5,2,sapinière à bouleau,
13,4,sapinière pure,
42,3,bétulai à érable et sapin,
11,2,bétulai à érable et sapin,
91,4,sapinière pure,
16,3,bétulai à érable et sapin,
9,3,bétulai à érable et sapin,
60,2,bétulai à érable et sapin,
45,1,pessière à bouleau,
34,1,sapinière pure,
78,1,sapinière pure,
39,4,bétulai à érable et sapin,
24,1,sapinière pure,
34,4,bétulai à érable et sapin,
62,3,bétulai à érable et sapin,
33,2,bétulai à érable et sapin,
98,4,sapinière pure,
60,1,sapinière pure,
30,1,sapinière pure,
52,1,pessière à bouleau,
11,2,sapinière à bouleau,
30,4,sapinière pure,
41,1,pessière à bouleau,
72,3,bétulai à érable et sapin,
9,2,sapinière à bouleau,
11,4,sapinière pure,
18,1,sapinière pure,
33,1,pessière à bouleau,
87,2,sapinière à bouleau,
36,2,sapinière à bouleau,
22,1,sapinière pure,
29,3,érablière à hêtre,
88,2,sapinière à bouleau,
25,3,bétulai à érable et sapin,
63,2,bétulai à érable et sapin,
26,4,sapinière pure,
81,1,pessière à bouleau,
79,2,sapinière à bouleau,
16,4,sapinière pure,
23,3,bétulai à érable et sapin,
75,2,bétulai à érable et sapin,
79,1,pessière à bouleau,
53,1,sapinière pure,
16,3,érablière à hêtre,
38,3,bétulai à érable et sapin,
97,1,sapinière pure,
46,4,sapinière pure,
50,4,bétulai à érable et sapin,
95,3,bétulai à érable et sapin,
19,4,sapinière pure,
76,1,sapinière pure,
94,1,pessière à bouleau,
74,4,sapinière pure,
10,1,sapinière pure,
9,3,érablière à hêtre,
84,4,bétulai à érable et sapin,
4,2,sapinière à bouleau,
73,3,bétulai à érable et sapin,
23,1,pessière à bouleau,
17,4,bétulai à érable et sapin,
97,2,bétulai à érable et sapin,
28,1,sapinière pure,
76,2,sapinière à bouleau,
92,3,érablière à hêtre,
18,3,érablière à hêtre,
92,1,pessière à bouleau,
4,1,pessière à bouleau,
91,4,bétulai à érable et sapin,
35,4,bétulai à érable et sapin,
78,2,bétulai à érable et sapin,
67,4,bétulai à érable et sapin,
33,4,sapinière pure,
82,3,bétulai à érable et sapin,
82,1,pessière à bouleau,
83,2,bétulai à érable et sapin,
74,1,pessière à bouleau,
47,2,bétulai à érable et sapin,
19,2,sapinière à bouleau,
40,4,sapinière pure,
85,1,sapinière pure,
52,2,sapinière à bouleau,
38,1,pessière à bouleau,
98,3,bétulai à érable et sapin,
65,1,pessière à bouleau,
72,2,bétulai à érable et sapin,
82,2,sapinière à bouleau,
97,4,bétulai à érable et sapin,
27,2,bétulai à érable et sapin,
50,2,sapinière à bouleau,
70,1,pessière à bouleau,
68,2,sapinière à bouleau,
80,4,bétulai à érable et sapin,
61,4,sapinière pure,
93,4,bétulai à érable et sapin,
69,3,érablière à hêtre,
83,4,bétulai à érable et sapin,
87,1,sapinière pure,
64,3,érablière à hêtre,
20,1,sapinière pure,
82,4,sapinière pure,
71,3,bétulai à érable et sapin,
79,4,sapinière pure,
4,4,sapinière pure,
4,1,sapinière pure,
26,1,sapinière pure,
22,4,bétulai à érable et sapin,
12,4,bétulai à érable et sapin,
77,3,bétulai à érable et sapin,
2,3,érablière à hêtre,
93,2,sapinière à bouleau,
25,4,bétulai à érable et sapin,
69,2,bétulai à érable et sapin,
36,4,bétulai à érable et sapin,
71,3,érablière à hêtre,
13,2,bétulai à érable et sapin,
70,2,sapinière à bouleau,
28,4,sapinière pure,
1,1,pessière à bouleau,
54,4,bétulai à érable et sapin,
61,1,pessière à bouleau,
51,3,bétulai à érable et sapin,
47,1,sapinière pure,
54,2,bétulai à érable et sapin,
62,2,sapinière à bouleau,
23,3,érablière à hêtre,
69,4,bétulai à érable et sapin,
38,2,bétulai à érable et sapin,
68,4,bétulai à érable et sapin,
40,2,bétulai à érable et sapin,
53,3,érablière à hêtre,
1,2,sapinière à bouleau,
70,4,sapinière pure,
62,3,érablière à hêtre,
24,1,pessière à bouleau,
5,4,bétulai à érable et sapin,
41,1,sapinière pure,
56,4,sapinière pure,
77,2,sapinière à bouleau,
57,3,érablière à hêtre,
99,3,bétulai à érable et sapin,
73,3,érablière à hêtre,
89,2,bétulai à érable et sapin,
7,2,sapinière à bouleau,
92,4,bétulai à érable et sapin,
57,1,sapinière pure,
61,3,érablière à hêtre,
88,4,sapinière pure,
41,4,sapinière pure,
11,4,bétulai à érable et sapin,
17,2,sapinière à bouleau,
15,3,érablière à hêtre,
62,1,pessière à bouleau,
36,1,sapinière pure,
20,2,bétulai à érable et sapin,
65,3,bétulai à érable et sapin,
7,3,bétulai à érable et sapin,
17,2,bétulai à érable et sapin,
87,3,érablière à hêtre,
34,3,bétulai à érable et sapin,
95,1,pessière à bouleau,
92,4,sapinière pure,
95,2,sapinière à bouleau,
94,4,bétulai à érable et sapin,
58,2,bétulai à érable et sapin,
56,2,bétulai à érable et sapin,
85,4,sapinière pure,
9,1,sapinière pure,
62,4,sapinière pure,
51,2,bétulai à érable et sapin,
70,3,bétulai à érable et sapin,
79,1,sapinière pure,
26,1,pessière à bouleau,
87,1,pessière à bouleau,
52,4,sapinière pure,
61,1,sapinière pure,
51,1,sapinière pure,
98,2,sapinière à bouleau,
30,4,bétulai à érable et sapin,
3,1,pessière à bouleau,
3,4,bétulai à érable et sapin,
31,3,bétulai à érable et sapin,
55,4,sapinière pure,
90,3,érablière à hêtre,
27,1,sapinière pure,
86,3,bétulai à érable et sapin,
67,3,bétulai à érable et sapin,
34,2,sapinière à bouleau,
64,3,bétulai à érable et sapin,
30,3,bétulai à érable et sapin,
31,2,sapinière à bouleau,
88,4,bétulai à érable et sapin,
76,3,érablière à hêtre,
6,1,pessière à bouleau,
12,3,érablière à hêtre,
36,4,sapinière pure,
42,2,bétulai à érable et sapin,
17,3,bétulai à érable et sapin,
91,2,bétulai à érable et sapin,
97,2,sapinière à bouleau,
57,3,bétulai à érable et sapin,
22,3,bétulai à érable et sapin,
41,2,sapinière à bouleau,
51,2,sapinière à bouleau,
16,4,bétulai à érable et sapin,
38,4,bétulai à érable et sapin,
45,4,bétulai à érable et sapin,
42,2,sapinière à bouleau,
85,4,bétulai à érable et sapin,
84,3,érablière à hêtre,
3,2,sapinière à bouleau,
50,3,érablière à hêtre,
95,2,bétulai à érable et sapin,
87,3,bétulai à érable et sapin,
48,4,bétulai à érable et sapin,
59,4,sapinière pure,
6,2,bétulai à érable et sapin,
35,1,sapinière pure,
80,2,sapinière à bouleau,
26,2,sapinière à bouleau,
2,1,sapinière pure,
29,1,sapinière pure,
87,4,bétulai à érable et sapin,
51,4,bétulai à érable et sapin,
85,1,pessière à bouleau,
48,3,érablière à hêtre,
55,4,bétulai à érable et sapin,
11,3,érablière à hêtre,
37,1,sapinière pure,
84,3,bétulai à érable et sapin,
65,2,sapinière à bouleau,
30,3,érablière à hêtre,
56,1,sapinière pure,
86,1,pessière à bouleau,
73,2,bétulai à érable et sapin,
2,2,bétulai à érable et sapin,
78,4,bétulai à érable et sapin,
32,2,bétulai à érable et sapin,
22,3,érablière à hêtre,
4,4,bétulai à érable et sapin,
74,3,érablière à hêtre,
26,3,érablière à hêtre,
56,3,érablière à hêtre,
96,2,sapinière à bouleau,
78,3,érablière à hêtre,
14,3,bétulai à érable et sapin,
27,1,pessière à bouleau,
94,1,sapinière pure,
76,2,bétulai à érable et sapin,
53,1,pessière à bouleau,
8,1,pessière à bouleau,
18,1,pessière à bouleau,
7,3,érablière à hêtre,
3,3,érablière à hêtre,
41,3,érablière à hêtre,
35,1,pessière à bouleau,
91,3,bétulai à érable et sapin,
56,3,bétulai à érable et sapin,
84,1,sapinière pure,
47,1,pessière à bouleau,
89,1,pessière à bouleau,
21,3,érablière à hêtre,
80,3,érablière à hêtre,
30,1,pessière à bouleau,
64,2,sapinière à bouleau,
30,2,sapinière à bouleau,
32,4,bétulai à érable et sapin,
99,2,sapinière à bouleau,
13,1,sapinière pure,
75,4,sapinière pure,
41,3,bétulai à érable et sapin,
33,2,sapinière à bouleau,
20,4,sapinière pure,
68,1,pessière à bouleau,
33,3,bétulai à érable et sapin,
73,2,sapinière à bouleau,
18,2,sapinière à bouleau,
31,3,érablière à hêtre,
69,4,sapinière pure,
90,4,bétulai à érable et sapin,
39,2,bétulai à érable et sapin,
33,4,bétulai à érable et sapin,
57,4,sapinière pure,
69,3,bétulai à érable et sapin,
92,2,bétulai à érable et sapin,
22,2,bétulai à érable et sapin,
73,4,bétulai à érable et sapin,
19,1,sapinière pure,
7,4,bétulai à érable et sapin,
23,4,sapinière pure,
1,4,sapinière pure,
64,4,sapinière pure,
59,2,bétulai à érable et sapin,
70,1,sapinière pure,
58,4,sapinière pure,
29,1,pessière à bouleau,
10,4,sapinière pure,
0,1,pessière à bouleau,
14,1,sapinière pure,
3,4,sapinière pure,
65,4,sapinière pure,
96,1,pessière à bouleau,
86,4,bétulai à érable et sapin,
66,4,sapinière pure,
37,2,sapinière à bouleau,
91,1,sapinière pure,
13,3,érablière à hêtre,
15,4,sapinière pure,
75,3,bétulai à érable et sapin,
21,1,sapinière pure,
45,4,sapinière pure,
88,1,sapinière pure,
60,3,érablière à hêtre,
49,3,bétulai à érable et sapin,
25,4,sapinière pure,
26,3,bétulai à érable et sapin,
90,1,sapinière pure,
20,4,bétulai à érable et sapin,
78,4,sapinière pure,
52,3,bétulai à érable et sapin,
89,1,sapinière pure,
42,4,sapinière pure,
50,4,sapinière pure,
28,4,bétulai à érable et sapin,
44,4,sapinière pure,
43,3,bétulai à érable et sapin,
82,1,sapinière pure,
0,2,bétulai à érable et sapin,
68,3,érablière à hêtre,
0,4,sapinière pure,
65,2,bétulai à érable et sapin,
94,4,sapinière pure,
60,4,bétulai à érable et sapin,
90,3,bétulai à érable et sapin,
39,3,bétulai à érable et sapin,
94,2,sapinière à bouleau,
45,1,sapinière pure,
70,3,érablière à hêtre,
99,1,sapinière pure,
44,1,sapinière pure,
63,1,sapinière pure,
42,1,pessière à bouleau,
67,4,sapinière pure,
64,1,pessière à bouleau,
44,3,érablière à hêtre,
15,1,pessière à bouleau,
86,4,sapinière pure,
15,2,sapinière à bouleau,
1,3,bétulai à érable et sapin,
36,3,érablière à hêtre,
19,3,érablière à hêtre,
52,3,érablière à hêtre,
1,2,bétulai à érable et sapin,
44,1,pessière à bouleau,
78,1,pessière à bouleau,
77,3,érablière à hêtre,
93,1,pessière à bouleau,
83,4,sapinière pure,
27,3,bétulai à érable et sapin,
79,2,bétulai à érable et sapin,
24,4,sapinière pure,
8,4,sapinière pure,
90,2,bétulai à érable et sapin,
23,4,bétulai à érable et sapin,
20,3,érablière à hêtre,
34,3,érablière à hêtre,
10,3,bétulai à érable et sapin,
27,2,sapinière à bouleau,
16,1,sapinière pure,
58,4,bétulai à érable et sapin,
96,4,bétulai à érable et sapin,
24,3,bétulai à érable et sapin,
96,2,bétulai à érable et sapin,
89,2,sapinière à bouleau,
55,1,sapinière pure,
92,2,sapinière à bouleau,
66,1,pessière à bouleau,
23,2,bétulai à érable et sapin,
77,1,pessière à bouleau,
37,4,bétulai à érable et sapin,
77,1,sapinière pure,
11,3,bétulai à érable et sapin,
54,1,sapinière pure,
44,2,bétulai à érable et sapin,
71,4,sapinière pure,
96,4,sapinière pure,
0,3,bétulai à érable et sapin,
72,4,sapinière pure,
33,3,érablière à hêtre,
63,1,pessière à bouleau,
25,3,érablière à hêtre,
66,3,bétulai à érable et sapin,
8,3,érablière à hêtre,
52,1,sapinière pure,
82,4,bétulai à érable et sapin,
78,2,sapinière à bouleau,
26,2,bétulai à érable et sapin,
74,1,sapinière pure,
94,3,bétulai à érable et sapin,
67,1,sapinière pure,
16,2,sapinière à bouleau,
62,4,bétulai à érable et sapin,
82,3,érablière à hêtre,
24,4,bétulai à érable et sapin,
9,2,bétulai à érable et sapin,
88,3,bétulai à érable et sapin,
32,4,sapinière pure,
20,1,pessière à bouleau,
93,3,érablière à hêtre,
44,4,bétulai à érable et sapin,
74,2,bétulai à érable et sapin,
84,4,sapinière pure,
6,4,sapinière pure,
86,2,bétulai à érable et sapin,
34,4,sapinière pure,
64,1,sapinière pure,
73,4,sapinière pure,
8,1,sapinière pure,
91,1,pessière à bouleau,
59,4,bétulai à érable et sapin,
97,3,bétulai à érable et sapin,
80,2,bétulai à érable et sapin,
1,3,érablière à hêtre,
50,3,bétulai à érable et sapin,
23,2,sapinière à bouleau,
40,1,pessière à bouleau,
10,2,sapinière à bouleau,
74,4,bétulai à érable et sapin,
50,1,sapinière pure,
66,2,bétulai à érable et sapin,
32,1,pessière à bouleau,
51,3,érablière à hêtre,
11,1,sapinière pure,
5,4,sapinière pure,
30,2,bétulai à érable et sapin,
72,2,sapinière à bouleau,
10,1,pessière à bouleau,
20,2,sapinière à bouleau,
57,1,pessière à bouleau,
81,3,bétulai à érable et sapin,
