id_interne_placette,date,type_couverture,taux,incertitude
9,2024-05-12,graminees,38.00,0
9,2024-05-12,mousses,22.00,0
9,2024-05-12,fougeres,52.00,0
9,2024-05-07,graminees,53.00,0
9,2024-05-07,mousses,19.00,0
9,2024-05-07,fougeres,25.00,0
10,2024-05-08,graminees,32.00,0
10,2024-05-08,mousses,38.00,0
10,2024-05-08,fougeres,23.00,0
10,2024-05-07,graminees,42.00,0
10,2024-05-07,mousses,51.00,0
10,2024-05-07,fougeres,46.00,0
11,2024-05-16,graminees,34.00,0
11,2024-05-16,mousses,60.00,0
11,2024-05-16,fougeres,24.00,0
11,2024-05-24,graminees,33.00,0
11,2024-05-24,mousses,35.00,0
11,2024-05-24,fougeres,41.00,0
12,2024-05-16,graminees,34.00,0
12,2024-05-16,mousses,60.00,0
12,2024-05-16,fougeres,24.00,0
12,2024-05-24,graminees,33.00,0
12,2024-05-24,mousses,35.00,0
12,2024-05-24,fougeres,41.00,0
13,2024-05-02,graminees,52.00,0
13,2024-05-02,mousses,18.00,0
13,2024-05-02,fougeres,39.00,0
13,2024-05-07,graminees,25.00,0
13,2024-05-07,mousses,32.00,0
13,2024-05-07,fougeres,43.00,0
14,2024-05-12,graminees,38.00,0
14,2024-05-12,mousses,22.00,0
14,2024-05-12,fougeres,52.00,0
14,2024-05-07,graminees,53.00,0
14,2024-05-07,mousses,19.00,0
14,2024-05-07,fougeres,25.00,0
15,2024-05-08,graminees,32.00,0
15,2024-05-08,mousses,38.00,0
15,2024-05-08,fougeres,23.00,0
15,2024-05-07,graminees,42.00,0
15,2024-05-07,mousses,51.00,0
15,2024-05-07,fougeres,46.00,0
16,2024-05-02,graminees,52.00,0
16,2024-05-02,mousses,18.00,0
16,2024-05-02,fougeres,39.00,0
16,2024-05-07,graminees,25.00,0
16,2024-05-07,mousses,32.00,0
16,2024-05-07,fougeres,43.00,0
