id_interne_plant,date,longueur,largeur,superficie,note
1482,2024-05-15,132,49,6468.00,""
1482,2024-05-20,144,69,9936.00,""
1482,2024-05-21,152,72,10944.00,""
1482,2024-05-23,53,106,5618.00,""
1482,2024-05-30,170,40,6800.00,""
1482,2024-05-31,190,20,3800.00,""
1482,2024-06-15,214,231,49434.00,""
1482,2024-06-16,317,161,51037.00,""
1482,2024-06-19,165,200,33000.00,""
1482,2024-06-21,208,102,21216.00,""
1482,2024-06-29,161,200,32200.00,""
1482,2024-07-02,263,194,51022.00,""
1482,2024-07-07,323,166,53618.00,""
1482,2024-07-09,350,199,69650.00,""
1482,2024-07-10,229,86,19694.00,""
1482,2024-07-11,129,74,9546.00,""
1482,2024-07-18,209,53,11077.00,""
1482,2024-07-19,303,236,71508.00,""
1482,2024-08-02,244,195,47580.00,""
1482,2024-08-03,343,172,58996.00,""
1482,2024-08-04,104,196,20384.00,""
1482,2024-08-06,190,132,25080.00,""
1482,2024-08-10,201,76,15276.00,""
1482,2024-08-14,275,143,39325.00,""
1482,2024-08-18,280,122,34160.00,""
1482,2024-08-20,307,113,34691.00,""
1482,2024-08-28,161,63,10143.00,""
1699,2024-05-10,114,135,15390.00,""
1699,2024-05-15,53,141,7473.00,""
1699,2024-05-16,54,90,4860.00,""
1699,2024-05-20,127,65,8255.00,""
1699,2024-05-22,67,86,5762.00,""
1699,2024-05-23,69,29,2001.00,""
1699,2024-05-24,158,144,22752.00,""
1699,2024-05-26,130,115,14950.00,""
1699,2024-05-28,111,99,10989.00,""
1699,2024-06-01,331,232,76792.00,""
1699,2024-06-03,332,242,80344.00,""
1699,2024-06-10,120,123,14760.00,""
1699,2024-06-12,116,77,8932.00,""
1699,2024-06-16,300,158,47400.00,""
1699,2024-06-19,271,146,39566.00,""
1699,2024-06-20,220,117,25740.00,""
1699,2024-06-25,162,200,32400.00,""
1699,2024-06-29,186,201,37386.00,""
1699,2024-07-03,220,89,19580.00,""
1699,2024-07-04,104,230,23920.00,""
1699,2024-07-21,130,116,15080.00,""
1699,2024-07-22,164,78,12792.00,""
1699,2024-07-27,145,211,30595.00,""
1699,2024-07-29,319,151,48169.00,""
1699,2024-08-02,272,132,35904.00,""
1699,2024-08-04,268,211,56548.00,""
1699,2024-08-10,113,115,12995.00,""
1699,2024-08-11,82,64,5248.00,""
1699,2024-08-12,134,122,16348.00,""
1699,2024-08-13,289,88,25432.00,""
1699,2024-08-14,300,117,35100.00,""
1699,2024-08-15,120,113,13560.00,""
1699,2024-08-19,310,90,27900.00,""
1699,2024-08-30,159,167,26553.00,""
1699,2024-08-31,234,126,29484.00,""
1699,2024-09-01,245,81,19845.00,""
1307,2024-05-10,124,24,2976.00,""
1307,2024-05-14,63,43,2709.00,""
1307,2024-05-15,90,113,10170.00,""
1307,2024-05-18,153,83,12699.00,""
1307,2024-05-24,175,97,16975.00,""
1307,2024-05-25,150,148,22200.00,""
1307,2024-06-01,269,69,18561.00,""
1307,2024-06-08,292,108,31536.00,""
1307,2024-06-13,134,187,25058.00,""
1307,2024-06-16,211,150,31650.00,""
1307,2024-06-19,278,242,67276.00,""
1307,2024-06-23,319,195,62205.00,""
1307,2024-06-24,208,242,50336.00,""
1307,2024-06-25,265,155,41075.00,""
1307,2024-06-27,321,188,60348.00,""
1307,2024-07-03,316,148,46768.00,""
1307,2024-07-09,319,124,39556.00,""
1307,2024-07-14,265,157,41605.00,""
1307,2024-07-19,265,83,21995.00,""
1307,2024-07-23,305,154,46970.00,""
1307,2024-07-24,179,172,30788.00,""
1307,2024-07-28,163,238,38794.00,""
1307,2024-07-30,335,83,27805.00,""
1780,2024-05-18,60,66,3960.00,""
1780,2024-05-28,101,22,2222.00,""
1780,2024-06-01,320,70,22400.00,""
1780,2024-06-02,301,245,73745.00,""
1780,2024-06-04,262,229,59998.00,""
1780,2024-06-13,308,123,37884.00,""
1780,2024-06-14,155,172,26660.00,""
1780,2024-06-17,251,79,19829.00,""
1780,2024-06-25,290,176,51040.00,""
1780,2024-06-30,276,239,65964.00,""
1780,2024-07-01,247,210,51870.00,""
1780,2024-07-07,276,67,18492.00,""
1780,2024-07-09,312,235,73320.00,""
1780,2024-07-11,309,154,47586.00,""
1780,2024-07-12,105,129,13545.00,""
1345,2024-05-11,136,73,9928.00,""
1345,2024-05-17,69,64,4416.00,""
1345,2024-05-18,70,143,10010.00,""
1345,2024-05-23,197,82,16154.00,""
1345,2024-05-25,44,145,6380.00,""
1345,2024-05-28,81,83,6723.00,""
1345,2024-05-31,53,120,6360.00,""
1345,2024-06-03,168,51,8568.00,""
1345,2024-06-04,323,85,27455.00,""
1345,2024-06-09,81,68,5508.00,""
1345,2024-06-12,257,147,37779.00,""
1345,2024-06-16,170,197,33490.00,""
1345,2024-06-24,175,58,10150.00,""
1345,2024-07-09,218,78,17004.00,""
1345,2024-07-11,135,194,26190.00,""
1345,2024-07-16,88,152,13376.00,""
1345,2024-07-29,278,183,50874.00,""
1345,2024-08-03,317,201,63717.00,""
1345,2024-08-06,80,51,4080.00,""
1345,2024-08-07,237,140,33180.00,""
1345,2024-08-13,348,145,50460.00,""
1345,2024-08-17,114,224,25536.00,""
1345,2024-08-18,247,51,12597.00,""
