id_interne_plant,date,etat,note
1482,2024-05-15,O,""
1482,2024-05-20,O,""
1482,2024-05-21,O,""
1482,2024-05-23,O,""
1482,2024-05-30,X,""
1482,2024-05-31,O,""
1482,2024-06-15,O,""
1482,2024-06-16,O,""
1482,2024-06-19,B,""
1482,2024-06-21,X,""
1482,2024-06-29,B,""
1482,2024-07-02,O,""
1482,2024-07-07,O,""
1482,2024-07-09,B,""
1482,2024-07-10,O,""
1482,2024-07-11,O,""
1482,2024-07-18,O,""
1482,2024-07-19,B,""
1482,2024-08-02,O,""
1482,2024-08-03,O,""
1482,2024-08-04,O,""
1482,2024-08-06,O,""
1482,2024-08-10,O,""
1482,2024-08-14,N,""
1482,2024-08-18,O,""
1482,2024-08-20,O,""
1482,2024-08-28,O,""
1699,2024-05-10,C,""
1699,2024-05-15,O,""
1699,2024-05-16,O,""
1699,2024-05-20,X,""
1699,2024-05-22,B,""
1699,2024-05-23,O,""
1699,2024-05-24,O,""
1699,2024-05-26,O,""
1699,2024-05-28,O,""
1699,2024-06-01,B,""
1699,2024-06-03,O,""
1699,2024-06-10,O,""
1699,2024-06-12,C,""
1699,2024-06-16,O,""
1699,2024-06-19,O,""
1699,2024-06-20,O,""
1699,2024-06-25,O,""
1699,2024-06-29,O,""
1699,2024-07-03,O,""
1699,2024-07-04,O,""
1699,2024-07-21,O,""
1699,2024-07-22,O,""
1699,2024-07-27,O,""
1699,2024-07-29,O,""
1699,2024-08-02,O,""
1699,2024-08-04,O,""
1699,2024-08-10,O,""
1699,2024-08-11,C,""
1699,2024-08-12,B,""
1699,2024-08-13,O,""
1699,2024-08-14,O,""
1699,2024-08-15,O,""
1699,2024-08-19,O,""
1699,2024-08-30,X,""
1699,2024-08-31,O,""
1699,2024-09-01,X,""
1307,2024-05-10,O,""
1307,2024-05-14,O,""
1307,2024-05-15,O,""
1307,2024-05-18,O,""
1307,2024-05-24,O,""
1307,2024-05-25,X,""
1307,2024-06-01,C,""
1307,2024-06-08,O,""
1307,2024-06-13,O,""
1307,2024-06-16,X,""
1307,2024-06-19,O,""
1307,2024-06-23,B,""
1307,2024-06-24,O,""
1307,2024-06-25,O,""
1307,2024-06-27,O,""
1307,2024-07-03,O,""
1307,2024-07-09,D,""
1307,2024-07-14,O,""
1307,2024-07-19,O,""
1307,2024-07-23,O,""
1307,2024-07-24,O,""
1307,2024-07-28,O,""
1307,2024-07-30,O,""
1780,2024-05-18,C,""
1780,2024-05-28,O,""
1780,2024-06-01,C,""
1780,2024-06-02,O,""
1780,2024-06-04,O,""
1780,2024-06-13,O,""
1780,2024-06-14,O,""
1780,2024-06-17,O,""
1780,2024-06-25,O,""
1780,2024-06-30,O,""
1780,2024-07-01,O,""
1780,2024-07-07,X,""
1780,2024-07-09,O,""
1780,2024-07-11,O,""
1780,2024-07-12,O,""
1345,2024-05-11,C,""
1345,2024-05-17,O,""
