id_interne_placette,date,type_obstruction,hauteur,taux,incertitude
9,2024-05-12,F,1,16.00,0
9,2024-05-12,C,1,28.00,0
9,2024-05-12,T,1,50.00,0
9,2024-05-12,F,2,16.00,0
9,2024-05-12,C,2,23.00,0
9,2024-05-12,T,2,73.00,0
9,2024-05-07,F,1,35.00,0
9,2024-05-07,C,1,28.00,0
9,2024-05-07,T,1,95.00,0
9,2024-05-07,F,2,36.00,0
9,2024-05-07,C,2,34.00,0
9,2024-05-07,T,2,79.00,0
10,2024-05-08,F,1,39.00,0
10,2024-05-08,C,1,25.00,0
10,2024-05-08,T,1,99.00,0
10,2024-05-08,F,2,30.00,0
10,2024-05-08,C,2,27.00,0
10,2024-05-08,T,2,58.00,0
10,2024-05-07,F,1,21.00,0
10,2024-05-07,C,1,27.00,0
10,2024-05-07,T,1,59.00,0
10,2024-05-07,F,2,11.00,0
10,2024-05-07,C,2,31.00,0
10,2024-05-07,T,2,96.00,0
11,2024-05-16,F,1,29.00,0
11,2024-05-16,C,1,36.00,0
11,2024-05-16,T,1,87.00,0
11,2024-05-16,F,2,18.00,0
11,2024-05-16,C,2,36.00,0
11,2024-05-16,T,2,84.00,0
11,2024-05-24,F,1,29.00,0
11,2024-05-24,C,1,32.00,0
11,2024-05-24,T,1,98.00,0
11,2024-05-24,F,2,28.00,0
11,2024-05-24,C,2,15.00,0
11,2024-05-24,T,2,90.00,0
12,2024-05-16,F,1,29.00,0
12,2024-05-16,C,1,36.00,0
12,2024-05-16,T,1,87.00,0
12,2024-05-16,F,2,18.00,0
12,2024-05-16,C,2,36.00,0
12,2024-05-16,T,2,84.00,0
12,2024-05-24,F,1,29.00,0
12,2024-05-24,C,1,32.00,0
12,2024-05-24,T,1,98.00,0
12,2024-05-24,F,2,28.00,0
12,2024-05-24,C,2,15.00,0
12,2024-05-24,T,2,90.00,0
13,2024-05-02,F,1,26.00,0
13,2024-05-02,C,1,11.00,0
13,2024-05-02,T,1,57.00,0
13,2024-05-02,F,2,22.00,0
13,2024-05-02,C,2,33.00,0
13,2024-05-02,T,2,92.00,0
13,2024-05-07,F,1,36.00,0
13,2024-05-07,C,1,17.00,0
13,2024-05-07,T,1,87.00,0
13,2024-05-07,F,2,25.00,0
13,2024-05-07,C,2,16.00,0
13,2024-05-07,T,2,82.00,0
14,2024-05-12,F,1,16.00,0
14,2024-05-12,C,1,28.00,0
14,2024-05-12,T,1,50.00,0
14,2024-05-12,F,2,16.00,0
14,2024-05-12,C,2,23.00,0
14,2024-05-12,T,2,73.00,0
14,2024-05-07,F,1,35.00,0
14,2024-05-07,C,1,28.00,0
14,2024-05-07,T,1,95.00,0
14,2024-05-07,F,2,36.00,0
14,2024-05-07,C,2,34.00,0
14,2024-05-07,T,2,79.00,0
15,2024-05-08,F,1,39.00,0
15,2024-05-08,C,1,25.00,0
15,2024-05-08,T,1,99.00,0
15,2024-05-08,F,2,30.00,0
15,2024-05-08,C,2,27.00,0
15,2024-05-08,T,2,58.00,0
15,2024-05-07,F,1,21.00,0
15,2024-05-07,C,1,27.00,0
15,2024-05-07,T,1,59.00,0
15,2024-05-07,F,2,11.00,0
15,2024-05-07,C,2,31.00,0
15,2024-05-07,T,2,96.00,0
16,2024-05-02,F,1,26.00,0
16,2024-05-02,C,1,11.00,0
16,2024-05-02,T,1,57.00,0
16,2024-05-02,F,2,22.00,0
16,2024-05-02,C,2,33.00,0
16,2024-05-02,T,2,92.00,0
16,2024-05-07,F,1,36.00,0
16,2024-05-07,C,1,17.00,0
16,2024-05-07,T,1,87.00,0
16,2024-05-07,F,2,25.00,0
16,2024-05-07,C,2,16.00,0
16,2024-05-07,T,2,82.00,0
