id_interne_zone,date,temp_min,temp_max,temp_moyenne,variation,note
1,2024-05-01,-4.00,15.00,5.50,19.00,Observation meteo du 2024-05-01 (printemps)
2,2024-05-01,-1.00,13.00,6.00,14.00,Observation meteo du 2024-05-01 (printemps)
1,2024-05-02,0.00,12.00,6.00,12.00,Observation meteo du 2024-05-02 (printemps)
2,2024-05-02,-1.00,15.00,7.00,16.00,Observation meteo du 2024-05-02 (printemps)
1,2024-05-03,-2.00,10.00,4.00,12.00,Observation meteo du 2024-05-03 (printemps)
2,2024-05-03,-2.00,14.00,6.00,16.00,Observation meteo du 2024-05-03 (printemps)
1,2024-05-04,-5.00,12.00,3.50,17.00,Observation meteo du 2024-05-04 (printemps)
2,2024-05-04,0.00,13.00,6.50,13.00,Observation meteo du 2024-05-04 (printemps)
1,2024-05-05,-2.00,14.00,6.00,16.00,Observation meteo du 2024-05-05 (printemps)
2,2024-05-05,-5.00,13.00,4.00,18.00,Observation meteo du 2024-05-05 (printemps)
1,2024-05-06,-3.00,14.00,5.50,17.00,Observation meteo du 2024-05-06 (printemps)
2,2024-05-06,-5.00,12.00,3.50,17.00,Observation meteo du 2024-05-06 (printemps)
1,2024-05-07,-5.00,12.00,3.50,17.00,Observation meteo du 2024-05-07 (printemps)
2,2024-05-07,-1.00,12.00,5.50,13.00,Observation meteo du 2024-05-07 (printemps)
1,2024-05-08,-5.00,12.00,3.50,17.00,Observation meteo du 2024-05-08 (printemps)
2,2024-05-08,-5.00,15.00,5.00,20.00,Observation meteo du 2024-05-08 (printemps)
1,2024-05-09,-4.00,13.00,4.50,17.00,Observation meteo du 2024-05-09 (printemps)
2,2024-05-09,-2.00,12.00,5.00,14.00,Observation meteo du 2024-05-09 (printemps)
1,2024-05-10,-1.00,10.00,4.50,11.00,Observation meteo du 2024-05-10 (printemps)
2,2024-05-10,-5.00,11.00,3.00,16.00,Observation meteo du 2024-05-10 (printemps)
1,2024-05-11,0.00,11.00,5.50,11.00,Observation meteo du 2024-05-11 (printemps)
2,2024-05-11,-1.00,10.00,4.50,11.00,Observation meteo du 2024-05-11 (printemps)
1,2024-05-12,-2.00,12.00,5.00,14.00,Observation meteo du 2024-05-12 (printemps)
2,2024-05-12,-1.00,12.00,5.50,13.00,Observation meteo du 2024-05-12 (printemps)
1,2024-05-13,-5.00,13.00,4.00,18.00,Observation meteo du 2024-05-13 (printemps)
2,2024-05-13,-3.00,10.00,3.50,13.00,Observation meteo du 2024-05-13 (printemps)
1,2024-05-14,-2.00,13.00,5.50,15.00,Observation meteo du 2024-05-14 (printemps)
