plantid,dateobservation,longueur,largeur,note
MMA1002,2017-05-15,105.61,95.58,Condition normale pour la saison.
MMA1002,2017-06-15,67.76,73.87,Condition normale pour la saison.
MMA1002,2017-07-15,80.63,58.94,Légère variabilité observée.
MMA1002,2017-08-15,155.64,168.42,Condition normale pour la saison.
MMA1002,2017-09-15,109.12,61.01,Condition normale pour la saison.
MMA1002,2017-10-15,177.82,66.20,Rien à signaler.
MMA1004,2017-05-15,73.96,148.49,Condition normale pour la saison.
MMA1004,2017-06-15,52.27,109.81,Condition normale pour la saison.
MMA1004,2017-07-15,196.27,170.35,Condition normale pour la saison.
MMA1004,2017-08-15,77.69,111.47,Condition normale pour la saison.
MMA1004,2017-09-15,199.91,73.30,Condition normale pour la saison.
MMA1004,2017-10-15,121.33,64.79,Rien à signaler.
MMA1006,2017-05-15,111.05,91.05,Rien à signaler.
MMA1006,2017-06-15,53.72,138.42,Rien à signaler.
MMA1006,2017-07-15,65.69,86.00,Rien à signaler.
MMA1006,2017-08-15,104.61,192.84,Condition normale pour la saison.
MMA1006,2017-09-15,144.45,150.22,Condition normale pour la saison.
MMA1006,2017-10-15,148.19,84.73,Légère variabilité observée.
MMA1008,2017-05-15,142.38,178.66,Condition normale pour la saison.
MMA1008,2017-06-15,177.81,55.84,Condition normale pour la saison.
MMA1008,2017-07-15,59.63,144.14,Légère variabilité observée.
MMA1008,2017-08-15,113.93,156.13,Condition normale pour la saison.
MMA1008,2017-09-15,116.99,168.29,Légère variabilité observée.
MMA1008,2017-10-15,130.88,122.56,Condition normale pour la saison.
MMA1010,2017-05-15,124.29,80.69,Rien à signaler.
MMA1010,2017-06-15,80.48,52.68,Légère variabilité observée.
MMA1010,2017-07-15,133.39,189.07,Rien à signaler.
MMA1010,2017-08-15,53.45,171.34,Condition normale pour la saison.
MMA1010,2017-09-15,75.49,163.06,Légère variabilité observée.
MMA1010,2017-10-15,85.04,189.11,Condition normale pour la saison.
MMA1012,2017-05-15,89.31,60.78,Légère variabilité observée.
MMA1012,2017-06-15,136.52,159.98,Condition normale pour la saison.
MMA1012,2017-07-15,98.25,86.74,Rien à signaler.
MMA1012,2017-08-15,115.29,137.02,Légère variabilité observée.
MMA1012,2017-09-15,130.25,189.84,Condition normale pour la saison.
MMA1012,2017-10-15,128.20,117.70,Rien à signaler.
MMA1014,2017-05-15,189.55,62.10,Rien à signaler.
MMA1014,2017-06-15,60.16,163.46,Condition normale pour la saison.
MMA1014,2017-07-15,52.46,65.89,Légère variabilité observée.
MMA1014,2017-08-15,162.87,132.10,Condition normale pour la saison.
MMA1014,2017-09-15,137.54,108.37,Rien à signaler.
MMA1014,2017-10-15,76.80,183.77,Condition normale pour la saison.
MMA1016,2017-05-15,96.95,94.27,Condition normale pour la saison.
MMA1016,2017-06-15,145.88,132.94,Légère variabilité observée.
MMA1016,2017-07-15,120.34,83.96,Légère variabilité observée.
MMA1016,2017-08-15,171.98,189.84,Condition normale pour la saison.
MMA1016,2017-09-15,124.02,92.88,Rien à signaler.
MMA1016,2017-10-15,56.99,133.59,Légère variabilité observée.
MMA1018,2017-05-15,62.56,193.75,Condition normale pour la saison.
