plantid,dateobservation,etat,note
MMA1001,2017-07-15,O,Rien à signaler.
MMA1002,2017-07-15,O,Légère variabilité observée.
MMA1003,2017-07-15,O,Rien à signaler.
MMA1004,2017-07-15,O,Condition normale pour la saison.
MMA1005,2017-07-15,O,Condition normale pour la saison.
MMA1006,2017-07-15,O,Légère variabilité observée.
MMA1007,2017-07-15,O,Condition normale pour la saison.
MMA1008,2017-07-15,O,Condition normale pour la saison.
MMA1009,2017-07-15,O,Condition normale pour la saison.
MMA1010,2017-07-15,O,Condition normale pour la saison.
MMA1011,2017-07-15,O,Légère variabilité observée.
MMA1012,2017-07-15,O,Rien à signaler.
MMA1013,2017-07-15,O,Légère variabilité observée.
MMA1014,2017-07-15,O,Légère variabilité observée.
MMA1015,2017-07-15,O,Légère variabilité observée.
MMA1016,2017-07-15,O,Légère variabilité observée.
MMA1017,2017-07-15,O,Légère variabilité observée.
MMA1018,2017-07-15,O,Condition normale pour la saison.
MMA1019,2017-07-15,O,Rien à signaler.
MMA1020,2017-07-15,O,Condition normale pour la saison.
MMA1021,2017-07-15,O,Légère variabilité observée.
MMA1022,2017-07-15,O,Condition normale pour la saison.
MMA1023,2017-07-15,O,Rien à signaler.
MMA1024,2017-07-15,O,Légère variabilité observée.
MMA1025,2017-07-15,O,Rien à signaler.
MMA1026,2017-07-15,O,Légère variabilité observée.
MMA1027,2017-07-15,O,Condition normale pour la saison.
MMA1028,2017-07-15,O,Rien à signaler.
MMA1029,2017-07-15,O,Légère variabilité observée.
MMA1030,2017-07-15,O,Condition normale pour la saison.
MMA1031,2017-07-15,O,Condition normale pour la saison.
MMA1032,2017-07-15,O,Condition normale pour la saison.
MMA1033,2017-07-15,O,Rien à signaler.
MMA1034,2017-07-15,O,Légère variabilité observée.
MMA1035,2017-07-15,O,Légère variabilité observée.
MMA1036,2017-07-15,O,Légère variabilité observée.
MMA1037,2017-07-15,O,Rien à signaler.
MMA1038,2017-07-15,O,Condition normale pour la saison.
MMA1039,2017-07-15,O,Légère variabilité observée.
MMA1040,2017-07-15,O,Condition normale pour la saison.
MMA1041,2017-07-15,O,Rien à signaler.
MMA1042,2017-07-15,O,Condition normale pour la saison.
MMA1043,2017-07-15,O,Rien à signaler.
MMA1044,2017-07-15,O,Rien à signaler.
MMA1045,2017-07-15,O,Condition normale pour la saison.
MMA1046,2017-07-15,O,Condition normale pour la saison.
MMA1047,2017-07-15,O,Condition normale pour la saison.
MMA1048,2017-07-15,O,Rien à signaler.
MMA1049,2017-07-15,O,Condition normale pour la saison.
