plantid,dateobservation,typefloraison,note
MMA1003,2017-06-15,FR,Condition normale pour la saison.
MMA1006,2017-06-15,NA,Condition normale pour la saison.
MMA1009,2017-06-15,FR,Légère variabilité observée.
MMA1012,2017-06-15,FL,Condition normale pour la saison.
MMA1015,2017-06-15,FL,Légère variabilité observée.
MMA1018,2017-06-15,FL,Condition normale pour la saison.
MMA1021,2017-06-15,FL,Rien à signaler.
MMA1024,2017-06-15,FL,Légère variabilité observée.
MMA1027,2017-06-15,FR,Condition normale pour la saison.
MMA1030,2017-06-15,FL,Rien à signaler.
MMA1033,2017-06-15,FL,Condition normale pour la saison.
MMA1036,2017-06-15,FR,Condition normale pour la saison.
MMA1039,2017-06-15,FL,Rien à signaler.
MMA1042,2017-06-15,FL,Condition normale pour la saison.
MMA1045,2017-06-15,FR,Condition normale pour la saison.
MMA1048,2017-06-15,FL,Rien à signaler.
MMA1051,2017-06-15,FR,Condition normale pour la saison.
MMA1054,2017-06-15,FL,Condition normale pour la saison.
MMA1057,2017-06-15,FR,Condition normale pour la saison.
MMA1060,2017-06-15,NA,Rien à signaler.
MMA1063,2017-06-15,FL,Rien à signaler.
MMA1066,2017-06-15,FL,Condition normale pour la saison.
MMA1069,2017-06-15,FR,Légère variabilité observée.
MMA1072,2017-06-15,FR,Condition normale pour la saison.
MMA1075,2017-06-15,FL,Condition normale pour la saison.
MMA1078,2017-06-15,FL,Condition normale pour la saison.
MMA1081,2017-06-15,FR,Légère variabilité observée.
MMA1084,2017-06-15,FR,Rien à signaler.
MMA1087,2017-06-15,FR,Condition normale pour la saison.
MMA1090,2017-06-15,FR,Condition normale pour la saison.
MMA1093,2017-06-15,FL,Rien à signaler.
MMA1096,2017-06-15,FL,Rien à signaler.
MMA1099,2017-06-15,NA,Condition normale pour la saison.
MMA2002,2017-06-15,FL,Condition normale pour la saison.
MMA2005,2017-06-15,NA,Légère variabilité observée.
MMA2008,2017-06-15,FR,Rien à signaler.
MMA2011,2017-06-15,FL,Condition normale pour la saison.
MMA2014,2017-06-15,FR,Légère variabilité observée.
MMA2017,2017-06-15,FL,Condition normale pour la saison.
MMA2020,2017-06-15,FR,Condition normale pour la saison.
MMA2023,2017-06-15,FR,Condition normale pour la saison.
MMA2026,2017-06-15,FL,Condition normale pour la saison.
MMA2029,2017-06-15,FR,Condition normale pour la saison.
MMA2032,2017-06-15,FR,Légère variabilité observée.
MMA2035,2017-06-15,FL,Condition normale pour la saison.
MMA2038,2017-06-15,FL,Rien à signaler.
MMA2041,2017-06-15,FR,Condition normale pour la saison.
MMA2044,2017-06-15,FR,Rien à signaler.
MMA2047,2017-06-15,FL,Condition normale pour la saison.
MMA2050,2017-06-15,FR,Condition normale pour la saison.
MMA2053,2017-06-15,NA,Légère variabilité observée.
MMA2056,2017-06-15,FL,Condition normale pour la saison.
MMA2059,2017-06-15,FR,Rien à signaler.
MMA2062,2017-06-15,FL,Condition normale pour la saison.
MMA2065,2017-06-15,FR,Rien à signaler.
MMA2068,2017-06-15,NA,Légère variabilité observée.
MMA2071,2017-06-15,FR,Condition normale pour la saison.
MMA2074,2017-06-15,FL,Rien à signaler.
MMA2077,2017-06-15,FL,Condition normale pour la saison.
MMA2080,2017-06-15,FL,Condition normale pour la saison.
MMA2083,2017-06-15,FR,Légère variabilité observée.
MMA2086,2017-06-15,FL,Condition normale pour la saison.
MMA2089,2017-06-15,FL,Condition normale pour la saison.
MMA2092,2017-06-15,FR,Légère variabilité observée.
MMA2095,2017-06-15,FL,Condition normale pour la saison.
MMA2098,2017-06-15,FR,Rien à signaler.
MMA3001,2017-06-15,FL,Rien à signaler.
MMA3004,2017-06-15,NA,Condition normale pour la saison.
MMA3007,2017-06-15,FL,Rien à signaler.
MMA3010,2017-06-15,FR,Condition normale pour la saison.
MMA3013,2017-06-15,FR,Condition normale pour la saison.
MMA3016,2017-06-15,FR,Légère variabilité observée.
MMA3019,2017-06-15,FR,Légère variabilité observée.
MMA3022,2017-06-15,FL,Légère variabilité observée.
MMA3025,2017-06-15,FL,Condition normale pour la saison.
MMA3028,2017-06-15,NA,Rien à signaler.
MMA3031,2017-06-15,FL,Légère variabilité observée.
MMA3034,2017-06-15,FR,Légère variabilité observée.
MMA3037,2017-06-15,NA,Légère variabilité observée.
MMA3040,2017-06-15,FR,Condition normale pour la saison.
MMA3043,2017-06-15,FL,Condition normale pour la saison.
MMA3046,2017-06-15,FL,Légère variabilité observée.
MMA3049,2017-06-15,FL,Légère variabilité observée.
MMA3052,2017-06-15,FR,Rien à signaler.
MMA3055,2017-06-15,NA,Condition normale pour la saison.
MMA3058,2017-06-15,FL,Légère variabilité observée.
MMA3061,2017-06-15,FL,Condition normale pour la saison.
MMA3064,2017-06-15,FR,Condition normale pour la saison.
MMA3067,2017-06-15,FL,Condition normale pour la saison.
MMA3070,2017-06-15,FR,Rien à signaler.
MMA3073,2017-06-15,FR,Rien à signaler.
MMA3076,2017-06-15,FL,Légère variabilité observée.
MMA3079,2017-06-15,FR,Condition normale pour la saison.
MMA3082,2017-06-15,FR,Condition normale pour la saison.
MMA3085,2017-06-15,FL,Légère variabilité observée.
MMA3088,2017-06-15,FR,Rien à signaler.
MMA3091,2017-06-15,FL,Rien à signaler.
MMA3094,2017-06-15,FR,Condition normale pour la saison.
MMA3097,2017-06-15,NA,Légère variabilité observée.
MMA3100,2017-06-15,FL,Condition normale pour la saison.
MMA4003,2017-06-15,NA,Rien à signaler.
MMA4006,2017-06-15,FL,Condition normale pour la saison.
MMA4009,2017-06-15,FR,Condition normale pour la saison.
MMA4012,2017-06-15,NA,Légère variabilité observée.
MMA4015,2017-06-15,FR,Condition normale pour la saison.
MMA4018,2017-06-15,NA,Rien à signaler.
MMA4021,2017-06-15,FL,Rien à signaler.
MMA4024,2017-06-15,FL,Condition normale pour la saison.
MMA4027,2017-06-15,FR,Rien à signaler.
MMA4030,2017-06-15,FL,Condition normale pour la saison.
MMA4033,2017-06-15,FL,Rien à signaler.
MMA4036,2017-06-15,FR,Condition normale pour la saison.
MMA4039,2017-06-15,FL,Condition normale pour la saison.
MMA4042,2017-06-15,FR,Condition normale pour la saison.
MMA4045,2017-06-15,FL,Condition normale pour la saison.
MMA4048,2017-06-15,FR,Condition normale pour la saison.
MMA4051,2017-06-15,FR,Condition normale pour la saison.
MMA4054,2017-06-15,FR,Légère variabilité observée.
MMA4057,2017-06-15,FR,Condition normale pour la saison.
MMA4060,2017-06-15,FR,Condition normale pour la saison.
MMA4063,2017-06-15,FL,Rien à signaler.
MMA4066,2017-06-15,FL,Condition normale pour la saison.
MMA4069,2017-06-15,FL,Condition normale pour la saison.
MMA4072,2017-06-15,NA,Condition normale pour la saison.
MMA4075,2017-06-15,FR,Légère variabilité observée.
MMA4078,2017-06-15,FR,Condition normale pour la saison.
MMA4081,2017-06-15,FL,Rien à signaler.
MMA4084,2017-06-15,FL,Rien à signaler.
MMA4087,2017-06-15,FR,Condition normale pour la saison.
MMA4090,2017-06-15,FR,Légère variabilité observée.
MMA4093,2017-06-15,FL,Condition normale pour la saison.
MMA4096,2017-06-15,FL,Condition normale pour la saison.
MMA4099,2017-06-15,FL,Légère variabilité observée.
MMB1002,2017-06-15,NA,Légère variabilité observée.
MMB1005,2017-06-15,FL,Rien à signaler.
MMB1008,2017-06-15,NA,Rien à signaler.
MMB1011,2017-06-15,FL,Rien à signaler.
MMB1014,2017-06-15,FL,Rien à signaler.
MMB1017,2017-06-15,FL,Condition normale pour la saison.
MMB1020,2017-06-15,FR,Condition normale pour la saison.
MMB1023,2017-06-15,FL,Légère variabilité observée.
MMB1026,2017-06-15,FL,Légère variabilité observée.
MMB1029,2017-06-15,FR,Condition normale pour la saison.
MMB1032,2017-06-15,FR,Condition normale pour la saison.
MMB1035,2017-06-15,FL,Rien à signaler.
MMB1038,2017-06-15,FR,Condition normale pour la saison.
MMB1041,2017-06-15,FL,Condition normale pour la saison.
MMB1044,2017-06-15,FL,Rien à signaler.
MMB1047,2017-06-15,FR,Condition normale pour la saison.
MMB1050,2017-06-15,FL,Condition normale pour la saison.
MMB1053,2017-06-15,FL,Condition normale pour la saison.
MMB1056,2017-06-15,FR,Rien à signaler.
MMB1059,2017-06-15,FR,Légère variabilité observée.
MMB1062,2017-06-15,FR,Condition normale pour la saison.
MMB1065,2017-06-15,FR,Condition normale pour la saison.
MMB1068,2017-06-15,FL,Légère variabilité observée.
MMB1071,2017-06-15,FR,Condition normale pour la saison.
MMB1074,2017-06-15,FL,Condition normale pour la saison.
MMB1077,2017-06-15,NA,Condition normale pour la saison.
MMB1080,2017-06-15,FR,Condition normale pour la saison.
MMB1083,2017-06-15,FL,Condition normale pour la saison.
MMB1086,2017-06-15,FR,Condition normale pour la saison.
MMB1089,2017-06-15,FL,Légère variabilité observée.
MMB1092,2017-06-15,FL,Condition normale pour la saison.
MMB1095,2017-06-15,NA,Rien à signaler.
MMB1098,2017-06-15,FR,Condition normale pour la saison.
MMB2001,2017-06-15,FR,Condition normale pour la saison.
MMB2004,2017-06-15,FL,Légère variabilité observée.
MMB2007,2017-06-15,FR,Condition normale pour la saison.
MMB2010,2017-06-15,FL,Légère variabilité observée.
MMB2013,2017-06-15,FR,Condition normale pour la saison.
MMB2016,2017-06-15,FL,Condition normale pour la saison.
MMB2019,2017-06-15,FL,Condition normale pour la saison.
MMB2022,2017-06-15,FL,Légère variabilité observée.
MMB2025,2017-06-15,FL,Condition normale pour la saison.
MMB2028,2017-06-15,FL,Condition normale pour la saison.
MMB2031,2017-06-15,FL,Légère variabilité observée.
MMB2034,2017-06-15,FL,Condition normale pour la saison.
MMB2037,2017-06-15,FL,Condition normale pour la saison.
MMB2040,2017-06-15,FL,Condition normale pour la saison.
MMB2043,2017-06-15,FR,Légère variabilité observée.
MMB2046,2017-06-15,FR,Condition normale pour la saison.
MMB2049,2017-06-15,FL,Condition normale pour la saison.
MMB2052,2017-06-15,FR,Rien à signaler.
MMB2055,2017-06-15,FL,Rien à signaler.
MMB2058,2017-06-15,FL,Condition normale pour la saison.
MMB2061,2017-06-15,FL,Légère variabilité observée.
MMB2064,2017-06-15,FR,Condition normale pour la saison.
MMB2067,2017-06-15,FL,Légère variabilité observée.
MMB2070,2017-06-15,NA,Rien à signaler.
MMB2073,2017-06-15,FL,Rien à signaler.
MMB2076,2017-06-15,FL,Rien à signaler.
MMB2079,2017-06-15,FR,Légère variabilité observée.
MMB2082,2017-06-15,FR,Condition normale pour la saison.
MMB2085,2017-06-15,NA,Rien à signaler.
MMB2088,2017-06-15,FL,Rien à signaler.
MMB2091,2017-06-15,FR,Condition normale pour la saison.
MMB2094,2017-06-15,FR,Légère variabilité observée.
MMB2097,2017-06-15,FR,Condition normale pour la saison.
MMB2100,2017-06-15,FL,Rien à signaler.
MMB3003,2017-06-15,FL,Rien à signaler.
MMB3006,2017-06-15,FL,Rien à signaler.
MMB3009,2017-06-15,FR,Condition normale pour la saison.
MMB3012,2017-06-15,FR,Condition normale pour la saison.
MMB3015,2017-06-15,FR,Légère variabilité observée.
MMB3018,2017-06-15,FL,Légère variabilité observée.
MMB3021,2017-06-15,FL,Condition normale pour la saison.
MMB3024,2017-06-15,FR,Légère variabilité observée.
MMB3027,2017-06-15,FL,Rien à signaler.
MMB3030,2017-06-15,FL,Condition normale pour la saison.
MMB3033,2017-06-15,FR,Rien à signaler.
MMB3036,2017-06-15,FL,Condition normale pour la saison.
MMB3039,2017-06-15,FL,Condition normale pour la saison.
MMB3042,2017-06-15,FR,Condition normale pour la saison.
MMB3045,2017-06-15,FR,Condition normale pour la saison.
MMB3048,2017-06-15,FL,Condition normale pour la saison.
MMB3051,2017-06-15,FR,Rien à signaler.
MMB3054,2017-06-15,FR,Légère variabilité observée.
MMB3057,2017-06-15,FR,Légère variabilité observée.
MMB3060,2017-06-15,FR,Condition normale pour la saison.
MMB3063,2017-06-15,FR,Condition normale pour la saison.
MMB3066,2017-06-15,FL,Condition normale pour la saison.
MMB3069,2017-06-15,FL,Rien à signaler.
MMB3072,2017-06-15,FR,Rien à signaler.
MMB3075,2017-06-15,FR,Rien à signaler.
MMB3078,2017-06-15,FR,Condition normale pour la saison.
MMB3081,2017-06-15,FR,Condition normale pour la saison.
MMB3084,2017-06-15,FR,Condition normale pour la saison.
MMB3087,2017-06-15,FL,Légère variabilité observée.
MMB3090,2017-06-15,FR,Rien à signaler.
MMB3093,2017-06-15,FL,Légère variabilité observée.
MMB3096,2017-06-15,FL,Condition normale pour la saison.
MMB3099,2017-06-15,FL,Légère variabilité observée.
MMB4002,2017-06-15,FR,Rien à signaler.
