zoneid,siteid,dateobservation,humiditemin,humiditemax,note
Z01,S01,2017-05-01,52.20,77.64,Journée représentative.
Z01,S01,2017-05-02,30.51,73.98,Variations mineures.
Z01,S01,2017-05-03,41.03,81.52,Journée représentative.
Z01,S01,2017-05-04,50.34,73.37,Conditions stables.
Z01,S01,2017-05-05,58.66,78.93,Variations mineures.
Z01,S01,2017-05-06,38.82,79.17,Variations mineures.
Z01,S01,2017-05-07,43.22,89.02,Variations mineures.
Z01,S01,2017-05-08,53.94,78.19,Variations mineures.
Z01,S01,2017-05-09,58.93,86.61,Variations mineures.
Z01,S01,2017-05-10,37.02,79.65,Journée représentative.
Z01,S01,2017-05-11,48.39,88.31,Journée représentative.
Z01,S01,2017-05-12,38.08,70.95,Variations mineures.
Z01,S01,2017-05-13,56.25,79.57,Variations mineures.
Z01,S01,2017-05-14,59.19,70.31,Variations mineures.
Z01,S01,2017-05-15,30.62,75.13,Variations mineures.
Z01,S01,2017-05-16,44.29,82.60,Conditions stables.
Z01,S01,2017-05-17,57.14,79.77,Variations mineures.
Z01,S01,2017-05-18,35.14,72.72,Journée représentative.
Z01,S01,2017-05-19,46.07,89.71,Variations mineures.
Z01,S01,2017-05-20,35.55,83.46,Journée représentative.
Z01,S01,2017-05-21,45.39,73.72,Variations mineures.
Z01,S01,2017-05-22,49.47,89.02,Journée représentative.
Z01,S01,2017-05-23,49.91,79.41,Variations mineures.
Z01,S01,2017-05-24,36.38,73.67,Conditions stables.
Z01,S01,2017-05-25,47.96,75.06,Journée représentative.
Z01,S01,2017-05-26,32.51,72.73,Journée représentative.
Z01,S01,2017-05-27,30.68,77.28,Journée représentative.
Z01,S01,2017-05-28,30.38,76.33,Conditions stables.
Z01,S01,2017-05-29,35.55,87.60,Variations mineures.
Z01,S01,2017-05-30,57.58,81.35,Journée représentative.
Z01,S01,2017-05-31,56.89,81.29,Conditions stables.
Z01,S01,2017-06-01,45.81,81.64,Variations mineures.
Z01,S01,2017-06-02,32.62,81.15,Variations mineures.
Z01,S01,2017-06-03,53.66,72.10,Conditions stables.
Z01,S01,2017-06-04,34.61,70.33,Journée représentative.
Z01,S01,2017-06-05,59.55,80.75,Variations mineures.
Z01,S01,2017-06-06,51.52,88.84,Journée représentative.
Z01,S01,2017-06-07,44.50,73.42,Variations mineures.
Z01,S01,2017-06-08,57.98,87.48,Conditions stables.
Z01,S01,2017-06-09,46.22,89.41,Conditions stables.
Z01,S01,2017-06-10,51.04,73.31,Variations mineures.
Z01,S01,2017-06-11,52.50,84.68,Variations mineures.
Z01,S01,2017-06-12,58.74,88.30,Journée représentative.
Z01,S01,2017-06-13,39.22,83.40,Journée représentative.
Z01,S01,2017-06-14,44.22,72.80,Conditions stables.
Z01,S01,2017-06-15,58.62,76.95,Journée représentative.
Z01,S01,2017-06-16,56.57,77.86,Variations mineures.
Z01,S01,2017-06-17,37.65,89.35,Variations mineures.
Z01,S01,2017-06-18,54.26,88.94,Variations mineures.
Z01,S01,2017-06-19,44.10,83.51,Conditions stables.
Z01,S01,2017-06-20,39.03,77.83,Variations mineures.
Z01,S01,2017-06-21,57.73,71.57,Variations mineures.
Z01,S01,2017-06-22,39.75,71.51,Conditions stables.
Z01,S01,2017-06-23,51.43,82.08,Variations mineures.
Z01,S01,2017-06-24,50.89,81.29,Variations mineures.
Z01,S01,2017-06-25,56.24,89.49,Variations mineures.
Z01,S01,2017-06-26,40.73,76.15,Variations mineures.
Z01,S01,2017-06-27,55.56,71.75,Conditions stables.
Z01,S01,2017-06-28,41.64,70.84,Variations mineures.
Z01,S01,2017-06-29,33.01,79.54,Variations mineures.
Z01,S01,2017-06-30,39.07,81.85,Conditions stables.
Z01,S01,2017-07-01,37.95,76.26,Variations mineures.
Z01,S01,2017-07-02,30.17,73.84,Variations mineures.
Z01,S01,2017-07-03,45.04,77.72,Conditions stables.
Z01,S01,2017-07-04,50.16,84.38,Journée représentative.
Z01,S01,2017-07-05,39.96,70.22,Variations mineures.
Z01,S01,2017-07-06,34.78,78.77,Variations mineures.
Z01,S01,2017-07-07,40.93,81.86,Journée représentative.
Z01,S01,2017-07-08,46.78,83.11,Conditions stables.
Z01,S01,2017-07-09,55.62,85.27,Conditions stables.
Z01,S01,2017-07-10,40.49,88.75,Conditions stables.
Z01,S01,2017-07-11,33.98,74.36,Variations mineures.
Z01,S01,2017-07-12,43.84,82.80,Variations mineures.
Z01,S01,2017-07-13,47.60,72.58,Variations mineures.
Z01,S01,2017-07-14,57.33,87.30,Variations mineures.
Z01,S01,2017-07-15,34.59,78.14,Variations mineures.
Z01,S01,2017-07-16,52.26,73.48,Variations mineures.
Z01,S01,2017-07-17,39.26,82.28,Journée représentative.
Z01,S01,2017-07-18,56.87,88.81,Variations mineures.
Z01,S01,2017-07-19,42.83,89.94,Variations mineures.
Z01,S01,2017-07-20,40.01,81.50,Journée représentative.
Z01,S01,2017-07-21,39.95,75.39,Journée représentative.
Z01,S01,2017-07-22,52.30,71.81,Variations mineures.
Z01,S01,2017-07-23,48.18,73.55,Journée représentative.
Z01,S01,2017-07-24,33.94,80.02,Variations mineures.
Z01,S01,2017-07-25,55.57,78.42,Journée représentative.
Z01,S01,2017-07-26,32.68,81.98,Variations mineures.
Z01,S01,2017-07-27,47.05,81.91,Conditions stables.
Z01,S01,2017-07-28,38.08,72.03,Variations mineures.
Z01,S01,2017-07-29,31.57,86.14,Variations mineures.
Z01,S01,2017-07-30,41.31,86.01,Journée représentative.
Z01,S01,2017-07-31,57.15,77.24,Variations mineures.
Z01,S01,2017-08-01,37.96,88.47,Variations mineures.
Z01,S01,2017-08-02,39.62,73.42,Journée représentative.
Z01,S01,2017-08-03,36.66,84.43,Variations mineures.
Z01,S01,2017-08-04,39.98,74.24,Variations mineures.
Z01,S01,2017-08-05,31.58,76.65,Variations mineures.
Z01,S01,2017-08-06,35.83,78.27,Conditions stables.
Z01,S01,2017-08-07,44.27,73.93,Variations mineures.
Z01,S01,2017-08-08,46.98,74.62,Variations mineures.
Z01,S01,2017-08-09,41.58,88.96,Variations mineures.
Z01,S01,2017-08-10,41.78,75.26,Journée représentative.
Z01,S01,2017-08-11,38.16,77.42,Variations mineures.
Z01,S01,2017-08-12,53.40,87.85,Journée représentative.
Z01,S01,2017-08-13,39.00,87.42,Variations mineures.
Z01,S01,2017-08-14,42.07,81.66,Variations mineures.
Z01,S01,2017-08-15,48.05,74.46,Variations mineures.
Z01,S01,2017-08-16,34.67,74.76,Variations mineures.
Z01,S01,2017-08-17,47.32,79.49,Journée représentative.
Z01,S01,2017-08-18,41.55,89.38,Journée représentative.
Z01,S01,2017-08-19,34.94,85.18,Conditions stables.
Z01,S01,2017-08-20,35.54,81.15,Conditions stables.
Z01,S01,2017-08-21,38.53,72.26,Journée représentative.
