placetteid,zoneid,siteid,dateobservation,hauteur,tauxfeuillu,tauxconifere,note
A1,Z01,S01,2017-05-15,1,22.25,13.33,Légère densité de sous-bois.
A1,Z01,S01,2017-05-15,2,36.85,40.82,Structure homogène.
A1,Z01,S01,2017-06-15,1,23.15,30.12,Légère densité de sous-bois.
A1,Z01,S01,2017-06-15,2,49.49,31.19,Conditions typiques du secteur.
A1,Z01,S01,2017-07-15,1,15.79,22.58,Conditions typiques du secteur.
A1,Z01,S01,2017-07-15,2,45.17,38.40,Légère densité de sous-bois.
A1,Z01,S01,2017-08-15,1,14.64,45.79,Légère densité de sous-bois.
A1,Z01,S01,2017-08-15,2,18.97,24.80,Structure homogène.
A1,Z01,S01,2017-09-15,1,38.81,15.69,Légère densité de sous-bois.
A1,Z01,S01,2017-09-15,2,24.75,47.01,Légère densité de sous-bois.
A1,Z01,S01,2017-10-15,1,34.65,38.35,Structure homogène.
A1,Z01,S01,2017-10-15,2,19.17,10.53,Légère densité de sous-bois.
A2,Z01,S01,2017-05-15,1,41.17,12.74,Conditions typiques du secteur.
A2,Z01,S01,2017-05-15,2,26.32,27.56,Légère densité de sous-bois.
A2,Z01,S01,2017-06-15,1,43.81,32.95,Légère densité de sous-bois.
A2,Z01,S01,2017-06-15,2,20.77,22.70,Légère densité de sous-bois.
A2,Z01,S01,2017-07-15,1,31.19,12.71,Conditions typiques du secteur.
A2,Z01,S01,2017-07-15,2,24.10,19.41,Légère densité de sous-bois.
A2,Z01,S01,2017-08-15,1,33.40,21.01,Structure homogène.
A2,Z01,S01,2017-08-15,2,26.60,22.73,Légère densité de sous-bois.
A2,Z01,S01,2017-09-15,1,29.35,12.24,Légère densité de sous-bois.
A2,Z01,S01,2017-09-15,2,44.31,30.76,Structure homogène.
A2,Z01,S01,2017-10-15,1,43.14,49.98,Légère densité de sous-bois.
A2,Z01,S01,2017-10-15,2,10.07,15.88,Légère densité de sous-bois.
A3,Z01,S01,2017-05-15,1,46.46,15.07,Conditions typiques du secteur.
A3,Z01,S01,2017-05-15,2,11.37,12.87,Légère densité de sous-bois.
A3,Z01,S01,2017-06-15,1,31.64,19.13,Conditions typiques du secteur.
A3,Z01,S01,2017-06-15,2,17.22,26.06,Légère densité de sous-bois.
A3,Z01,S01,2017-07-15,1,29.94,35.30,Légère densité de sous-bois.
A3,Z01,S01,2017-07-15,2,49.28,21.41,Conditions typiques du secteur.
A3,Z01,S01,2017-08-15,1,16.78,47.15,Conditions typiques du secteur.
A3,Z01,S01,2017-08-15,2,40.18,24.62,Légère densité de sous-bois.
A3,Z01,S01,2017-09-15,1,12.03,16.24,Légère densité de sous-bois.
A3,Z01,S01,2017-09-15,2,32.46,22.73,Conditions typiques du secteur.
A3,Z01,S01,2017-10-15,1,17.85,30.06,Conditions typiques du secteur.
A3,Z01,S01,2017-10-15,2,27.49,22.79,Légère densité de sous-bois.
A4,Z01,S01,2017-05-15,1,48.95,11.68,Structure homogène.
A4,Z01,S01,2017-05-15,2,42.91,28.84,Conditions typiques du secteur.
A4,Z01,S01,2017-06-15,1,40.85,45.42,Conditions typiques du secteur.
A4,Z01,S01,2017-06-15,2,32.29,47.54,Légère densité de sous-bois.
A4,Z01,S01,2017-07-15,1,15.70,49.56,Conditions typiques du secteur.
A4,Z01,S01,2017-07-15,2,34.67,26.17,Légère densité de sous-bois.
A4,Z01,S01,2017-08-15,1,20.96,30.21,Structure homogène.
A4,Z01,S01,2017-08-15,2,17.63,11.44,Légère densité de sous-bois.
A4,Z01,S01,2017-09-15,1,25.80,29.35,Légère densité de sous-bois.
A4,Z01,S01,2017-09-15,2,14.66,48.91,Légère densité de sous-bois.
A4,Z01,S01,2017-10-15,1,16.61,44.36,Conditions typiques du secteur.
A4,Z01,S01,2017-10-15,2,45.46,26.71,Conditions typiques du secteur.
B1,Z02,S01,2017-05-15,1,12.33,10.64,Légère densité de sous-bois.
B1,Z02,S01,2017-05-15,2,37.35,18.94,Conditions typiques du secteur.
B1,Z02,S01,2017-06-15,1,29.08,47.80,Légère densité de sous-bois.
B1,Z02,S01,2017-06-15,2,12.87,21.07,Légère densité de sous-bois.
B1,Z02,S01,2017-07-15,1,23.63,32.48,Légère densité de sous-bois.
B1,Z02,S01,2017-07-15,2,39.71,35.66,Légère densité de sous-bois.
B1,Z02,S01,2017-08-15,1,39.65,26.51,Conditions typiques du secteur.
B1,Z02,S01,2017-08-15,2,44.00,29.37,Conditions typiques du secteur.
