zoneid,siteid,dateobservation,typeprecipitation,precipitationtotale,note
Z01,S01,2017-05-01,P,8.66,Journée représentative.
Z01,S01,2017-05-02,P,9.96,Variations mineures.
Z01,S01,2017-05-03,P,6.52,Variations mineures.
Z01,S01,2017-05-04,P,6.69,Variations mineures.
Z01,S01,2017-05-05,P,2.05,Conditions stables.
Z01,S01,2017-05-06,P,10.36,Conditions stables.
Z01,S01,2017-05-07,P,3.36,Variations mineures.
Z01,S01,2017-05-08,P,10.38,Variations mineures.
Z01,S01,2017-05-09,P,7.52,Conditions stables.
Z01,S01,2017-05-10,P,2.08,Variations mineures.
Z01,S01,2017-05-11,P,8.81,Variations mineures.
Z01,S01,2017-05-12,P,8.78,Conditions stables.
Z01,S01,2017-05-13,P,0.13,Journée représentative.
Z01,S01,2017-05-14,P,6.90,Variations mineures.
Z01,S01,2017-05-15,P,4.14,Variations mineures.
Z01,S01,2017-05-16,P,4.38,Conditions stables.
Z01,S01,2017-05-17,P,13.52,Conditions stables.
Z01,S01,2017-05-18,P,2.07,Variations mineures.
Z01,S01,2017-05-19,P,7.13,Variations mineures.
Z01,S01,2017-05-20,P,7.22,Variations mineures.
Z01,S01,2017-05-21,P,2.61,Variations mineures.
Z01,S01,2017-05-22,P,6.47,Variations mineures.
Z01,S01,2017-05-23,P,8.00,Journée représentative.
Z01,S01,2017-05-24,P,11.07,Variations mineures.
Z01,S01,2017-05-25,P,14.14,Journée représentative.
Z01,S01,2017-05-26,P,11.18,Variations mineures.
Z01,S01,2017-05-27,P,9.18,Variations mineures.
Z01,S01,2017-05-28,P,9.89,Conditions stables.
Z01,S01,2017-05-29,P,10.92,Journée représentative.
Z01,S01,2017-05-30,P,8.45,Variations mineures.
Z01,S01,2017-05-31,P,7.72,Conditions stables.
Z01,S01,2017-06-01,P,0.73,Conditions stables.
Z01,S01,2017-06-02,P,4.28,Journée représentative.
Z01,S01,2017-06-03,P,14.28,Journée représentative.
Z01,S01,2017-06-04,P,0.46,Variations mineures.
Z01,S01,2017-06-05,P,1.55,Variations mineures.
Z01,S01,2017-06-06,P,8.76,Variations mineures.
Z01,S01,2017-06-07,P,6.84,Conditions stables.
Z01,S01,2017-06-08,P,11.48,Journée représentative.
Z01,S01,2017-06-09,P,13.17,Conditions stables.
Z01,S01,2017-06-10,P,7.29,Journée représentative.
Z01,S01,2017-06-11,P,8.61,Variations mineures.
Z01,S01,2017-06-12,P,0.37,Conditions stables.
Z01,S01,2017-06-13,P,5.83,Journée représentative.
Z01,S01,2017-06-14,P,13.37,Conditions stables.
Z01,S01,2017-06-15,P,8.73,Conditions stables.
Z01,S01,2017-06-16,P,11.56,Conditions stables.
Z01,S01,2017-06-17,P,6.01,Variations mineures.
Z01,S01,2017-06-18,P,1.16,Journée représentative.
Z01,S01,2017-06-19,P,1.85,Journée représentative.
Z01,S01,2017-06-20,P,13.35,Variations mineures.
Z01,S01,2017-06-21,P,5.71,Variations mineures.
Z01,S01,2017-06-22,P,10.89,Variations mineures.
Z01,S01,2017-06-23,P,14.44,Variations mineures.
Z01,S01,2017-06-24,P,7.21,Variations mineures.
Z01,S01,2017-06-25,P,2.32,Journée représentative.
Z01,S01,2017-06-26,P,2.02,Journée représentative.
Z01,S01,2017-06-27,P,2.25,Variations mineures.
Z01,S01,2017-06-28,P,0.34,Variations mineures.
Z01,S01,2017-06-29,P,13.13,Variations mineures.
Z01,S01,2017-06-30,P,10.03,Variations mineures.
Z01,S01,2017-07-01,P,10.75,Conditions stables.
Z01,S01,2017-07-02,P,0.77,Journée représentative.
Z01,S01,2017-07-03,P,1.47,Journée représentative.
Z01,S01,2017-07-04,P,3.81,Journée représentative.
Z01,S01,2017-07-05,P,12.77,Journée représentative.
Z01,S01,2017-07-06,P,1.35,Journée représentative.
Z01,S01,2017-07-07,P,14.41,Variations mineures.
Z01,S01,2017-07-08,P,8.44,Variations mineures.
Z01,S01,2017-07-09,P,11.24,Conditions stables.
Z01,S01,2017-07-10,P,8.75,Conditions stables.
Z01,S01,2017-07-11,P,8.32,Variations mineures.
Z01,S01,2017-07-12,P,10.58,Variations mineures.
Z01,S01,2017-07-13,P,0.75,Variations mineures.
Z01,S01,2017-07-14,P,10.49,Variations mineures.
Z01,S01,2017-07-15,P,1.57,Variations mineures.
Z01,S01,2017-07-16,P,3.32,Variations mineures.
Z01,S01,2017-07-17,P,6.23,Journée représentative.
Z01,S01,2017-07-18,P,2.85,Variations mineures.
Z01,S01,2017-07-19,P,0.34,Conditions stables.
Z01,S01,2017-07-20,P,9.10,Conditions stables.
Z01,S01,2017-07-21,P,3.59,Variations mineures.
Z01,S01,2017-07-22,P,14.70,Variations mineures.
Z01,S01,2017-07-23,P,9.61,Conditions stables.
Z01,S01,2017-07-24,P,14.96,Conditions stables.
Z01,S01,2017-07-25,P,7.61,Conditions stables.
Z01,S01,2017-07-26,P,0.77,Variations mineures.
Z01,S01,2017-07-27,P,0.37,Variations mineures.
Z01,S01,2017-07-28,P,3.60,Variations mineures.
Z01,S01,2017-07-29,P,10.11,Variations mineures.
Z01,S01,2017-07-30,P,6.87,Conditions stables.
Z01,S01,2017-07-31,P,3.17,Variations mineures.
Z01,S01,2017-08-01,P,10.44,Variations mineures.
Z01,S01,2017-08-02,P,13.05,Variations mineures.
Z01,S01,2017-08-03,P,4.22,Conditions stables.
Z01,S01,2017-08-04,P,9.83,Variations mineures.
Z01,S01,2017-08-05,P,7.97,Journée représentative.
Z01,S01,2017-08-06,P,8.39,Journée représentative.
Z01,S01,2017-08-07,P,11.69,Variations mineures.
Z01,S01,2017-08-08,P,7.81,Variations mineures.
Z01,S01,2017-08-09,P,6.41,Conditions stables.
Z01,S01,2017-08-10,P,10.05,Variations mineures.
Z01,S01,2017-08-11,P,4.52,Variations mineures.
Z01,S01,2017-08-12,P,13.09,Journée représentative.
Z01,S01,2017-08-13,P,10.90,Variations mineures.
Z01,S01,2017-08-14,P,3.27,Conditions stables.
Z01,S01,2017-08-15,P,13.54,Journée représentative.
Z01,S01,2017-08-16,P,4.94,Conditions stables.
Z01,S01,2017-08-17,P,7.93,Variations mineures.
Z01,S01,2017-08-18,P,1.52,Variations mineures.
Z01,S01,2017-08-19,P,2.11,Journée représentative.
Z01,S01,2017-08-20,P,6.28,Variations mineures.
Z01,S01,2017-08-21,P,1.13,Variations mineures.
Z01,S01,2017-08-22,P,3.51,Variations mineures.
Z01,S01,2017-08-23,P,1.30,Conditions stables.
Z01,S01,2017-08-24,P,6.43,Journée représentative.
Z01,S01,2017-08-25,P,7.30,Variations mineures.
Z01,S01,2017-08-26,P,6.47,Journée représentative.
Z01,S01,2017-08-27,P,10.27,Variations mineures.
Z01,S01,2017-08-28,P,4.81,Variations mineures.
Z01,S01,2017-08-29,P,11.85,Variations mineures.
Z01,S01,2017-08-30,P,8.51,Variations mineures.
Z01,S01,2017-08-31,P,5.38,Variations mineures.
Z01,S01,2017-09-01,P,3.08,Variations mineures.
Z01,S01,2017-09-02,P,12.88,Variations mineures.
Z01,S01,2017-09-03,P,4.55,Variations mineures.
Z01,S01,2017-09-04,P,14.08,Variations mineures.
Z01,S01,2017-09-05,P,1.62,Variations mineures.
Z01,S01,2017-09-06,P,4.12,Journée représentative.
Z01,S01,2017-09-07,P,5.31,Journée représentative.
Z01,S01,2017-09-08,P,6.16,Variations mineures.
Z01,S01,2017-09-09,P,4.45,Variations mineures.
Z01,S01,2017-09-10,P,12.44,Journée représentative.
Z01,S01,2017-09-11,P,6.39,Variations mineures.
Z01,S01,2017-09-12,P,9.08,Conditions stables.
Z01,S01,2017-09-13,P,0.48,Variations mineures.
Z01,S01,2017-09-14,P,4.73,Conditions stables.
Z01,S01,2017-09-15,P,1.57,Conditions stables.
Z01,S01,2017-09-16,P,13.39,Variations mineures.
Z01,S01,2017-09-17,P,0.05,Variations mineures.
Z01,S01,2017-09-18,P,12.75,Journée représentative.
Z01,S01,2017-09-19,P,0.11,Journée représentative.
Z01,S01,2017-09-20,P,9.04,Variations mineures.
Z01,S01,2017-09-21,P,4.21,Conditions stables.
Z01,S01,2017-09-22,P,2.78,Variations mineures.
Z01,S01,2017-09-23,P,14.90,Variations mineures.
Z01,S01,2017-09-24,P,11.91,Variations mineures.
Z01,S01,2017-09-25,P,14.62,Conditions stables.
Z01,S01,2017-09-26,P,2.12,Variations mineures.
Z01,S01,2017-09-27,P,13.28,Variations mineures.
Z01,S01,2017-09-28,P,4.41,Variations mineures.
Z01,S01,2017-09-29,P,11.25,Journée représentative.
Z01,S01,2017-09-30,P,6.35,Journée représentative.
Z01,S01,2017-10-01,P,11.91,Conditions stables.
Z01,S01,2017-10-02,P,13.05,Variations mineures.
Z01,S01,2017-10-03,P,9.20,Variations mineures.
Z01,S01,2017-10-04,P,7.03,Conditions stables.
Z01,S01,2017-10-05,P,5.84,Variations mineures.
Z01,S01,2017-10-06,P,11.49,Variations mineures.
Z01,S01,2017-10-07,P,14.34,Variations mineures.
Z01,S01,2017-10-08,P,7.74,Journée représentative.
Z01,S01,2017-10-09,P,5.75,Conditions stables.
Z01,S01,2017-10-10,P,1.97,Variations mineures.
Z01,S01,2017-10-11,P,3.85,Conditions stables.
Z01,S01,2017-10-12,P,7.73,Conditions stables.
Z01,S01,2017-10-13,P,11.93,Variations mineures.
Z01,S01,2017-10-14,P,12.96,Conditions stables.
Z01,S01,2017-10-15,P,8.65,Variations mineures.
Z01,S01,2017-10-16,P,6.55,Conditions stables.
Z01,S01,2017-10-17,P,7.57,Variations mineures.
Z01,S01,2017-10-18,P,7.41,Conditions stables.
Z01,S01,2017-10-19,P,14.75,Variations mineures.
Z01,S01,2017-10-20,P,14.68,Conditions stables.
Z01,S01,2017-10-21,P,10.04,Variations mineures.
Z01,S01,2017-10-22,P,5.28,Variations mineures.
Z01,S01,2017-10-23,P,4.24,Conditions stables.
Z01,S01,2017-10-24,P,11.54,Variations mineures.
Z01,S01,2017-10-25,P,13.05,Variations mineures.
Z01,S01,2017-10-26,P,8.72,Conditions stables.
Z01,S01,2017-10-27,P,5.74,Journée représentative.
Z01,S01,2017-10-28,P,9.36,Variations mineures.
Z01,S01,2017-10-29,P,12.21,Variations mineures.
Z01,S01,2017-10-30,P,7.83,Journée représentative.
Z01,S01,2017-10-31,P,1.42,Conditions stables.
Z02,S01,2017-05-01,P,1.04,Journée représentative.
Z02,S01,2017-05-02,P,5.64,Variations mineures.
Z02,S01,2017-05-03,P,12.05,Journée représentative.
Z02,S01,2017-05-04,P,14.16,Journée représentative.
Z02,S01,2017-05-05,P,14.31,Variations mineures.
Z02,S01,2017-05-06,P,7.37,Conditions stables.
Z02,S01,2017-05-07,P,5.69,Variations mineures.
Z02,S01,2017-05-08,P,3.11,Journée représentative.
Z02,S01,2017-05-09,P,0.39,Journée représentative.
Z02,S01,2017-05-10,P,14.78,Conditions stables.
Z02,S01,2017-05-11,P,12.98,Journée représentative.
Z02,S01,2017-05-12,P,3.19,Variations mineures.
Z02,S01,2017-05-13,P,7.63,Variations mineures.
Z02,S01,2017-05-14,P,4.50,Journée représentative.
Z02,S01,2017-05-15,P,7.80,Journée représentative.
Z02,S01,2017-05-16,P,13.07,Variations mineures.
Z02,S01,2017-05-17,P,14.85,Journée représentative.
Z02,S01,2017-05-18,P,14.07,Journée représentative.
Z02,S01,2017-05-19,P,13.18,Conditions stables.
Z02,S01,2017-05-20,P,6.35,Conditions stables.
Z02,S01,2017-05-21,P,9.09,Variations mineures.
Z02,S01,2017-05-22,P,2.36,Conditions stables.
Z02,S01,2017-05-23,P,8.86,Conditions stables.
Z02,S01,2017-05-24,P,10.62,Journée représentative.
Z02,S01,2017-05-25,P,8.86,Variations mineures.
Z02,S01,2017-05-26,P,3.49,Journée représentative.
Z02,S01,2017-05-27,P,10.00,Variations mineures.
Z02,S01,2017-05-28,P,6.62,Conditions stables.
Z02,S01,2017-05-29,P,14.50,Variations mineures.
Z02,S01,2017-05-30,P,11.63,Variations mineures.
Z02,S01,2017-05-31,P,2.32,Variations mineures.
Z02,S01,2017-06-01,P,6.87,Conditions stables.
Z02,S01,2017-06-02,P,5.26,Conditions stables.
Z02,S01,2017-06-03,P,10.66,Conditions stables.
Z02,S01,2017-06-04,P,0.50,Journée représentative.
Z02,S01,2017-06-05,P,8.24,Journée représentative.
Z02,S01,2017-06-06,P,4.89,Variations mineures.
Z02,S01,2017-06-07,P,10.11,Conditions stables.
Z02,S01,2017-06-08,P,5.91,Journée représentative.
Z02,S01,2017-06-09,P,8.04,Journée représentative.
Z02,S01,2017-06-10,P,1.84,Journée représentative.
Z02,S01,2017-06-11,P,10.59,Conditions stables.
Z02,S01,2017-06-12,P,10.84,Variations mineures.
Z02,S01,2017-06-13,P,13.38,Variations mineures.
Z02,S01,2017-06-14,P,13.99,Variations mineures.
Z02,S01,2017-06-15,P,3.89,Conditions stables.
Z02,S01,2017-06-16,P,1.90,Conditions stables.
Z02,S01,2017-06-17,P,5.25,Journée représentative.
Z02,S01,2017-06-18,P,11.53,Variations mineures.
Z02,S01,2017-06-19,P,10.72,Variations mineures.
Z02,S01,2017-06-20,P,10.41,Variations mineures.
Z02,S01,2017-06-21,P,9.17,Variations mineures.
Z02,S01,2017-06-22,P,12.82,Conditions stables.
Z02,S01,2017-06-23,P,9.52,Conditions stables.
Z02,S01,2017-06-24,P,12.00,Variations mineures.
Z02,S01,2017-06-25,P,5.29,Variations mineures.
Z02,S01,2017-06-26,P,13.21,Conditions stables.
Z02,S01,2017-06-27,P,8.78,Conditions stables.
Z02,S01,2017-06-28,P,0.49,Variations mineures.
Z02,S01,2017-06-29,P,12.96,Variations mineures.
Z02,S01,2017-06-30,P,1.94,Variations mineures.
Z02,S01,2017-07-01,P,3.66,Variations mineures.
Z02,S01,2017-07-02,P,12.90,Variations mineures.
Z02,S01,2017-07-03,P,2.97,Conditions stables.
Z02,S01,2017-07-04,P,4.18,Variations mineures.
Z02,S01,2017-07-05,P,6.53,Variations mineures.
Z02,S01,2017-07-06,P,7.54,Variations mineures.
Z02,S01,2017-07-07,P,12.94,Variations mineures.
Z02,S01,2017-07-08,P,7.96,Conditions stables.
Z02,S01,2017-07-09,P,14.75,Journée représentative.
Z02,S01,2017-07-10,P,3.81,Conditions stables.
Z02,S01,2017-07-11,P,1.57,Variations mineures.
Z02,S01,2017-07-12,P,6.26,Variations mineures.
Z02,S01,2017-07-13,P,9.21,Variations mineures.
Z02,S01,2017-07-14,P,2.38,Conditions stables.
Z02,S01,2017-07-15,P,8.09,Variations mineures.
Z02,S01,2017-07-16,P,9.44,Conditions stables.
Z02,S01,2017-07-17,P,2.71,Conditions stables.
Z02,S01,2017-07-18,P,4.64,Journée représentative.
Z02,S01,2017-07-19,P,9.25,Variations mineures.
Z02,S01,2017-07-20,P,0.61,Variations mineures.
Z02,S01,2017-07-21,P,5.02,Variations mineures.
Z02,S01,2017-07-22,P,7.10,Conditions stables.
Z02,S01,2017-07-23,P,14.59,Variations mineures.
Z02,S01,2017-07-24,P,0.12,Variations mineures.
Z02,S01,2017-07-25,P,2.34,Variations mineures.
Z02,S01,2017-07-26,P,13.54,Journée représentative.
Z02,S01,2017-07-27,P,12.57,Variations mineures.
Z02,S01,2017-07-28,P,9.17,Journée représentative.
Z02,S01,2017-07-29,P,8.80,Variations mineures.
Z02,S01,2017-07-30,P,6.55,Variations mineures.
Z02,S01,2017-07-31,P,14.33,Conditions stables.
Z02,S01,2017-08-01,P,4.27,Variations mineures.
Z02,S01,2017-08-02,P,13.43,Conditions stables.
Z02,S01,2017-08-03,P,7.70,Journée représentative.
Z02,S01,2017-08-04,P,12.78,Journée représentative.
Z02,S01,2017-08-05,P,14.86,Variations mineures.
Z02,S01,2017-08-06,P,3.66,Variations mineures.
Z02,S01,2017-08-07,P,0.19,Journée représentative.
