zoneid,siteid,dateobservation,pressionmin,pressionmax,note
Z01,S01,2017-05-01,1009.72,1024.30,Variations mineures.
Z01,S01,2017-05-02,1001.98,1015.42,Variations mineures.
Z01,S01,2017-05-03,1008.51,1015.05,Conditions stables.
Z01,S01,2017-05-04,1003.73,1015.72,Journée représentative.
Z01,S01,2017-05-05,1004.42,1013.13,Variations mineures.
Z01,S01,2017-05-06,1000.65,1017.95,Conditions stables.
Z01,S01,2017-05-07,1005.43,1010.47,Conditions stables.
Z01,S01,2017-05-08,998.61,1014.71,Journée représentative.
Z01,S01,2017-05-09,996.16,1016.27,Conditions stables.
Z01,S01,2017-05-10,999.36,1021.35,Variations mineures.
Z01,S01,2017-05-11,996.46,1027.74,Journée représentative.
Z01,S01,2017-05-12,1005.69,1015.15,Journée représentative.
Z01,S01,2017-05-13,999.99,1025.14,Variations mineures.
Z01,S01,2017-05-14,991.52,1027.21,Journée représentative.
Z01,S01,2017-05-15,1000.49,1017.51,Journée représentative.
Z01,S01,2017-05-16,1006.64,1020.65,Variations mineures.
Z01,S01,2017-05-17,993.73,1017.82,Journée représentative.
Z01,S01,2017-05-18,1007.31,1011.33,Journée représentative.
Z01,S01,2017-05-19,1008.49,1013.98,Conditions stables.
Z01,S01,2017-05-20,992.16,1021.00,Journée représentative.
Z01,S01,2017-05-21,991.73,1018.79,Variations mineures.
Z01,S01,2017-05-22,1009.44,1026.68,Journée représentative.
Z01,S01,2017-05-23,996.54,1015.40,Variations mineures.
Z01,S01,2017-05-24,994.25,1010.79,Variations mineures.
Z01,S01,2017-05-25,993.54,1013.18,Variations mineures.
Z01,S01,2017-05-26,998.93,1025.56,Conditions stables.
Z01,S01,2017-05-27,997.95,1021.71,Conditions stables.
Z01,S01,2017-05-28,990.26,1028.67,Variations mineures.
Z01,S01,2017-05-29,1003.92,1015.55,Journée représentative.
Z01,S01,2017-05-30,993.49,1015.06,Conditions stables.
Z01,S01,2017-05-31,996.57,1013.26,Journée représentative.
Z01,S01,2017-06-01,993.19,1023.26,Variations mineures.
Z01,S01,2017-06-02,1001.75,1021.36,Journée représentative.
Z01,S01,2017-06-03,1005.63,1025.75,Variations mineures.
Z01,S01,2017-06-04,995.53,1021.74,Conditions stables.
Z01,S01,2017-06-05,1004.67,1024.84,Journée représentative.
Z01,S01,2017-06-06,1007.10,1021.48,Conditions stables.
Z01,S01,2017-06-07,1007.45,1022.50,Variations mineures.
Z01,S01,2017-06-08,1009.00,1027.05,Journée représentative.
Z01,S01,2017-06-09,1001.03,1012.09,Conditions stables.
Z01,S01,2017-06-10,999.87,1021.37,Conditions stables.
Z01,S01,2017-06-11,1006.32,1015.18,Journée représentative.
Z01,S01,2017-06-12,1008.40,1016.52,Journée représentative.
Z01,S01,2017-06-13,990.57,1014.22,Variations mineures.
Z01,S01,2017-06-14,1002.49,1021.22,Variations mineures.
Z01,S01,2017-06-15,1006.90,1018.32,Conditions stables.
Z01,S01,2017-06-16,1008.55,1020.68,Conditions stables.
Z01,S01,2017-06-17,994.86,1014.75,Variations mineures.
Z01,S01,2017-06-18,1004.45,1024.26,Variations mineures.
Z01,S01,2017-06-19,1009.50,1028.63,Variations mineures.
Z01,S01,2017-06-20,1004.66,1021.03,Variations mineures.
Z01,S01,2017-06-21,1002.74,1027.38,Conditions stables.
Z01,S01,2017-06-22,1008.24,1028.85,Variations mineures.
Z01,S01,2017-06-23,992.22,1013.72,Journée représentative.
Z01,S01,2017-06-24,998.46,1016.44,Variations mineures.
Z01,S01,2017-06-25,1003.03,1022.26,Variations mineures.
Z01,S01,2017-06-26,1003.01,1011.91,Journée représentative.
Z01,S01,2017-06-27,999.33,1024.20,Variations mineures.
Z01,S01,2017-06-28,1006.35,1013.01,Variations mineures.
Z01,S01,2017-06-29,998.57,1017.91,Journée représentative.
Z01,S01,2017-06-30,1003.36,1010.33,Conditions stables.
Z01,S01,2017-07-01,991.76,1029.85,Journée représentative.
Z01,S01,2017-07-02,995.74,1015.80,Variations mineures.
Z01,S01,2017-07-03,992.73,1020.77,Variations mineures.
Z01,S01,2017-07-04,994.74,1028.37,Variations mineures.
Z01,S01,2017-07-05,996.66,1027.33,Variations mineures.
Z01,S01,2017-07-06,1008.30,1029.63,Conditions stables.
Z01,S01,2017-07-07,1007.20,1012.35,Variations mineures.
Z01,S01,2017-07-08,997.08,1011.83,Journée représentative.
Z01,S01,2017-07-09,1001.09,1010.19,Journée représentative.
Z01,S01,2017-07-10,991.98,1011.57,Variations mineures.
Z01,S01,2017-07-11,993.99,1027.00,Variations mineures.
Z01,S01,2017-07-12,999.13,1011.25,Conditions stables.
Z01,S01,2017-07-13,1009.35,1021.02,Variations mineures.
Z01,S01,2017-07-14,1009.65,1010.03,Conditions stables.
Z01,S01,2017-07-15,1000.16,1020.04,Journée représentative.
Z01,S01,2017-07-16,991.28,1015.94,Variations mineures.
Z01,S01,2017-07-17,1000.61,1024.03,Variations mineures.
Z01,S01,2017-07-18,1008.93,1024.75,Variations mineures.
Z01,S01,2017-07-19,998.57,1010.21,Variations mineures.
Z01,S01,2017-07-20,1004.35,1027.15,Conditions stables.
Z01,S01,2017-07-21,1004.82,1011.36,Conditions stables.
Z01,S01,2017-07-22,996.26,1021.28,Variations mineures.
Z01,S01,2017-07-23,992.74,1028.56,Conditions stables.
Z01,S01,2017-07-24,1002.47,1024.91,Conditions stables.
Z01,S01,2017-07-25,1005.58,1027.13,Conditions stables.
Z01,S01,2017-07-26,991.27,1013.82,Journée représentative.
Z01,S01,2017-07-27,1006.15,1013.60,Variations mineures.
Z01,S01,2017-07-28,1001.30,1016.78,Variations mineures.
Z01,S01,2017-07-29,995.86,1023.67,Variations mineures.
Z01,S01,2017-07-30,994.99,1023.45,Conditions stables.
Z01,S01,2017-07-31,997.14,1022.54,Variations mineures.
Z01,S01,2017-08-01,990.73,1013.69,Variations mineures.
Z01,S01,2017-08-02,992.47,1022.99,Variations mineures.
Z01,S01,2017-08-03,994.42,1020.93,Conditions stables.
Z01,S01,2017-08-04,999.74,1017.27,Conditions stables.
Z01,S01,2017-08-05,1003.66,1020.65,Variations mineures.
Z01,S01,2017-08-06,1006.01,1013.10,Variations mineures.
Z01,S01,2017-08-07,1009.06,1013.61,Variations mineures.
Z01,S01,2017-08-08,999.79,1011.52,Journée représentative.
Z01,S01,2017-08-09,996.08,1013.39,Journée représentative.
Z01,S01,2017-08-10,991.31,1023.27,Variations mineures.
Z01,S01,2017-08-11,999.32,1015.95,Variations mineures.
Z01,S01,2017-08-12,996.40,1021.36,Variations mineures.
Z01,S01,2017-08-13,1007.28,1020.87,Journée représentative.
Z01,S01,2017-08-14,1003.37,1016.60,Variations mineures.
Z01,S01,2017-08-15,998.61,1017.45,Variations mineures.
Z01,S01,2017-08-16,995.36,1022.96,Journée représentative.
Z01,S01,2017-08-17,1004.27,1029.73,Variations mineures.
Z01,S01,2017-08-18,1004.12,1018.86,Variations mineures.
Z01,S01,2017-08-19,991.62,1025.73,Conditions stables.
Z01,S01,2017-08-20,993.22,1027.80,Conditions stables.
Z01,S01,2017-08-21,994.70,1012.28,Conditions stables.
Z01,S01,2017-08-22,1004.51,1014.72,Variations mineures.
Z01,S01,2017-08-23,994.86,1010.70,Variations mineures.
Z01,S01,2017-08-24,1007.65,1010.21,Journée représentative.
Z01,S01,2017-08-25,1002.74,1017.70,Variations mineures.
Z01,S01,2017-08-26,1008.59,1025.44,Variations mineures.
Z01,S01,2017-08-27,1005.08,1013.97,Journée représentative.
Z01,S01,2017-08-28,996.42,1014.18,Variations mineures.
Z01,S01,2017-08-29,997.08,1019.76,Conditions stables.
Z01,S01,2017-08-30,1005.77,1014.22,Conditions stables.
Z01,S01,2017-08-31,1007.32,1012.61,Conditions stables.
Z01,S01,2017-09-01,994.60,1028.65,Variations mineures.
Z01,S01,2017-09-02,1004.36,1020.97,Variations mineures.
Z01,S01,2017-09-03,996.83,1012.17,Variations mineures.
Z01,S01,2017-09-04,1008.84,1022.26,Conditions stables.
Z01,S01,2017-09-05,991.49,1024.03,Conditions stables.
Z01,S01,2017-09-06,1000.64,1026.80,Variations mineures.
Z01,S01,2017-09-07,1009.41,1011.30,Journée représentative.
Z01,S01,2017-09-08,993.06,1026.40,Variations mineures.
Z01,S01,2017-09-09,1003.70,1013.49,Variations mineures.
Z01,S01,2017-09-10,1005.70,1027.70,Variations mineures.
Z01,S01,2017-09-11,995.90,1015.82,Variations mineures.
Z01,S01,2017-09-12,994.63,1019.15,Variations mineures.
Z01,S01,2017-09-13,1009.66,1014.14,Variations mineures.
Z01,S01,2017-09-14,998.70,1014.46,Variations mineures.
Z01,S01,2017-09-15,1000.73,1029.31,Variations mineures.
Z01,S01,2017-09-16,990.13,1027.96,Variations mineures.
Z01,S01,2017-09-17,1003.56,1021.02,Variations mineures.
Z01,S01,2017-09-18,999.87,1026.79,Variations mineures.
Z01,S01,2017-09-19,1002.28,1014.24,Journée représentative.
Z01,S01,2017-09-20,1000.07,1025.66,Conditions stables.
Z01,S01,2017-09-21,995.94,1013.48,Conditions stables.
Z01,S01,2017-09-22,996.27,1025.84,Conditions stables.
Z01,S01,2017-09-23,1005.37,1015.33,Journée représentative.
Z01,S01,2017-09-24,1002.70,1015.80,Conditions stables.
Z01,S01,2017-09-25,1002.32,1018.46,Variations mineures.
Z01,S01,2017-09-26,992.14,1012.32,Journée représentative.
Z01,S01,2017-09-27,999.96,1012.29,Journée représentative.
Z01,S01,2017-09-28,1005.86,1021.34,Variations mineures.
Z01,S01,2017-09-29,1001.28,1024.26,Conditions stables.
Z01,S01,2017-09-30,1004.36,1014.71,Variations mineures.
Z01,S01,2017-10-01,996.02,1020.93,Variations mineures.
Z01,S01,2017-10-02,994.03,1011.23,Conditions stables.
Z01,S01,2017-10-03,1000.33,1010.69,Variations mineures.
Z01,S01,2017-10-04,991.69,1029.99,Journée représentative.
Z01,S01,2017-10-05,1003.75,1026.67,Journée représentative.
Z01,S01,2017-10-06,1009.87,1015.05,Conditions stables.
Z01,S01,2017-10-07,1002.67,1027.67,Variations mineures.
Z01,S01,2017-10-08,1009.19,1016.53,Journée représentative.
Z01,S01,2017-10-09,1007.92,1013.48,Conditions stables.
Z01,S01,2017-10-10,1009.48,1021.37,Conditions stables.
Z01,S01,2017-10-11,1001.84,1012.91,Journée représentative.
Z01,S01,2017-10-12,1004.82,1011.83,Conditions stables.
Z01,S01,2017-10-13,1004.29,1013.73,Journée représentative.
Z01,S01,2017-10-14,1006.94,1021.53,Variations mineures.
Z01,S01,2017-10-15,999.81,1026.18,Variations mineures.
Z01,S01,2017-10-16,999.92,1024.10,Journée représentative.
Z01,S01,2017-10-17,1002.38,1019.13,Conditions stables.
Z01,S01,2017-10-18,1005.42,1023.23,Variations mineures.
Z01,S01,2017-10-19,1004.71,1020.06,Journée représentative.
Z01,S01,2017-10-20,991.23,1029.96,Conditions stables.
Z01,S01,2017-10-21,1006.11,1010.18,Variations mineures.
Z01,S01,2017-10-22,992.04,1015.09,Variations mineures.
Z01,S01,2017-10-23,1009.89,1026.44,Journée représentative.
Z01,S01,2017-10-24,1001.64,1012.47,Variations mineures.
Z01,S01,2017-10-25,1008.17,1019.77,Variations mineures.
Z01,S01,2017-10-26,991.74,1027.25,Variations mineures.
Z01,S01,2017-10-27,1007.21,1025.78,Variations mineures.
Z01,S01,2017-10-28,1009.25,1011.65,Variations mineures.
Z01,S01,2017-10-29,1009.35,1025.39,Variations mineures.
Z01,S01,2017-10-30,991.70,1020.19,Conditions stables.
Z01,S01,2017-10-31,1009.83,1023.24,Variations mineures.
Z02,S01,2017-05-01,994.73,1014.07,Conditions stables.
Z02,S01,2017-05-02,1008.09,1010.81,Variations mineures.
Z02,S01,2017-05-03,999.48,1025.08,Conditions stables.
