zoneid,siteid,dateobservation,temperaturemin,temperaturemax,note
Z01,S01,2017-05-01,12.69,26.47,Conditions stables.
Z01,S01,2017-05-02,8.62,32.75,Variations mineures.
Z01,S01,2017-05-03,13.13,24.65,Variations mineures.
Z01,S01,2017-05-04,13.79,34.65,Variations mineures.
Z01,S01,2017-05-05,10.08,20.47,Conditions stables.
Z01,S01,2017-05-06,11.23,22.58,Variations mineures.
Z01,S01,2017-05-07,6.48,34.73,Variations mineures.
Z01,S01,2017-05-08,14.45,33.66,Conditions stables.
Z01,S01,2017-05-09,12.99,34.89,Variations mineures.
Z01,S01,2017-05-10,11.85,31.93,Conditions stables.
Z01,S01,2017-05-11,13.82,34.76,Variations mineures.
Z01,S01,2017-05-12,14.51,25.23,Journée représentative.
Z01,S01,2017-05-13,10.87,25.10,Conditions stables.
Z01,S01,2017-05-14,14.77,25.32,Variations mineures.
Z01,S01,2017-05-15,13.65,28.97,Variations mineures.
Z01,S01,2017-05-16,9.03,32.29,Variations mineures.
Z01,S01,2017-05-17,14.63,23.62,Variations mineures.
Z01,S01,2017-05-18,8.42,31.68,Journée représentative.
Z01,S01,2017-05-19,7.91,21.84,Variations mineures.
Z01,S01,2017-05-20,8.97,31.38,Variations mineures.
Z01,S01,2017-05-21,13.89,31.08,Journée représentative.
Z01,S01,2017-05-22,13.86,33.33,Variations mineures.
Z01,S01,2017-05-23,12.16,24.68,Journée représentative.
Z01,S01,2017-05-24,7.34,20.06,Conditions stables.
Z01,S01,2017-05-25,11.65,28.51,Conditions stables.
Z01,S01,2017-05-26,9.50,32.48,Variations mineures.
Z01,S01,2017-05-27,10.82,27.80,Conditions stables.
Z01,S01,2017-05-28,11.82,21.12,Conditions stables.
Z01,S01,2017-05-29,9.35,22.60,Variations mineures.
Z01,S01,2017-05-30,14.56,26.36,Variations mineures.
Z01,S01,2017-05-31,14.42,34.28,Variations mineures.
Z01,S01,2017-06-01,13.05,20.58,Journée représentative.
Z01,S01,2017-06-02,13.59,21.68,Journée représentative.
Z01,S01,2017-06-03,11.52,31.80,Journée représentative.
Z01,S01,2017-06-04,11.66,23.89,Journée représentative.
Z01,S01,2017-06-05,13.16,31.59,Journée représentative.
Z01,S01,2017-06-06,11.90,20.39,Conditions stables.
Z01,S01,2017-06-07,11.93,25.47,Conditions stables.
Z01,S01,2017-06-08,11.76,28.09,Conditions stables.
Z01,S01,2017-06-09,12.24,32.16,Journée représentative.
Z01,S01,2017-06-10,5.47,29.93,Variations mineures.
Z01,S01,2017-06-11,10.17,24.28,Journée représentative.
Z01,S01,2017-06-12,11.62,28.33,Variations mineures.
Z01,S01,2017-06-13,13.57,23.14,Journée représentative.
Z01,S01,2017-06-14,12.33,33.58,Journée représentative.
Z01,S01,2017-06-15,6.98,26.34,Conditions stables.
Z01,S01,2017-06-16,14.05,26.33,Conditions stables.
Z01,S01,2017-06-17,7.86,29.08,Variations mineures.
Z01,S01,2017-06-18,8.25,27.29,Variations mineures.
Z01,S01,2017-06-19,9.84,25.95,Journée représentative.
Z01,S01,2017-06-20,7.67,26.56,Variations mineures.
Z01,S01,2017-06-21,5.70,24.04,Journée représentative.
Z01,S01,2017-06-22,5.96,21.46,Journée représentative.
Z01,S01,2017-06-23,6.99,27.77,Variations mineures.
Z01,S01,2017-06-24,8.26,31.95,Variations mineures.
Z01,S01,2017-06-25,11.40,26.48,Journée représentative.
Z01,S01,2017-06-26,13.47,32.72,Variations mineures.
Z01,S01,2017-06-27,13.68,34.29,Conditions stables.
Z01,S01,2017-06-28,12.66,21.09,Conditions stables.
Z01,S01,2017-06-29,8.97,20.27,Variations mineures.
Z01,S01,2017-06-30,14.14,25.63,Variations mineures.
Z01,S01,2017-07-01,14.36,28.92,Variations mineures.
Z01,S01,2017-07-02,13.34,30.06,Variations mineures.
Z01,S01,2017-07-03,14.10,26.67,Variations mineures.
Z01,S01,2017-07-04,8.17,24.52,Variations mineures.
Z01,S01,2017-07-05,11.94,27.92,Variations mineures.
Z01,S01,2017-07-06,14.04,24.60,Conditions stables.
Z01,S01,2017-07-07,10.51,28.68,Conditions stables.
Z01,S01,2017-07-08,8.65,20.47,Journée représentative.
Z01,S01,2017-07-09,6.29,23.90,Conditions stables.
Z01,S01,2017-07-10,14.03,24.78,Variations mineures.
Z01,S01,2017-07-11,7.76,20.79,Variations mineures.
Z01,S01,2017-07-12,7.49,29.87,Conditions stables.
Z01,S01,2017-07-13,12.99,28.37,Conditions stables.
Z01,S01,2017-07-14,7.59,29.85,Journée représentative.
Z01,S01,2017-07-15,8.63,21.24,Journée représentative.
Z01,S01,2017-07-16,14.21,20.90,Journée représentative.
Z01,S01,2017-07-17,14.63,22.20,Conditions stables.
Z01,S01,2017-07-18,6.05,34.17,Conditions stables.
Z01,S01,2017-07-19,7.14,24.46,Conditions stables.
Z01,S01,2017-07-20,8.11,30.70,Variations mineures.
Z01,S01,2017-07-21,9.42,34.25,Variations mineures.
Z01,S01,2017-07-22,9.01,24.44,Variations mineures.
Z01,S01,2017-07-23,14.96,26.58,Variations mineures.
Z01,S01,2017-07-24,9.32,25.26,Conditions stables.
Z01,S01,2017-07-25,5.93,32.93,Variations mineures.
Z01,S01,2017-07-26,5.64,23.54,Variations mineures.
Z01,S01,2017-07-27,13.36,23.19,Journée représentative.
Z01,S01,2017-07-28,10.02,25.90,Journée représentative.
Z01,S01,2017-07-29,12.02,34.84,Conditions stables.
Z01,S01,2017-07-30,14.23,23.89,Variations mineures.
Z01,S01,2017-07-31,10.63,27.04,Variations mineures.
Z01,S01,2017-08-01,10.08,21.43,Conditions stables.
Z01,S01,2017-08-02,12.21,29.07,Variations mineures.
Z01,S01,2017-08-03,7.04,20.01,Journée représentative.
Z01,S01,2017-08-04,11.08,23.14,Journée représentative.
Z01,S01,2017-08-05,6.49,20.80,Journée représentative.
Z01,S01,2017-08-06,14.30,31.27,Conditions stables.
Z01,S01,2017-08-07,10.13,21.73,Journée représentative.
Z01,S01,2017-08-08,9.29,28.69,Conditions stables.
Z01,S01,2017-08-09,10.19,23.72,Conditions stables.
Z01,S01,2017-08-10,8.95,20.24,Variations mineures.
Z01,S01,2017-08-11,14.96,26.07,Variations mineures.
Z01,S01,2017-08-12,12.57,28.04,Variations mineures.
Z01,S01,2017-08-13,7.66,22.98,Variations mineures.
Z01,S01,2017-08-14,9.30,34.66,Variations mineures.
Z01,S01,2017-08-15,11.28,34.93,Variations mineures.
Z01,S01,2017-08-16,8.98,23.13,Conditions stables.
Z01,S01,2017-08-17,13.12,21.07,Variations mineures.
Z01,S01,2017-08-18,7.89,32.52,Conditions stables.
Z01,S01,2017-08-19,14.05,21.99,Variations mineures.
Z01,S01,2017-08-20,13.93,32.34,Conditions stables.
Z01,S01,2017-08-21,5.05,32.81,Conditions stables.
Z01,S01,2017-08-22,12.39,28.24,Variations mineures.
Z01,S01,2017-08-23,7.36,32.20,Journée représentative.
Z01,S01,2017-08-24,9.12,24.77,Variations mineures.
Z01,S01,2017-08-25,7.93,24.07,Journée représentative.
Z01,S01,2017-08-26,11.26,30.71,Variations mineures.
Z01,S01,2017-08-27,12.88,26.13,Journée représentative.
Z01,S01,2017-08-28,9.85,20.05,Variations mineures.
Z01,S01,2017-08-29,6.83,25.59,Conditions stables.
Z01,S01,2017-08-30,12.90,25.44,Variations mineures.
Z01,S01,2017-08-31,5.24,24.90,Variations mineures.
Z01,S01,2017-09-01,6.80,33.80,Variations mineures.
Z01,S01,2017-09-02,5.15,23.95,Variations mineures.
Z01,S01,2017-09-03,5.13,22.08,Conditions stables.
Z01,S01,2017-09-04,5.63,29.38,Conditions stables.
Z01,S01,2017-09-05,12.04,23.59,Variations mineures.
Z01,S01,2017-09-06,14.31,28.71,Conditions stables.
Z01,S01,2017-09-07,8.69,29.85,Journée représentative.
Z01,S01,2017-09-08,5.14,29.69,Conditions stables.
