zoneid,siteid,dateobservation,ventmin,ventmax,note
Z01,S01,2017-05-01,2.74,12.39,Journée représentative.
Z01,S01,2017-05-02,1.78,27.88,Variations mineures.
Z01,S01,2017-05-03,0.92,21.98,Journée représentative.
Z01,S01,2017-05-04,1.15,15.17,Journée représentative.
Z01,S01,2017-05-05,4.41,21.30,Conditions stables.
Z01,S01,2017-05-06,3.25,10.19,Variations mineures.
Z01,S01,2017-05-07,3.27,17.30,Journée représentative.
Z01,S01,2017-05-08,1.85,28.46,Variations mineures.
Z01,S01,2017-05-09,2.86,25.56,Journée représentative.
Z01,S01,2017-05-10,4.71,10.07,Variations mineures.
Z01,S01,2017-05-11,0.41,10.48,Variations mineures.
Z01,S01,2017-05-12,4.39,17.96,Conditions stables.
Z01,S01,2017-05-13,4.55,26.25,Journée représentative.
Z01,S01,2017-05-14,1.63,11.50,Conditions stables.
Z01,S01,2017-05-15,0.76,13.62,Variations mineures.
Z01,S01,2017-05-16,1.42,14.44,Conditions stables.
Z01,S01,2017-05-17,4.66,17.50,Conditions stables.
Z01,S01,2017-05-18,1.18,11.91,Variations mineures.
Z01,S01,2017-05-19,1.87,27.66,Variations mineures.
Z01,S01,2017-05-20,1.33,20.96,Variations mineures.
Z01,S01,2017-05-21,4.38,16.53,Variations mineures.
Z01,S01,2017-05-22,2.83,11.96,Journée représentative.
Z01,S01,2017-05-23,2.23,25.83,Conditions stables.
Z01,S01,2017-05-24,3.51,16.92,Variations mineures.
Z01,S01,2017-05-25,3.63,14.23,Conditions stables.
Z01,S01,2017-05-26,0.46,14.42,Variations mineures.
Z01,S01,2017-05-27,4.48,24.23,Journée représentative.
Z01,S01,2017-05-28,0.50,16.40,Conditions stables.
Z01,S01,2017-05-29,3.10,23.52,Journée représentative.
Z01,S01,2017-05-30,3.42,21.31,Conditions stables.
Z01,S01,2017-05-31,2.30,28.95,Variations mineures.
Z01,S01,2017-06-01,2.89,11.49,Variations mineures.
Z01,S01,2017-06-02,1.76,27.12,Conditions stables.
Z01,S01,2017-06-03,1.09,29.91,Variations mineures.
Z01,S01,2017-06-04,2.55,14.25,Journée représentative.
Z01,S01,2017-06-05,4.33,28.92,Conditions stables.
Z01,S01,2017-06-06,4.76,26.28,Variations mineures.
Z01,S01,2017-06-07,0.95,12.23,Variations mineures.
Z01,S01,2017-06-08,4.10,22.49,Conditions stables.
Z01,S01,2017-06-09,0.48,16.67,Variations mineures.
Z01,S01,2017-06-10,1.46,15.62,Journée représentative.
Z01,S01,2017-06-11,4.54,21.58,Variations mineures.
Z01,S01,2017-06-12,1.14,20.49,Conditions stables.
Z01,S01,2017-06-13,2.55,23.99,Journée représentative.
Z01,S01,2017-06-14,1.20,22.59,Variations mineures.
Z01,S01,2017-06-15,3.32,20.54,Conditions stables.
