plant_id,date_decouverte
MMB3060,2017-05-15
MMA3004,2017-05-15
MMA2002,2017-05-15
MMB2019,2017-05-15
MMA4056,2017-05-15
MMA2057,2017-05-15
MMB3021,2017-05-15
MMB1095,2017-05-15
MMA4064,2017-05-15
MMA3082,2017-05-15
MMA4097,2017-05-15
MMA2025,2017-05-15
MMA1064,2017-05-15
MMB1026,2017-05-15
MMB4039,2017-05-15
MMA3048,2017-05-15
MMA2063,2017-05-15
MMA2005,2017-05-15
MMB2061,2017-05-15
MMB2002,2017-05-15
MMB3075,2017-05-15
MMA3027,2017-05-15
MMB2057,2017-05-15
MMB1091,2017-05-15
MMA2051,2017-05-15
MMB3094,2017-05-15
MMB2011,2017-05-15
MMB3095,2017-05-15
MMB1018,2017-05-15
MMA4012,2017-05-15
MMB2079,2017-05-15
MMB3100,2017-05-15
MMB3013,2017-05-15
MMA3095,2017-05-15
MMB3084,2017-05-15
MMA3084,2017-05-15
MMA2036,2017-05-15
MMA1043,2017-05-15
MMA1078,2017-05-15
MMA4088,2017-05-15
MMA1012,2017-05-15
MMA4005,2017-05-15
MMA1062,2017-05-15
MMB4093,2017-05-15
MMA2054,2017-05-15
MMA4082,2017-05-15
MMB1014,2017-05-15
MMB3037,2017-05-15
MMA4080,2017-05-15
MMA1068,2017-05-15
MMA1092,2017-05-15
MMB2007,2017-05-15
MMA1079,2017-05-15
MMB1032,2017-05-15
MMA2024,2017-05-15
MMB1019,2017-05-15
MMA4033,2017-05-15
MMB2026,2017-05-15
MMB2033,2017-05-15
MMA4045,2017-05-15
MMA2001,2017-05-15
MMA2086,2017-05-15
MMA2010,2017-05-15
MMB1037,2017-05-15
MMA4030,2017-05-15
MMA4018,2017-05-15
MMB4042,2017-05-15
MMB3019,2017-05-15
MMA3088,2017-05-15
MMB2020,2017-05-15
MMB4016,2017-05-15
MMA4084,2017-05-15
MMA1026,2017-05-15
MMB3025,2017-05-15
MMA1061,2017-05-15
MMB2071,2017-05-15
MMA2100,2017-05-15
MMB4022,2017-05-15
MMB3042,2017-05-15
MMB1056,2017-05-15
MMB1024,2017-05-15
MMB4058,2017-05-15
MMA2039,2017-05-15
MMA1055,2017-05-15
MMA2082,2017-05-15
MMA4034,2017-05-15
MMA2062,2017-05-15
MMA4095,2017-05-15
MMB4028,2017-05-15
MMB2090,2017-05-15
MMA2080,2017-05-15
MMB3046,2017-05-15
MMB1021,2017-05-15
MMA2047,2017-05-15
MMB3053,2017-05-15
MMB1044,2017-05-15
MMB3085,2017-05-15
MMB2070,2017-05-15
MMB4034,2017-05-15
MMA3029,2017-05-15
MMB4023,2017-05-15
MMB2097,2017-05-15
MMA4066,2017-05-15
MMB3076,2017-05-15
MMA4069,2017-05-15
MMA3099,2017-05-15
MMB4070,2017-05-15
MMB3029,2017-05-15
MMB1034,2017-05-15
MMA2076,2017-05-15
MMA4079,2017-05-15
MMA3035,2017-05-15
MMB1097,2017-05-15
MMA4083,2017-05-15
MMA4009,2017-05-15
MMA3070,2017-05-15
MMA3039,2017-05-15
