id_interne_placette,date,type_couverture,taux
17,2017-10-15,Mousses,29.00
17,2017-09-15,Mousses,10.59
17,2017-08-15,Mousses,19.96
17,2017-07-15,Mousses,49.64
17,2017-06-15,Mousses,11.70
17,2017-05-15,Mousses,12.70
18,2017-10-15,Mousses,29.89
18,2017-09-15,Mousses,19.15
18,2017-08-15,Mousses,34.55
18,2017-07-15,Mousses,46.38
18,2017-06-15,Mousses,28.19
18,2017-05-15,Mousses,10.39
19,2017-10-15,Mousses,36.66
19,2017-09-15,Mousses,26.48
19,2017-08-15,Mousses,13.12
19,2017-07-15,Mousses,48.04
19,2017-06-15,Mousses,28.29
19,2017-05-15,Mousses,29.95
20,2017-10-15,Mousses,43.67
20,2017-09-15,Mousses,12.67
20,2017-08-15,Mousses,25.36
20,2017-07-15,Mousses,40.62
20,2017-06-15,Mousses,25.37
20,2017-05-15,Mousses,10.28
22,2017-10-15,Mousses,18.93
22,2017-09-15,Mousses,40.39
22,2017-08-15,Mousses,21.36
22,2017-07-15,Mousses,29.28
22,2017-06-15,Mousses,24.79
22,2017-05-15,Mousses,26.35
23,2017-10-15,Mousses,29.67
23,2017-09-15,Mousses,44.15
23,2017-08-15,Mousses,28.92
23,2017-07-15,Mousses,13.61
23,2017-06-15,Mousses,47.70
23,2017-05-15,Mousses,40.23
24,2017-10-15,Mousses,22.54
24,2017-09-15,Mousses,25.52
24,2017-08-15,Mousses,39.33
24,2017-07-15,Mousses,20.58
24,2017-06-15,Mousses,20.50
24,2017-05-15,Mousses,13.39
25,2017-10-15,Mousses,43.15
25,2017-09-15,Mousses,39.35
25,2017-08-15,Mousses,13.94
25,2017-07-15,Mousses,44.91
25,2017-06-15,Mousses,12.78
25,2017-05-15,Mousses,31.28
17,2017-10-15,Graminées,7.59
17,2017-09-15,Graminées,12.53
17,2017-08-15,Graminées,28.60
17,2017-07-15,Graminées,14.27
17,2017-06-15,Graminées,19.38
17,2017-05-15,Graminées,34.97
18,2017-10-15,Graminées,21.68
18,2017-09-15,Graminées,31.61
18,2017-08-15,Graminées,23.21
18,2017-07-15,Graminées,6.01
18,2017-06-15,Graminées,7.59
18,2017-05-15,Graminées,7.61
19,2017-10-15,Graminées,6.52
19,2017-09-15,Graminées,11.05
19,2017-08-15,Graminées,32.43
19,2017-07-15,Graminées,24.18
19,2017-06-15,Graminées,17.60
19,2017-05-15,Graminées,22.71
20,2017-10-15,Graminées,30.18
20,2017-09-15,Graminées,33.31
20,2017-08-15,Graminées,19.16
20,2017-07-15,Graminées,34.46
20,2017-06-15,Graminées,21.50
20,2017-05-15,Graminées,26.92
22,2017-10-15,Graminées,5.01
22,2017-09-15,Graminées,30.73
22,2017-08-15,Graminées,25.42
22,2017-07-15,Graminées,5.40
22,2017-06-15,Graminées,21.25
22,2017-05-15,Graminées,25.60
23,2017-10-15,Graminées,21.95
23,2017-09-15,Graminées,13.09
23,2017-08-15,Graminées,21.72
23,2017-07-15,Graminées,14.99
23,2017-06-15,Graminées,19.62
23,2017-05-15,Graminées,30.04
24,2017-10-15,Graminées,16.37
24,2017-09-15,Graminées,7.79
24,2017-08-15,Graminées,9.12
24,2017-07-15,Graminées,13.43
24,2017-06-15,Graminées,29.92
24,2017-05-15,Graminées,14.07
25,2017-10-15,Graminées,6.24
25,2017-09-15,Graminées,7.16
25,2017-08-15,Graminées,24.39
25,2017-07-15,Graminées,22.13
25,2017-06-15,Graminées,26.70
25,2017-05-15,Graminées,14.64
17,2017-10-15,Fougères,15.24
17,2017-09-15,Fougères,17.94
17,2017-08-15,Fougères,22.15
17,2017-07-15,Fougères,8.17
17,2017-06-15,Fougères,14.04
17,2017-05-15,Fougères,20.98
18,2017-10-15,Fougères,13.37
18,2017-09-15,Fougères,8.83
18,2017-08-15,Fougères,10.36
18,2017-07-15,Fougères,25.00
18,2017-06-15,Fougères,9.38
18,2017-05-15,Fougères,19.31
19,2017-10-15,Fougères,7.73
19,2017-09-15,Fougères,11.63
19,2017-08-15,Fougères,10.75
19,2017-07-15,Fougères,21.58
19,2017-06-15,Fougères,10.81
19,2017-05-15,Fougères,19.28
20,2017-10-15,Fougères,23.21
20,2017-09-15,Fougères,17.32
20,2017-08-15,Fougères,21.48
20,2017-07-15,Fougères,8.91
20,2017-06-15,Fougères,14.61
20,2017-05-15,Fougères,6.20
22,2017-10-15,Fougères,21.78
22,2017-09-15,Fougères,18.15
22,2017-08-15,Fougères,14.69
22,2017-07-15,Fougères,16.65
22,2017-06-15,Fougères,8.56
22,2017-05-15,Fougères,14.67
23,2017-10-15,Fougères,10.82
23,2017-09-15,Fougères,16.74
23,2017-08-15,Fougères,23.59
23,2017-07-15,Fougères,24.46
23,2017-06-15,Fougères,14.24
23,2017-05-15,Fougères,20.46
24,2017-10-15,Fougères,13.59
24,2017-09-15,Fougères,17.97
24,2017-08-15,Fougères,16.96
24,2017-07-15,Fougères,7.77
24,2017-06-15,Fougères,16.39
24,2017-05-15,Fougères,16.31
25,2017-10-15,Fougères,6.88
25,2017-09-15,Fougères,19.81
25,2017-08-15,Fougères,24.39
25,2017-07-15,Fougères,8.84
25,2017-06-15,Fougères,17.00
25,2017-05-15,Fougères,17.86
