id_interne_plant,date,note
2573,2017-06-15,Condition normale pour la saison.
2417,2017-06-15,Condition normale pour la saison.
2192,2017-06-15,Légère variabilité observée.
1906,2017-06-15,Condition normale pour la saison.
2107,2017-06-15,Légère variabilité observée.
2437,2017-06-15,Condition normale pour la saison.
2021,2017-06-15,Rien à signaler.
1884,2017-06-15,Légère variabilité observée.
2001,2017-06-15,Condition normale pour la saison.
1851,2017-06-15,Rien à signaler.
2195,2017-06-15,Condition normale pour la saison.
2122,2017-06-15,Condition normale pour la saison.
2430,2017-06-15,Rien à signaler.
2352,2017-06-15,Condition normale pour la saison.
1955,2017-06-15,Condition normale pour la saison.
2427,2017-06-15,Rien à signaler.
2013,2017-06-15,Condition normale pour la saison.
2590,2017-06-15,Condition normale pour la saison.
2071,2017-06-15,Condition normale pour la saison.
2100,2017-06-15,Rien à signaler.
2335,2017-06-15,Rien à signaler.
2307,2017-06-15,Condition normale pour la saison.
2090,2017-06-15,Légère variabilité observée.
2475,2017-06-15,Condition normale pour la saison.
2228,2017-06-15,Condition normale pour la saison.
2518,2017-06-15,Condition normale pour la saison.
2375,2017-06-15,Légère variabilité observée.
2029,2017-06-15,Rien à signaler.
2217,2017-06-15,Condition normale pour la saison.
2208,2017-06-15,Condition normale pour la saison.
2455,2017-06-15,Rien à signaler.
2285,2017-06-15,Rien à signaler.
2224,2017-06-15,Condition normale pour la saison.
2236,2017-06-15,Condition normale pour la saison.
1799,2017-06-15,Légère variabilité observée.
1959,2017-06-15,Rien à signaler.
2227,2017-06-15,Condition normale pour la saison.
1833,2017-06-15,Légère variabilité observée.
2317,2017-06-15,Condition normale pour la saison.
2274,2017-06-15,Condition normale pour la saison.
2457,2017-06-15,Condition normale pour la saison.
1836,2017-06-15,Condition normale pour la saison.
2207,2017-06-15,Condition normale pour la saison.
2530,2017-06-15,Légère variabilité observée.
1926,2017-06-15,Condition normale pour la saison.
2311,2017-06-15,Rien à signaler.
2582,2017-06-15,Condition normale pour la saison.
2143,2017-06-15,Rien à signaler.
1818,2017-06-15,Condition normale pour la saison.
2045,2017-06-15,Condition normale pour la saison.
1981,2017-06-15,Légère variabilité observée.
2121,2017-06-15,Condition normale pour la saison.
2314,2017-06-15,Rien à signaler.
2523,2017-06-15,Condition normale pour la saison.
2152,2017-06-15,Rien à signaler.
2054,2017-06-15,Légère variabilité observée.
2099,2017-06-15,Condition normale pour la saison.
2033,2017-06-15,Rien à signaler.
2559,2017-06-15,Condition normale pour la saison.
2357,2017-06-15,Condition normale pour la saison.
2331,2017-06-15,Légère variabilité observée.
1967,2017-06-15,Condition normale pour la saison.
1860,2017-06-15,Condition normale pour la saison.
2068,2017-06-15,Légère variabilité observée.
2177,2017-06-15,Condition normale pour la saison.
1841,2017-06-15,Rien à signaler.
2002,2017-06-15,Rien à signaler.
2328,2017-06-15,Condition normale pour la saison.
2120,2017-06-15,Rien à signaler.
2233,2017-06-15,Condition normale pour la saison.
2167,2017-06-15,Condition normale pour la saison.
2137,2017-06-15,Légère variabilité observée.
2360,2017-06-15,Légère variabilité observée.
1885,2017-06-15,Légère variabilité observée.
2471,2017-06-15,Condition normale pour la saison.
1938,2017-06-15,Rien à signaler.
2463,2017-06-15,Légère variabilité observée.
1800,2017-06-15,Légère variabilité observée.
1835,2017-06-15,Légère variabilité observée.
2299,2017-06-15,Condition normale pour la saison.
2077,2017-06-15,Condition normale pour la saison.
1905,2017-06-15,Légère variabilité observée.
2339,2017-06-15,Légère variabilité observée.
1911,2017-06-15,Rien à signaler.
2519,2017-06-15,Condition normale pour la saison.
1898,2017-06-15,Légère variabilité observée.
2438,2017-06-15,Condition normale pour la saison.
2458,2017-06-15,Condition normale pour la saison.
2589,2017-06-15,Condition normale pour la saison.
1811,2017-06-15,Rien à signaler.
2575,2017-06-15,Rien à signaler.
2096,2017-06-15,Légère variabilité observée.
2332,2017-06-15,Condition normale pour la saison.
1988,2017-06-15,Condition normale pour la saison.
2130,2017-06-15,Légère variabilité observée.
2032,2017-06-15,Rien à signaler.
1797,2017-06-15,Rien à signaler.
1899,2017-06-15,Condition normale pour la saison.
2560,2017-06-15,Légère variabilité observée.
2510,2017-06-15,Condition normale pour la saison.
1941,2017-06-15,Rien à signaler.
2271,2017-06-15,Condition normale pour la saison.
2514,2017-06-15,Condition normale pour la saison.
1984,2017-06-15,Légère variabilité observée.
1796,2017-06-15,Condition normale pour la saison.
2326,2017-06-15,Rien à signaler.
2194,2017-06-15,Rien à signaler.
2464,2017-06-15,Condition normale pour la saison.
2450,2017-06-15,Rien à signaler.
2010,2017-06-15,Condition normale pour la saison.
2232,2017-06-15,Rien à signaler.
2049,2017-06-15,Condition normale pour la saison.
2460,2017-06-15,Condition normale pour la saison.
2366,2017-06-15,Condition normale pour la saison.
1806,2017-06-15,Condition normale pour la saison.
1979,2017-06-15,Condition normale pour la saison.
2550,2017-06-15,Condition normale pour la saison.
2019,2017-06-15,Légère variabilité observée.
2371,2017-06-15,Condition normale pour la saison.
2392,2017-06-15,Condition normale pour la saison.
1977,2017-06-15,Rien à signaler.
2316,2017-06-15,Condition normale pour la saison.
1927,2017-06-15,Condition normale pour la saison.
1853,2017-06-15,Condition normale pour la saison.
1913,2017-06-15,Légère variabilité observée.
2466,2017-06-15,Condition normale pour la saison.
2498,2017-06-15,Rien à signaler.
2294,2017-06-15,Rien à signaler.
1879,2017-06-15,Condition normale pour la saison.
2365,2017-06-15,Légère variabilité observée.
1900,2017-06-15,Condition normale pour la saison.
2364,2017-06-15,Condition normale pour la saison.
1952,2017-06-15,Légère variabilité observée.
1944,2017-06-15,Légère variabilité observée.
2406,2017-06-15,Rien à signaler.
2060,2017-06-15,Rien à signaler.
1951,2017-06-15,Rien à signaler.
2113,2017-06-15,Rien à signaler.
2408,2017-06-15,Condition normale pour la saison.
1877,2017-06-15,Condition normale pour la saison.
2529,2017-06-15,Légère variabilité observée.
1823,2017-06-15,Légère variabilité observée.
2133,2017-06-15,Condition normale pour la saison.
2347,2017-06-15,Condition normale pour la saison.
2330,2017-06-15,Rien à signaler.
1962,2017-06-15,Condition normale pour la saison.
2173,2017-06-15,Condition normale pour la saison.
2151,2017-06-15,Rien à signaler.
2193,2017-06-15,Condition normale pour la saison.
1909,2017-06-15,Condition normale pour la saison.
2494,2017-06-15,Condition normale pour la saison.
1990,2017-06-15,Rien à signaler.
1881,2017-06-15,Légère variabilité observée.
2229,2017-06-15,Condition normale pour la saison.
1934,2017-06-15,Condition normale pour la saison.
2043,2017-06-15,Légère variabilité observée.
2182,2017-06-15,Condition normale pour la saison.
2004,2017-06-15,Condition normale pour la saison.
2089,2017-06-15,Condition normale pour la saison.
1904,2017-06-15,Condition normale pour la saison.
2468,2017-06-15,Condition normale pour la saison.
1834,2017-06-15,Condition normale pour la saison.
1942,2017-06-15,Légère variabilité observée.
2160,2017-06-15,Condition normale pour la saison.
2008,2017-06-15,Rien à signaler.
2490,2017-06-15,Condition normale pour la saison.
2411,2017-06-15,Condition normale pour la saison.
2134,2017-06-15,Légère variabilité observée.
2395,2017-06-15,Condition normale pour la saison.
1929,2017-06-15,Légère variabilité observée.
2578,2017-06-15,Condition normale pour la saison.
2277,2017-06-15,Condition normale pour la saison.
1933,2017-06-15,Condition normale pour la saison.
1893,2017-06-15,Légère variabilité observée.
1998,2017-06-15,Condition normale pour la saison.
2050,2017-06-15,Condition normale pour la saison.
2246,2017-06-15,Légère variabilité observée.
2447,2017-06-15,Condition normale pour la saison.
2592,2017-06-15,Condition normale pour la saison.
1953,2017-06-15,Condition normale pour la saison.
2431,2017-06-15,Légère variabilité observée.
1996,2017-06-15,Condition normale pour la saison.
2103,2017-06-15,Condition normale pour la saison.
2046,2017-06-15,Rien à signaler.
2384,2017-06-15,Rien à signaler.
2410,2017-06-15,Condition normale pour la saison.
2098,2017-06-15,Légère variabilité observée.
2441,2017-06-15,Condition normale pour la saison.
2155,2017-06-15,Légère variabilité observée.
2210,2017-06-15,Rien à signaler.
2535,2017-06-15,Rien à signaler.
2593,2017-06-15,Rien à signaler.
2225,2017-06-15,Légère variabilité observée.
1921,2017-06-15,Condition normale pour la saison.
2483,2017-06-15,Rien à signaler.
2169,2017-06-15,Rien à signaler.
1854,2017-06-15,Condition normale pour la saison.
1975,2017-06-15,Légère variabilité observée.
2014,2017-06-15,Condition normale pour la saison.
2073,2017-06-15,Rien à signaler.
2385,2017-06-15,Rien à signaler.
2476,2017-06-15,Rien à signaler.
2245,2017-06-15,Condition normale pour la saison.
2158,2017-06-15,Condition normale pour la saison.
2035,2017-06-15,Légère variabilité observée.
1895,2017-06-15,Légère variabilité observée.
2563,2017-06-15,Condition normale pour la saison.
1960,2017-06-15,Légère variabilité observée.
2116,2017-06-15,Rien à signaler.
2449,2017-06-15,Condition normale pour la saison.
2044,2017-06-15,Rien à signaler.
2017,2017-06-15,Condition normale pour la saison.
2528,2017-06-15,Condition normale pour la saison.
2018,2017-06-15,Condition normale pour la saison.
1816,2017-06-15,Condition normale pour la saison.
1845,2017-06-15,Condition normale pour la saison.
2354,2017-06-15,Rien à signaler.
2358,2017-06-15,Légère variabilité observée.
2461,2017-06-15,Légère variabilité observée.
2250,2017-06-15,Condition normale pour la saison.
2374,2017-06-15,Condition normale pour la saison.
2076,2017-06-15,Condition normale pour la saison.
1837,2017-06-15,Rien à signaler.
1810,2017-06-15,Rien à signaler.
2433,2017-06-15,Rien à signaler.
1844,2017-06-15,Condition normale pour la saison.
2399,2017-06-15,Condition normale pour la saison.
2303,2017-06-15,Condition normale pour la saison.
1972,2017-06-15,Légère variabilité observée.
2403,2017-06-15,Rien à signaler.
2291,2017-06-15,Légère variabilité observée.
2215,2017-06-15,Condition normale pour la saison.
2502,2017-06-15,Légère variabilité observée.
2239,2017-06-15,Rien à signaler.
2289,2017-06-15,Rien à signaler.
2231,2017-06-15,Condition normale pour la saison.
1897,2017-06-15,Légère variabilité observée.
1978,2017-06-15,Condition normale pour la saison.
2548,2017-06-15,Condition normale pour la saison.
2474,2017-06-15,Légère variabilité observée.
2252,2017-06-15,Condition normale pour la saison.
2280,2017-06-15,Condition normale pour la saison.
2114,2017-06-15,Légère variabilité observée.
2094,2017-06-15,Légère variabilité observée.
2212,2017-06-15,Rien à signaler.
2168,2017-06-15,Rien à signaler.
2386,2017-06-15,Condition normale pour la saison.
2545,2017-06-15,Condition normale pour la saison.
1805,2017-06-15,Condition normale pour la saison.
2244,2017-06-15,Condition normale pour la saison.
1827,2017-06-15,Condition normale pour la saison.
2421,2017-06-15,Condition normale pour la saison.
2594,2017-06-15,Condition normale pour la saison.
2259,2017-06-15,Condition normale pour la saison.
2428,2017-06-15,Condition normale pour la saison.
2425,2017-06-15,Condition normale pour la saison.
2296,2017-06-15,Légère variabilité observée.
2111,2017-06-15,Légère variabilité observée.
2570,2017-06-15,Rien à signaler.
2379,2017-06-15,Condition normale pour la saison.
2201,2017-06-15,Rien à signaler.
2157,2017-06-15,Condition normale pour la saison.
2057,2017-06-15,Légère variabilité observée.
1859,2017-06-15,Légère variabilité observée.
1925,2017-06-15,Condition normale pour la saison.
2562,2017-06-15,Condition normale pour la saison.
