id_interne_zone,date,hum_min,hum_max,temp_moyenne,variation,note
7,2017-05-01,52.20,77.64,,25.44,Journée représentative.
7,2017-05-02,30.51,73.98,,43.47,Variations mineures.
7,2017-05-03,41.03,81.52,,40.49,Journée représentative.
7,2017-05-04,50.34,73.37,,23.03,Conditions stables.
7,2017-05-05,58.66,78.93,,20.27,Variations mineures.
7,2017-05-06,38.82,79.17,,40.35,Variations mineures.
7,2017-05-07,43.22,89.02,,45.80,Variations mineures.
7,2017-05-08,53.94,78.19,,24.25,Variations mineures.
7,2017-05-09,58.93,86.61,,27.68,Variations mineures.
7,2017-05-10,37.02,79.65,,42.63,Journée représentative.
7,2017-05-11,48.39,88.31,,39.92,Journée représentative.
7,2017-05-12,38.08,70.95,,32.87,Variations mineures.
7,2017-05-13,56.25,79.57,,23.32,Variations mineures.
7,2017-05-14,59.19,70.31,,11.12,Variations mineures.
7,2017-05-15,30.62,75.13,,44.51,Variations mineures.
7,2017-05-16,44.29,82.60,,38.31,Conditions stables.
7,2017-05-17,57.14,79.77,,22.63,Variations mineures.
7,2017-05-18,35.14,72.72,,37.58,Journée représentative.
7,2017-05-19,46.07,89.71,,43.64,Variations mineures.
7,2017-05-20,35.55,83.46,,47.91,Journée représentative.
7,2017-05-21,45.39,73.72,,28.33,Variations mineures.
7,2017-05-22,49.47,89.02,,39.55,Journée représentative.
7,2017-05-23,49.91,79.41,,29.50,Variations mineures.
7,2017-05-24,36.38,73.67,,37.29,Conditions stables.
7,2017-05-25,47.96,75.06,,27.10,Journée représentative.
7,2017-05-26,32.51,72.73,,40.22,Journée représentative.
7,2017-05-27,30.68,77.28,,46.60,Journée représentative.
7,2017-05-28,30.38,76.33,,45.95,Conditions stables.
7,2017-05-29,35.55,87.60,,52.05,Variations mineures.
7,2017-05-30,57.58,81.35,,23.77,Journée représentative.
7,2017-05-31,56.89,81.29,,24.40,Conditions stables.
7,2017-06-01,45.81,81.64,,35.83,Variations mineures.
7,2017-06-02,32.62,81.15,,48.53,Variations mineures.
7,2017-06-03,53.66,72.10,,18.44,Conditions stables.
7,2017-06-04,34.61,70.33,,35.72,Journée représentative.
7,2017-06-05,59.55,80.75,,21.20,Variations mineures.
7,2017-06-06,51.52,88.84,,37.32,Journée représentative.
7,2017-06-07,44.50,73.42,,28.92,Variations mineures.
7,2017-06-08,57.98,87.48,,29.50,Conditions stables.
7,2017-06-09,46.22,89.41,,43.19,Conditions stables.
7,2017-06-10,51.04,73.31,,22.27,Variations mineures.
7,2017-06-11,52.50,84.68,,32.18,Variations mineures.
7,2017-06-12,58.74,88.30,,29.56,Journée représentative.
7,2017-06-13,39.22,83.40,,44.18,Journée représentative.
7,2017-06-14,44.22,72.80,,28.58,Conditions stables.
7,2017-06-15,58.62,76.95,,18.33,Journée représentative.
7,2017-06-16,56.57,77.86,,21.29,Variations mineures.
7,2017-06-17,37.65,89.35,,51.70,Variations mineures.
7,2017-06-18,54.26,88.94,,34.68,Variations mineures.
7,2017-06-19,44.10,83.51,,39.41,Conditions stables.
7,2017-06-20,39.03,77.83,,38.80,Variations mineures.
7,2017-06-21,57.73,71.57,,13.84,Variations mineures.
7,2017-06-22,39.75,71.51,,31.76,Conditions stables.
7,2017-06-23,51.43,82.08,,30.65,Variations mineures.
7,2017-06-24,50.89,81.29,,30.40,Variations mineures.
7,2017-06-25,56.24,89.49,,33.25,Variations mineures.
7,2017-06-26,40.73,76.15,,35.42,Variations mineures.
7,2017-06-27,55.56,71.75,,16.19,Conditions stables.
7,2017-06-28,41.64,70.84,,29.20,Variations mineures.
7,2017-06-29,33.01,79.54,,46.53,Variations mineures.
7,2017-06-30,39.07,81.85,,42.78,Conditions stables.
7,2017-07-01,37.95,76.26,,38.31,Variations mineures.
7,2017-07-02,30.17,73.84,,43.67,Variations mineures.
7,2017-07-03,45.04,77.72,,32.68,Conditions stables.
7,2017-07-04,50.16,84.38,,34.22,Journée représentative.
7,2017-07-05,39.96,70.22,,30.26,Variations mineures.
7,2017-07-06,34.78,78.77,,43.99,Variations mineures.
7,2017-07-07,40.93,81.86,,40.93,Journée représentative.
7,2017-07-08,46.78,83.11,,36.33,Conditions stables.
7,2017-07-09,55.62,85.27,,29.65,Conditions stables.
7,2017-07-10,40.49,88.75,,48.26,Conditions stables.
7,2017-07-11,33.98,74.36,,40.38,Variations mineures.
7,2017-07-12,43.84,82.80,,38.96,Variations mineures.
7,2017-07-13,47.60,72.58,,24.98,Variations mineures.
7,2017-07-14,57.33,87.30,,29.97,Variations mineures.
7,2017-07-15,34.59,78.14,,43.55,Variations mineures.
7,2017-07-16,52.26,73.48,,21.22,Variations mineures.
7,2017-07-17,39.26,82.28,,43.02,Journée représentative.
7,2017-07-18,56.87,88.81,,31.94,Variations mineures.
7,2017-07-19,42.83,89.94,,47.11,Variations mineures.
7,2017-07-20,40.01,81.50,,41.49,Journée représentative.
7,2017-07-21,39.95,75.39,,35.44,Journée représentative.
7,2017-07-22,52.30,71.81,,19.51,Variations mineures.
7,2017-07-23,48.18,73.55,,25.37,Journée représentative.
7,2017-07-24,33.94,80.02,,46.08,Variations mineures.
7,2017-07-25,55.57,78.42,,22.85,Journée représentative.
7,2017-07-26,32.68,81.98,,49.30,Variations mineures.
7,2017-07-27,47.05,81.91,,34.86,Conditions stables.
7,2017-07-28,38.08,72.03,,33.95,Variations mineures.
7,2017-07-29,31.57,86.14,,54.57,Variations mineures.
7,2017-07-30,41.31,86.01,,44.70,Journée représentative.
7,2017-07-31,57.15,77.24,,20.09,Variations mineures.
7,2017-08-01,37.96,88.47,,50.51,Variations mineures.
7,2017-08-02,39.62,73.42,,33.80,Journée représentative.
7,2017-08-03,36.66,84.43,,47.77,Variations mineures.
7,2017-08-04,39.98,74.24,,34.26,Variations mineures.
7,2017-08-05,31.58,76.65,,45.07,Variations mineures.
7,2017-08-06,35.83,78.27,,42.44,Conditions stables.
7,2017-08-07,44.27,73.93,,29.66,Variations mineures.
7,2017-08-08,46.98,74.62,,27.64,Variations mineures.
7,2017-08-09,41.58,88.96,,47.38,Variations mineures.
7,2017-08-10,41.78,75.26,,33.48,Journée représentative.
7,2017-08-11,38.16,77.42,,39.26,Variations mineures.
7,2017-08-12,53.40,87.85,,34.45,Journée représentative.
7,2017-08-13,39.00,87.42,,48.42,Variations mineures.
7,2017-08-14,42.07,81.66,,39.59,Variations mineures.
7,2017-08-15,48.05,74.46,,26.41,Variations mineures.
7,2017-08-16,34.67,74.76,,40.09,Variations mineures.
7,2017-08-17,47.32,79.49,,32.17,Journée représentative.
7,2017-08-18,41.55,89.38,,47.83,Journée représentative.
7,2017-08-19,34.94,85.18,,50.24,Conditions stables.
7,2017-08-20,35.54,81.15,,45.61,Conditions stables.
7,2017-08-21,38.53,72.26,,33.73,Journée représentative.
7,2017-08-22,58.49,89.57,,31.08,Variations mineures.
7,2017-08-23,53.91,82.76,,28.85,Conditions stables.
7,2017-08-24,39.07,86.54,,47.47,Conditions stables.
7,2017-08-25,39.91,72.02,,32.11,Journée représentative.
7,2017-08-26,44.14,71.21,,27.07,Variations mineures.
7,2017-08-27,30.99,75.46,,44.47,Variations mineures.
7,2017-08-28,39.34,70.88,,31.54,Conditions stables.
7,2017-08-29,34.93,80.15,,45.22,Variations mineures.
7,2017-08-30,33.66,79.26,,45.60,Variations mineures.
7,2017-08-31,59.59,87.97,,28.38,Journée représentative.
7,2017-09-01,35.89,73.43,,37.54,Conditions stables.
7,2017-09-02,37.30,85.54,,48.24,Variations mineures.
7,2017-09-03,32.55,77.33,,44.78,Variations mineures.
7,2017-09-04,34.91,89.32,,54.41,Variations mineures.
7,2017-09-05,42.39,84.46,,42.07,Variations mineures.
7,2017-09-06,50.65,83.63,,32.98,Conditions stables.
7,2017-09-07,59.12,82.95,,23.83,Variations mineures.
7,2017-09-08,49.16,70.29,,21.13,Journée représentative.
7,2017-09-09,30.53,73.24,,42.71,Variations mineures.
7,2017-09-10,46.26,77.08,,30.82,Journée représentative.
7,2017-09-11,52.47,72.96,,20.49,Conditions stables.
7,2017-09-12,30.82,87.94,,57.12,Conditions stables.
7,2017-09-13,38.41,83.14,,44.73,Variations mineures.
7,2017-09-14,41.37,89.72,,48.35,Conditions stables.
7,2017-09-15,52.13,86.90,,34.77,Conditions stables.
7,2017-09-16,43.41,85.03,,41.62,Variations mineures.
7,2017-09-17,36.33,85.46,,49.13,Conditions stables.
7,2017-09-18,44.05,87.57,,43.52,Conditions stables.
7,2017-09-19,35.36,82.55,,47.19,Variations mineures.
7,2017-09-20,48.34,79.85,,31.51,Journée représentative.
7,2017-09-21,37.83,89.67,,51.84,Variations mineures.
7,2017-09-22,56.42,87.04,,30.62,Variations mineures.
7,2017-09-23,58.82,88.77,,29.95,Journée représentative.
7,2017-09-24,33.96,72.19,,38.23,Journée représentative.
7,2017-09-25,32.71,70.77,,38.06,Journée représentative.
7,2017-09-26,46.29,80.44,,34.15,Variations mineures.
7,2017-09-27,39.97,80.94,,40.97,Conditions stables.
7,2017-09-28,36.06,77.69,,41.63,Journée représentative.
7,2017-09-29,46.59,83.98,,37.39,Variations mineures.
7,2017-09-30,53.79,83.52,,29.73,Variations mineures.
7,2017-10-01,32.78,73.42,,40.64,Journée représentative.
7,2017-10-02,38.19,86.63,,48.44,Journée représentative.
7,2017-10-03,45.50,81.61,,36.11,Variations mineures.
7,2017-10-04,47.68,72.75,,25.07,Variations mineures.
