id_interne_placette,date,type_obstruction,hauteur,taux
17,2017-10-15,Feuillu,2,45.46
17,2017-10-15,Feuillu,1,16.61
17,2017-09-15,Feuillu,2,14.66
17,2017-09-15,Feuillu,1,25.80
17,2017-08-15,Feuillu,2,17.63
17,2017-08-15,Feuillu,1,20.96
17,2017-07-15,Feuillu,2,34.67
17,2017-07-15,Feuillu,1,15.70
17,2017-06-15,Feuillu,2,32.29
17,2017-06-15,Feuillu,1,40.85
17,2017-05-15,Feuillu,2,42.91
17,2017-05-15,Feuillu,1,48.95
18,2017-10-15,Feuillu,2,27.49
18,2017-10-15,Feuillu,1,17.85
18,2017-09-15,Feuillu,2,32.46
18,2017-09-15,Feuillu,1,12.03
18,2017-08-15,Feuillu,2,40.18
18,2017-08-15,Feuillu,1,16.78
18,2017-07-15,Feuillu,2,49.28
18,2017-07-15,Feuillu,1,29.94
18,2017-06-15,Feuillu,2,17.22
18,2017-06-15,Feuillu,1,31.64
18,2017-05-15,Feuillu,2,11.37
18,2017-05-15,Feuillu,1,46.46
19,2017-10-15,Feuillu,2,36.22
19,2017-10-15,Feuillu,1,28.15
19,2017-09-15,Feuillu,2,33.03
19,2017-09-15,Feuillu,1,31.14
19,2017-08-15,Feuillu,2,12.35
19,2017-08-15,Feuillu,1,45.21
19,2017-07-15,Feuillu,2,16.20
19,2017-07-15,Feuillu,1,36.54
19,2017-06-15,Feuillu,2,45.44
19,2017-06-15,Feuillu,1,29.05
19,2017-05-15,Feuillu,2,39.26
19,2017-05-15,Feuillu,1,36.81
20,2017-10-15,Feuillu,2,10.66
20,2017-10-15,Feuillu,1,22.84
20,2017-09-15,Feuillu,2,47.12
20,2017-09-15,Feuillu,1,37.41
20,2017-08-15,Feuillu,2,44.32
20,2017-08-15,Feuillu,1,42.84
20,2017-07-15,Feuillu,2,29.18
20,2017-07-15,Feuillu,1,43.88
20,2017-06-15,Feuillu,2,30.49
20,2017-06-15,Feuillu,1,36.13
20,2017-05-15,Feuillu,2,34.99
20,2017-05-15,Feuillu,1,20.17
22,2017-10-15,Feuillu,2,10.07
22,2017-10-15,Feuillu,1,43.14
22,2017-09-15,Feuillu,2,44.31
22,2017-09-15,Feuillu,1,29.35
22,2017-08-15,Feuillu,2,26.60
22,2017-08-15,Feuillu,1,33.40
22,2017-07-15,Feuillu,2,24.10
22,2017-07-15,Feuillu,1,31.19
22,2017-06-15,Feuillu,2,20.77
22,2017-06-15,Feuillu,1,43.81
22,2017-05-15,Feuillu,2,26.32
22,2017-05-15,Feuillu,1,41.17
23,2017-10-15,Feuillu,2,28.34
23,2017-10-15,Feuillu,1,44.92
23,2017-09-15,Feuillu,2,45.69
23,2017-09-15,Feuillu,1,13.68
23,2017-08-15,Feuillu,2,19.84
23,2017-08-15,Feuillu,1,22.37
23,2017-07-15,Feuillu,2,15.53
23,2017-07-15,Feuillu,1,26.44
23,2017-06-15,Feuillu,2,21.83
23,2017-06-15,Feuillu,1,49.01
23,2017-05-15,Feuillu,2,28.76
23,2017-05-15,Feuillu,1,24.65
24,2017-10-15,Feuillu,2,16.74
24,2017-10-15,Feuillu,1,11.78
24,2017-09-15,Feuillu,2,30.14
24,2017-09-15,Feuillu,1,32.61
24,2017-08-15,Feuillu,2,44.00
24,2017-08-15,Feuillu,1,39.65
24,2017-07-15,Feuillu,2,39.71
24,2017-07-15,Feuillu,1,23.63
24,2017-06-15,Feuillu,2,12.87
24,2017-06-15,Feuillu,1,29.08
24,2017-05-15,Feuillu,2,37.35
24,2017-05-15,Feuillu,1,12.33
25,2017-10-15,Feuillu,2,19.17
25,2017-10-15,Feuillu,1,34.65
25,2017-09-15,Feuillu,2,24.75
25,2017-09-15,Feuillu,1,38.81
25,2017-08-15,Feuillu,2,18.97
25,2017-08-15,Feuillu,1,14.64
25,2017-07-15,Feuillu,2,45.17
25,2017-07-15,Feuillu,1,15.79
25,2017-06-15,Feuillu,2,49.49
25,2017-06-15,Feuillu,1,23.15
25,2017-05-15,Feuillu,2,36.85
25,2017-05-15,Feuillu,1,22.25
17,2017-10-15,Conifère,2,26.71
17,2017-10-15,Conifère,1,44.36
17,2017-09-15,Conifère,2,48.91
17,2017-09-15,Conifère,1,29.35
17,2017-08-15,Conifère,2,11.44
17,2017-08-15,Conifère,1,30.21
17,2017-07-15,Conifère,2,26.17
17,2017-07-15,Conifère,1,49.56
17,2017-06-15,Conifère,2,47.54
17,2017-06-15,Conifère,1,45.42
17,2017-05-15,Conifère,2,28.84
17,2017-05-15,Conifère,1,11.68
18,2017-10-15,Conifère,2,22.79
18,2017-10-15,Conifère,1,30.06
18,2017-09-15,Conifère,2,22.73
18,2017-09-15,Conifère,1,16.24
18,2017-08-15,Conifère,2,24.62
18,2017-08-15,Conifère,1,47.15
18,2017-07-15,Conifère,2,21.41
18,2017-07-15,Conifère,1,35.30
18,2017-06-15,Conifère,2,26.06
18,2017-06-15,Conifère,1,19.13
18,2017-05-15,Conifère,2,12.87
18,2017-05-15,Conifère,1,15.07
19,2017-10-15,Conifère,2,11.98
19,2017-10-15,Conifère,1,24.30
19,2017-09-15,Conifère,2,32.82
19,2017-09-15,Conifère,1,14.73
19,2017-08-15,Conifère,2,13.87
19,2017-08-15,Conifère,1,16.84
19,2017-07-15,Conifère,2,36.80
19,2017-07-15,Conifère,1,37.04
19,2017-06-15,Conifère,2,19.26
19,2017-06-15,Conifère,1,11.77
19,2017-05-15,Conifère,2,24.71
