id_interne_zone,date,prec_tot,prec_nature,note
7,2017-05-01,8.66,P,Journée représentative.
7,2017-05-02,9.96,P,Variations mineures.
7,2017-05-03,6.52,P,Variations mineures.
7,2017-05-04,6.69,P,Variations mineures.
7,2017-05-05,2.05,P,Conditions stables.
7,2017-05-06,10.36,P,Conditions stables.
7,2017-05-07,3.36,P,Variations mineures.
7,2017-05-08,10.38,P,Variations mineures.
7,2017-05-09,7.52,P,Conditions stables.
7,2017-05-10,2.08,P,Variations mineures.
7,2017-05-11,8.81,P,Variations mineures.
7,2017-05-12,8.78,P,Conditions stables.
7,2017-05-13,0.13,P,Journée représentative.
7,2017-05-14,6.90,P,Variations mineures.
7,2017-05-15,4.14,P,Variations mineures.
7,2017-05-16,4.38,P,Conditions stables.
7,2017-05-17,13.52,P,Conditions stables.
7,2017-05-18,2.07,P,Variations mineures.
7,2017-05-19,7.13,P,Variations mineures.
7,2017-05-20,7.22,P,Variations mineures.
7,2017-05-21,2.61,P,Variations mineures.
7,2017-05-22,6.47,P,Variations mineures.
7,2017-05-23,8.00,P,Journée représentative.
7,2017-05-24,11.07,P,Variations mineures.
7,2017-05-25,14.14,P,Journée représentative.
7,2017-05-26,11.18,P,Variations mineures.
7,2017-05-27,9.18,P,Variations mineures.
7,2017-05-28,9.89,P,Conditions stables.
7,2017-05-29,10.92,P,Journée représentative.
7,2017-05-30,8.45,P,Variations mineures.
7,2017-05-31,7.72,P,Conditions stables.
7,2017-06-01,0.73,P,Conditions stables.
7,2017-06-02,4.28,P,Journée représentative.
7,2017-06-03,14.28,P,Journée représentative.
7,2017-06-04,0.46,P,Variations mineures.
7,2017-06-05,1.55,P,Variations mineures.
7,2017-06-06,8.76,P,Variations mineures.
7,2017-06-07,6.84,P,Conditions stables.
7,2017-06-08,11.48,P,Journée représentative.
7,2017-06-09,13.17,P,Conditions stables.
7,2017-06-10,7.29,P,Journée représentative.
7,2017-06-11,8.61,P,Variations mineures.
7,2017-06-12,0.37,P,Conditions stables.
7,2017-06-13,5.83,P,Journée représentative.
7,2017-06-14,13.37,P,Conditions stables.
7,2017-06-15,8.73,P,Conditions stables.
7,2017-06-16,11.56,P,Conditions stables.
7,2017-06-17,6.01,P,Variations mineures.
7,2017-06-18,1.16,P,Journée représentative.
7,2017-06-19,1.85,P,Journée représentative.
7,2017-06-20,13.35,P,Variations mineures.
7,2017-06-21,5.71,P,Variations mineures.
7,2017-06-22,10.89,P,Variations mineures.
7,2017-06-23,14.44,P,Variations mineures.
7,2017-06-24,7.21,P,Variations mineures.
7,2017-06-25,2.32,P,Journée représentative.
7,2017-06-26,2.02,P,Journée représentative.
7,2017-06-27,2.25,P,Variations mineures.
7,2017-06-28,0.34,P,Variations mineures.
7,2017-06-29,13.13,P,Variations mineures.
7,2017-06-30,10.03,P,Variations mineures.
7,2017-07-01,10.75,P,Conditions stables.
7,2017-07-02,0.77,P,Journée représentative.
7,2017-07-03,1.47,P,Journée représentative.
7,2017-07-04,3.81,P,Journée représentative.
7,2017-07-05,12.77,P,Journée représentative.
7,2017-07-06,1.35,P,Journée représentative.
7,2017-07-07,14.41,P,Variations mineures.
7,2017-07-08,8.44,P,Variations mineures.
7,2017-07-09,11.24,P,Conditions stables.
7,2017-07-10,8.75,P,Conditions stables.
7,2017-07-11,8.32,P,Variations mineures.
7,2017-07-12,10.58,P,Variations mineures.
7,2017-07-13,0.75,P,Variations mineures.
7,2017-07-14,10.49,P,Variations mineures.
7,2017-07-15,1.57,P,Variations mineures.
7,2017-07-16,3.32,P,Variations mineures.
7,2017-07-17,6.23,P,Journée représentative.
7,2017-07-18,2.85,P,Variations mineures.
7,2017-07-19,0.34,P,Conditions stables.
7,2017-07-20,9.10,P,Conditions stables.
7,2017-07-21,3.59,P,Variations mineures.
7,2017-07-22,14.70,P,Variations mineures.
7,2017-07-23,9.61,P,Conditions stables.
7,2017-07-24,14.96,P,Conditions stables.
7,2017-07-25,7.61,P,Conditions stables.
7,2017-07-26,0.77,P,Variations mineures.
7,2017-07-27,0.37,P,Variations mineures.
7,2017-07-28,3.60,P,Variations mineures.
7,2017-07-29,10.11,P,Variations mineures.
7,2017-07-30,6.87,P,Conditions stables.
7,2017-07-31,3.17,P,Variations mineures.
7,2017-08-01,10.44,P,Variations mineures.
7,2017-08-02,13.05,P,Variations mineures.
7,2017-08-03,4.22,P,Conditions stables.
7,2017-08-04,9.83,P,Variations mineures.
7,2017-08-05,7.97,P,Journée représentative.
7,2017-08-06,8.39,P,Journée représentative.
7,2017-08-07,11.69,P,Variations mineures.
7,2017-08-08,7.81,P,Variations mineures.
7,2017-08-09,6.41,P,Conditions stables.
7,2017-08-10,10.05,P,Variations mineures.
7,2017-08-11,4.52,P,Variations mineures.
7,2017-08-12,13.09,P,Journée représentative.
7,2017-08-13,10.90,P,Variations mineures.
7,2017-08-14,3.27,P,Conditions stables.
7,2017-08-15,13.54,P,Journée représentative.
7,2017-08-16,4.94,P,Conditions stables.
7,2017-08-17,7.93,P,Variations mineures.
7,2017-08-18,1.52,P,Variations mineures.
7,2017-08-19,2.11,P,Journée représentative.
7,2017-08-20,6.28,P,Variations mineures.
7,2017-08-21,1.13,P,Variations mineures.
7,2017-08-22,3.51,P,Variations mineures.
7,2017-08-23,1.30,P,Conditions stables.
7,2017-08-24,6.43,P,Journée représentative.
7,2017-08-25,7.30,P,Variations mineures.
7,2017-08-26,6.47,P,Journée représentative.
7,2017-08-27,10.27,P,Variations mineures.
7,2017-08-28,4.81,P,Variations mineures.
7,2017-08-29,11.85,P,Variations mineures.
7,2017-08-30,8.51,P,Variations mineures.
7,2017-08-31,5.38,P,Variations mineures.
